TRIMAP1,TRIMAP2,label
-353.5792,18.949583,4
240.3986,123.22807,4
-157.42241,-10.863968,8
325.3974,13.145083,4
-355.54694,-18.573298,6
213.69789,32.291317,1
-271.34134,7.57874,8
-25.110954,51.557236,4
-315.19385,52.904392,1
-233.17319,14.907379,1
95.38635,128.45894,3
-21.127377,118.87171,4
220.12747,134.00003,4
-312.82278,20.39075,4
-79.0078,127.78358,4
308.16684,31.533548,1
368.96527,5.0472775,4
-147.52632,-10.06499,8
-351.68814,19.295229,4
-250.71416,-16.612392,8
-330.75296,-32.45839,9
-180.69218,59.178284,4
40.972393,-264.86786,2
-253.45271,80.4112,4
-319.3628,38.45982,4
-289.0997,-14.56531,8
-230.18147,-80.532555,4
-336.19965,64.80925,4
316.49484,-17.210722,6
256.5453,-144.55365,2
-311.52518,52.7857,1
263.28128,97.51588,4
120.41838,-55.664406,3
9.821032,-6.931798,8
268.76617,49.16027,4
-65.460365,-6.7346187,8
251.75409,1.5945289,8
243.17538,-171.39632,2
-253.76816,44.10994,4
-90.68549,-127.75789,0
-73.02594,111.51092,4
276.63144,89.04002,4
-366.08157,28.412271,4
-411.98907,-6.3597355,7
20.01737,-7.161187,6
-374.09952,27.52534,4
-94.72832,47.869156,4
213.57913,33.728577,1
2.8698957,-256.76077,2
163.83817,-0.8774585,6
-64.49724,-195.30562,2
31.90295,-184.84851,7
-115.13209,130.85461,4
-179.20013,57.37761,4
90.395584,-188.87006,7
88.15034,140.6759,3
-219.0672,45.1181,1
117.34375,-257.2759,2
-24.659548,154.68962,4
340.35385,-58.489937,5
46.950794,81.40668,1
-97.33657,-0.30187562,8
-84.70614,12.760839,1
-191.51085,86.49862,4
247.30219,-5.981825,6
-223.61137,-19.263714,4
255.08716,3.4440334,8
-11.693767,182.77068,4
157.0175,-247.19685,2
-265.91544,10.550185,1
-316.55737,69.1371,4
-278.81943,19.571852,4
252.36665,-154.14345,2
217.49748,-197.15811,2
-103.5309,-160.0166,7
131.64806,15.6821,8
-260.32153,74.55783,4
13.024124,6.0501504,4
182.77429,160.0221,4
222.53496,-4.2619143,8
71.75263,80.31722,1
70.189545,46.040756,8
-20.487026,74.70584,1
-113.68772,97.841515,1
-240.67972,-15.263618,8
-316.66406,-16.809643,8
-234.8421,-92.58939,0
105.74649,-262.75247,2
-396.5719,-7.8861947,8
241.41084,123.036156,4
147.2947,-0.62887496,6
-215.78711,13.435031,1
289.02597,-65.524025,2
192.70798,151.54706,4
95.07221,54.92602,1
83.76801,156.89694,4
