TSNE1,TSNE2,label
-59.098064,33.774506,4
46.569748,73.95468,4
48.189793,-11.968873,8
25.645388,33.649117,4
41.89396,-25.315702,6
50.373985,20.56588,1
7.195316,32.37788,8
18.06222,24.83694,4
-11.600905,47.424103,1
39.51026,18.311079,1
-16.90304,29.355673,3
28.78014,76.45479,4
41.778164,51.765896,4
37.276268,78.92259,4
-13.5601425,-21.714735,4
-26.615404,72.87168,1
-34.050156,42.80046,4
41.58323,-27.336647,8
-44.076454,29.404621,4
57.028603,-36.607635,8
-0.6233051,-51.65478,9
48.214817,58.818443,4
-37.235775,-105.18371,2
-20.201973,-3.3052664,4
-15.901871,-9.228108,4
30.01056,-20.639133,8
-40.747425,-54.907993,4
-61.596073,-0.6027777,4
69.74576,0.5370315,6
-13.686157,-93.56455,2
-11.646712,46.84405,1
10.406301,78.73975,4
-35.968834,-41.51286,3
76.35116,-30.583858,8
26.319626,33.822018,4
49.832806,-24.45297,8
23.640057,-27.999088,8
-17.23414,-95.70776,2
-19.748234,17.369545,4
-40.9993,-56.495106,0
8.763506,92.790245,4
43.981766,50.170456,4
-49.034794,15.570565,4
60.99727,-80.295906,7
73.30703,-28.955692,6
-21.249607,-7.9857845,4
8.906399,31.379587,4
49.438126,22.6048,1
-31.436363,-106.645065,2
78.26469,-17.733307,6
0.38424173,-98.147835,2
18.714338,-78.64085,7
-68.65763,29.397242,4
-14.780685,2.16006,4
28.858658,-80.11175,7
-20.898705,36.86531,3
-18.092201,70.86476,1
-18.60213,-96.395645,2
-40.379505,4.1240716,4
-97.40069,-18.364506,5
3.9971988,44.17254,1
31.253315,-20.8691,8
50.958847,19.540298,1
-32.16743,26.27986,4
77.68625,-2.975521,6
16.527601,-6.856173,4
24.382334,-11.443979,8
-61.581318,-0.40046722,4
-35.515667,-105.33855,2
15.808302,29.657824,1
-53.32621,-1.1721671,4
23.70144,36.446774,4
-16.584545,-93.901344,2
-16.878712,-78.45379,2
59.14947,-80.709885,7
