UMAP1,UMAP2,label
16.299538,9.244192,4
10.688554,12.508017,4
8.690611,0.42580566,8
8.054393,6.966058,4
10.315297,-0.26661697,6
5.195091,7.1979084,1
6.079182,9.864009,8
8.525175,6.59461,4
3.3344328,12.350566,1
4.6099553,8.076929,1
13.458404,6.91629,3
11.438806,11.072802,4
8.806042,9.566284,4
11.350742,11.57851,4
14.251143,2.798722,4
6.0215673,13.807181,1
14.241033,7.502524,4
10.716433,-0.46263784,8
14.703733,8.651953,4
11.819631,-0.43143234,8
3.9675808,-1.3608885,9
8.744754,10.864922,4
-4.430032,9.051421,2
14.304318,4.640676,4
13.892825,3.760113,4
10.449302,1.6223129,8
1.0834016,4.5776396,4
18.397266,4.305127,4
6.9668326,-0.77553296,6
-3.4944067,5.763838,2
3.4098325,12.285865,1
13.842377,9.86433,4
3.178669,2.6907017,3
11.084804,-2.7622464,8
8.025781,7.015137,4
10.54729,-0.1945437,8
11.169783,1.5335127,8
-3.899411,6.265754,2
12.694411,7.519238,4
0.93760556,4.750062,0
14.691774,10.990784,4
8.302783,9.5985365,4
16.842619,6.1429415,4
-0.29620636,-5.794076,7
10.61374,-2.594461,6
14.822715,4.1651697,4
5.925895,9.742049,4
5.3207297,7.5976577,1
-5.117071,8.23212,2
9.937789,-2.778808,6
-3.4455588,3.7132773,2
-0.625822,0.083823875,7
18.004925,8.626829,4
12.666371,5.322726,4
-0.481503,-1.5617777,7
11.960373,7.650841,3
6.230733,12.159137,1
-4.0422044,6.49239,2
15.910425,5.0716844,4
5.723404,-7.4345384,5
5.1743584,10.131942,1
10.439754,1.4965976,8
5.0311766,6.953239,1
15.15182,7.9024796,4
7.5277233,-2.2269335,6
9.825062,1.7997924,4
9.660462,2.4688103,8
18.47326,4.1745996,4
-4.68377,8.822929,2
6.377027,8.200653,1
17.328426,4.4017863,4
8.423159,7.5233994,4
-3.630366,6.231673,2
-1.464648,6.632926,2
-0.46123186,-5.823068,7
9.764961,2.4202282,8
14.997334,5.7867856,4
7.346633,5.7674465,4
11.582818,10.938323,4
7.7867856,-1.6003954,8
5.9958596,11.762002,1
10.292355,3.6356585,8
5.2883306,10.900701,1
6.530476,17.436918,1
11.374122,-1.9580598,8
10.439199,0.5542708,8
0.83490527,7.94872,0
-3.7240832,7.903455,2
12.200396,3.6935625,8
10.360742,12.414399,4
11.0251665,-2.6245139,6
5.374174,7.635691,1
0.33524445,2.1154683,2
12.604113,11.966738,4
7.0553427,7.1856914,1
10.39543,11.022141,4
18.772333,4.7703023,4
9.522738,10.837117,4
8.687159,7.7646904,1
11.456651,0.52186775,8
10.379308,10.699777,4
5.802453,9.628024,1
-0.29127002,-3.8792565,7
6.0427074,14.086611,1
7.5113616,-8.295097,5
11.975491,0.524657,8
-3.5708604,5.190231,2
8.653559,1.2753028,8
8.075371,-2.931171,6
9.453323,9.253527,4
-0.41698784,-1.274225,7
13.32305,6.3434615,8
5.922284,12.658568,1
-5.1230125,7.365036,2
10.614635,10.059599,4
11.562327,11.084486,4
11.53505,7.6683264,4
13.873774,6.8179092,4
8.439961,1.164176,4
0.8325863,5.7444153,0
5.0594206,7.004817,1
9.012253,-0.46314085,8
13.219653,10.794923,4
10.07773,2.6751454,8
13.875211,4.9705114,4
-3.9765844,5.011561,2
14.498885,4.26558,8
14.716749,9.17878,4
10.125282,10.416807,4
-1.5232406,6.660138,2
9.985819,9.40809,4
-2.295048,4.8007827,2
5.050483,-0.53984493,9
10.606457,3.5770936,8
6.223019,16.628624,1
0.09301618,1.9842974,2
3.8097703,-1.6780235,9
10.138122,10.010398,4
0.03534021,-0.7368697,7
7.6742005,8.742826,1
12.98505,10.270478,4
6.079956,13.428139,1
-0.65657663,-5.938923,7
18.623331,6.2250156,4
7.5563097,-0.2514271,8
8.154078,0.1402423,8
10.276465,2.516521,8
18.275253,5.8090734,4
13.476573,3.1971967,8
-5.2393355,7.906159,2
17.53625,8.987627,4
17.71478,4.2413316,4
9.9405155,9.82575,4
8.844489,9.343545,4
-0.29756805,-3.5112433,7
10.246855,-1.8858746,8
12.49515,10.220669,4
-3.0485194,3.6593986,2
-0.34354553,0.42301702,7
6.574045,16.283318,1
-1.2214968,4.0967817,8
12.121702,7.650832,4
0.53891796,8.296436,0
14.499531,11.193785,4
5.1685944,9.067608,1
18.365545,4.1426725,4
10.894876,11.34456,4
8.657421,2.1425214,8
10.131636,0.120597824,8
9.0038185,2.3160336,8
8.803791,3.5129366,8
11.772718,7.6832724,4
6.109866,14.92278,1
6.5842113,16.37849,1
8.556097,0.53300244,8
0.78044325,5.43953,0
-0.442741,-4.8422713,7
8.093322,19.23011,1
7.7696133,3.4000998,4
12.622767,5.9380736,1
-0.4621221,-5.0878897,7
3.5241153,3.5637233,3
18.628626,6.108843,4
12.048737,7.583865,3
9.39197,12.1041975,4
4.016403,4.991984,3
5.9985957,9.706866,1
16.725101,5.1618214,4
9.285527,-3.1423664,6
3.9361582,4.951359,3
-5.019227,8.533223,2
8.422398,10.00862,4
6.1802692,14.805509,1
6.9504933,-1.5462787,6
0.7882548,5.5218477,0
18.237436,5.5632834,4
13.206616,5.4038486,4
8.064883,2.2159746,8
6.734291,17.723661,1
-4.51388,8.748875,2
4.061546,5.1046977,3
13.3341675,3.2369256,4
9.160923,-2.1303241,8
15.172888,7.1304893,4
9.491739,2.414275,8
10.330359,6.265322,4
12.108936,11.278917,4
-4.3933806,5.124125,2
0.0523561,-2.7361882,7
11.392224,1.2847588,8
9.764836,1.2174718,8
8.370038,1.942261,8
12.16436,2.414394,8
3.929241,11.47833,4
4.4592752,10.64506,1
8.23052,-2.165723,8
12.627424,8.352728,3
5.9731245,13.309541,1
10.253957,10.052738,4
14.050998,10.0896225,4
15.971634,10.79215,4
6.471616,17.385363,1
5.7583256,0.9447044,4
-3.1395948,7.522215,2
11.590729,3.7316186,4
9.421938,-0.71078205,8
-3.9502294,5.357528,2
17.611681,9.053819,4
9.556892,2.3906555,8
12.137066,5.7117662,1
18.946787,4.878374,4
-3.6271598,8.203329,2
15.504239,5.487336,4
2.943768,3.035757,3
7.4006,-7.856607,5
5.7438607,7.0233264,1
10.784744,-2.4481986,6
6.0426903,13.8833065,1
18.105476,7.3116007,4
6.7001386,16.649994,1
9.1356125,10.374256,4
-3.9744403,8.846995,2
11.543462,9.277713,4
7.44552,17.953709,1
16.863817,7.861442,4
10.625217,-1.3536019,8
10.84731,8.016666,8
7.404572,17.84084,1
15.218304,10.0243225,4
3.8024275,10.998217,4
8.915878,-3.1509526,6
0.8468401,8.010879,0
-1.8282698,5.9737353,2
16.963688,5.068913,4
-2.1570907,4.7168903,2
11.559468,0.024237575,8
7.6291704,3.267012,4
-0.54614073,-5.853981,7
-0.688328,0.22984233,7
3.3949964,4.701278,3
7.83406,18.661808,1
8.943687,-3.156675,6
-3.868932,8.027228,2
14.237285,9.982782,4
13.145734,9.160291,4
7.1091337,7.307797,1
6.1674037,10.963898,1
14.157824,5.876921,4
