TRIMAP1,TRIMAP2,label
-55.963123,-5.690069,4
25.616875,46.157265,4
-10.507562,-12.675007,8
55.33325,34.32609,4
9.238697,-23.657442,6
88.52369,-8.823946,1
-34.72642,-11.708426,8
-28.730108,5.3691335,4
-59.05851,-1.9513605,1
-55.974922,-11.310464,1
-12.558828,-1.9736955,3
-48.06019,5.4726586,4
19.603119,18.273127,4
-14.42013,21.590385,4
-42.440586,-8.211258,4
76.783714,-7.9724946,1
44.73246,6.9601693,4
36.587196,-25.32747,8
-60.059975,3.264004,4
-4.573616,-24.575714,8
15.372265,-9.560117,9
-60.630295,3.0547075,4
-28.99553,0.7888931,2
-5.7599297,-11.92015,4
-37.801357,-10.623965,4
-9.617026,-17.717936,8
23.41432,10.195478,4
-57.645756,6.4770746,4
112.41733,-7.005467,6
34.03034,8.600811,2
-35.24803,-2.757591,1
11.368161,44.412254,4
39.49693,1.071678,3
-34.393215,-8.781876,8
11.606948,39.63432,4
-48.549026,-7.3694587,8
81.25816,-18.678236,8
78.28592,10.682518,2
-52.40943,-2.6030097,4
-17.941002,-1.0890341,0
-45.018974,10.452159,4
39.245293,5.51978,4
-9.202242,16.733063,4
-57.756275,-5.8549066,7
64.7868,-19.38886,6
-47.7017,-5.3365593,4
52.353558,-13.666286,4
52.74325,-17.79233,1
2.4868965,4.998526,2
9.082212,-24.948645,6
2.1480641,5.9849896,2
26.488543,6.2873497,7
-53.208202,14.115878,4
14.421884,-13.629061,4
-6.006973,0.8861556,7
-11.608157,1.981726,3
-38.37381,-12.107246,1
67.111916,12.238165,2
-57.287804,7.39435,4
40.071507,-2.3500726,5
-60.45125,-2.790187,1
22.605446,-21.29817,8
-31.540802,-11.573448,1
-57.66556,-0.6965021,4
54.914433,-14.275075,6
-10.131603,-11.137371,4
20.309385,-16.371037,8
-61.2511,5.5829134,4
7.3002086,7.705351,2
-18042.97,-438.37662,1
-64.083374,2.5975914,4
-7420.8105,-430.58093,4
-10.908675,3.5505395,2
-8.254873,4.955835,2
23.736599,3.1408057,7
25.574438,-16.323574,8
-46.854904,16.71981,4
-317.54666,-534.49915,4
15.679793,21.813795,4
63.243237,-21.666582,8
26.481153,-15.738128,1
-15.650258,-18.191967,8
53.7164,-5.1138887,1
-4.950326,-24.648466,1
-10.713964,-20.488733,8
-38.134766,-14.436932,8
-22149.348,-497.8668,0
50.298218,14.8417015,2
-42.279926,2.3031754,8
-15.639632,24.728853,4
-1.033264,-22.346699,6
27.66777,-19.67127,1
120.7148,-2.6618793,2
20.320055,44.330353,4
-42.000397,15.326263,1
1.6077709,34.421703,4
-58.018906,-0.6433573,4
30.42493,26.563068,4
-13.323294,-5.533017,1
-24.879475,-19.40186,8
-14.922384,29.97861,4
52.891434,-3.289814,1
15.566476,2.5887458,7
2.496921,-23.203,1
-3.12106,-5.5425835,5
-1.6773471,-18.25598,8
1.0435705,6.1892843,2
-51.96658,-9.447875,8
72.06334,-21.634132,6
6.9340086,36.807148,4
55.399975,8.430687,7
-21.573435,3.0628204,8
-28.003654,-17.64503,1
23.810377,11.0703535,2
17.292725,27.764042,4
-48.854496,15.220389,4
-41.188667,8.77291,4
-52.55877,-2.2680693,4
-38.5155,-11.5787115,4
-1.7093626,7.207093,0
-4.645399,-15.700964,1
17.649466,-24.19363,8
-26.780664,19.703524,4
3.1757839,-17.810408,8
7.0005364,-11.646737,4
34.65837,12.947094,2
-6.598905,-11.96888,8
-5382.825,742.6234,4
16.293152,27.813745,4
6.2083697,8.026879,2
-10.94054,14.3452835,4
-26.824114,1.0805682,2
59.80799,-6.748073,9
-10.2718525,-10.661093,8
-55.171795,-12.102984,1
120.117744,-3.3842902,2
-7.401874,-7.527045,9
-21.95898,16.53983,4
109.15849,0.31917784,7
63.507,-5.4268813,1
11.933324,42.421146,4
-57.51623,-12.323538,1
-19592.662,-1211.1892,7
-11.809312,3.1379907,4
79.41611,-15.876636,8
-0.90880364,-22.739021,8
-8.911773,-16.16116,8
12.809141,29.891499,4
-31.292322,-7.4249125,8
10.163762,6.441745,2
12.141571,39.07485,4
