TSNE1,TSNE2,label
15.305823,-9.07747,4
23.847479,10.705709,4
-19.436844,7.456846,8
15.804052,-15.811501,4
-21.739279,1.1255529,6
-5.034696,-2.2004735,1
-10.469774,-3.4444885,8
3.762702,-12.149102,4
8.046645,-16.943956,1
-14.627554,-13.870759,1
-12.854882,16.419668,3
25.076094,-3.8597214,4
11.538471,-1.5575675,4
18.652489,1.9456669,4
-12.539262,6.1178155,4
-10.64957,-15.26898,1
15.592131,-4.4724464,4
-21.961655,-0.8166449,8
22.809025,-16.178543,4
-28.911594,6.810163,8
-19.382332,12.275691,9
24.214716,-11.572169,4
8.104444,5.1225257,2
-0.46623805,-14.033099,4
-19.461025,-10.859596,4
-14.981383,-4.3380756,8
7.1402807,-4.521573,4
18.722485,-13.911597,4
-1.6489022,-2.5801213,6
-3.121736,10.039159,2
10.087527,-11.288272,1
21.20236,16.366407,4
-3.728757,18.086252,3
-4.4412065,-27.586035,8
16.179039,-15.50298,4
-25.657492,10.714737,8
-19.346449,-0.7677267,8
3.1014774,9.396118,2
-3.7577717,-14.417716,4
6.019278,-5.0610023,0
28.654346,1.581092,4
9.137874,-3.8694496,4
-25.383476,20.142977,4
-1.9681742,-23.081614,7
-19.20958,1.9976101,6
0.49364743,-16.840088,4
-6.4672513,-15.756161,4
-4.400619,-2.5230799,1
1.5716791,11.875268,2
-22.481958,-0.7168009,6
-1.5406474,9.2313385,2
-0.37802595,3.8777654,7
29.558554,13.131887,4
-1.5131434,-12.708306,4
-6.0129447,3.801698,7
7.179392,-27.13139,3
-13.914421,-12.987245,1
4.312868,11.667483,2
15.807516,-18.779148,4
-12.093628,22.532585,5
23.256784,-23.692175,1
-14.4571,-7.7134857,8
-12.888793,0.20968767,1
16.620756,-8.237497,4
-11.9099865,0.98269933,6
-20.47215,5.2185583,4
-9.147473,-5.728895,8
20.414532,-20.468071,4
4.979484,18.76101,2
1.0068148,23.90316,1
22.14516,-23.2297,4
17.178677,-13.900314,4
5.429458,11.767346,2
12.958237,4.516512,2
-4.232019,-24.46594,7
-9.037941,-3.974527,8
20.199102,-15.254085,4
8.665453,-0.9335028,4
20.608967,-1.9952387,4
-18.205046,1.2124481,8
-10.324583,-14.805852,1
-25.251747,1.6540241,8
4.6876416,-9.093112,1
-12.3380785,-13.309069,1
-14.849013,-0.91961706,8
-30.687845,-1.4370569,8
5.9331913,17.970905,0
6.2190022,16.471554,2
-4.4565725,27.266186,8
21.68038,3.979339,4
-31.559666,-2.8136272,6
-3.865197,-1.9992545,1
2.1263602,3.7598703,2
22.428934,13.375752,4
14.090025,-14.4280815,1
22.26595,-12.273362,4
31.388063,15.325896,4
23.7728,-4.2763796,4
5.8689723,-10.688634,1
-25.206821,5.356322,8
21.2693,10.488204,4
5.976972,-8.620436,1
-4.9883733,-24.432072,7
-9.019057,-14.326312,1
-13.446428,18.499884,5
-28.352299,6.1666245,8
-4.359318,1.6929202,2
-21.457354,-9.121388,8
-22.526897,1.1614555,6
20.110916,-10.210362,4
-2.5438168,6.4228663,7
4.2673645,-23.330776,8
-6.642455,-8.441297,1
5.038097,5.394487,2
23.27408,-6.7568183,4
19.91982,-13.961972,4
16.18501,8.672623,4
5.656167,-28.319868,4
-26.310078,-11.769601,4
-1.8757882,10.884661,0
-10.654455,0.14813553,1
-18.671272,-3.1506498,8
23.073195,-4.577532,4
-10.793018,-5.114145,8
1.0233105,-16.963566,4
3.7848432,13.138077,2
-2.0569048,-12.946773,8
20.286402,-4.7216616,4
21.76511,-4.6543093,4
7.822945,6.140604,2
11.400123,-5.546865,4
2.6823225,12.776826,2
-15.831766,7.442574,9
-5.2409606,15.108856,8
-13.767959,-15.55159,1
1.9539616,3.5786612,2
-9.100015,12.716499,9
19.717209,-14.390646,4
-3.3537085,5.5949564,7
5.418194,-14.3955345,1
20.924034,12.881113,4
-12.796352,-20.01419,1
-6.302067,8.6945,7
-12.426602,-16.334541,4
-16.450098,-2.730251,8
-26.659,3.6133158,8
