UMAP1,UMAP2,label
6.403904,2.5099254,4
6.2803774,5.4161725,4
0.4179365,5.3959846,8
5.2785773,1.3867515,4
0.4684001,4.6150804,6
2.18309,4.271436,1
2.419545,5.374505,8
3.4474578,3.4639556,4
4.2444553,3.974116,1
3.7877777,5.7628713,1
2.2687368,6.4474187,3
6.2058063,2.8751912,4
4.734607,2.5794384,4
5.640806,3.6903327,4
1.6272837,5.001622,4
3.542991,5.596127,1
4.5650363,2.792473,4
0.31963578,4.4817357,8
6.0706196,1.1958344,4
0.0025982035,5.644408,8
1.9368697,5.6341057,9
6.238257,2.0657296,4
2.7802196,1.9060107,2
2.5786073,3.761615,4
0.9919781,3.879584,4
1.2759854,3.8347,8
3.956079,2.5406337,4
5.5555863,1.3830386,4
2.2967765,3.8430402,6
1.9434538,2.1253805,2
4.795969,3.129397,1
6.2235165,5.638427,4
1.2671671,6.3561964,3
0.76800144,1.726508,8
5.428512,1.288448,4
-0.53412217,5.1825495,8
0.85678744,4.588997,8
2.667042,1.4165925,2
1.2737417,3.3930402,4
4.640486,3.3138888,0
6.421772,4.294299,4
4.162377,2.939726,4
5.1470957,2.0818322,4
0.52305895,2.0650678,7
0.60782593,4.898136,6
3.1716723,3.5402572,4
3.5925167,5.329337,4
2.519441,4.217243,1
2.18571,1.2602494,2
0.067851245,4.903363,6
2.4641008,2.115131,2
2.5751638,2.5818236,7
6.8632464,5.0337734,4
3.0457172,3.6198022,4
1.1886947,1.8479887,7
4.7765226,4.95888,3
3.3196855,5.331338,1
2.5477273,1.1293032,2
5.157649,0.85090667,4
2.1883204,7.3398294,5
5.6107545,1.0939827,1
1.4262931,3.6505768,8
1.020619,4.626434,1
5.634226,4.9835987,4
1.4889688,5.012384,6
0.3724896,5.3282647,4
2.454387,5.091916,8
5.748962,0.83777565,4
2.6404781,1.4277834,2
2.086395,3.2684624,1
5.353253,0.65030396,4
5.5028763,1.1697834,4
2.7335105,1.4111372,2
4.455661,2.3141959,2
0.5884807,1.8774114,7
2.5843606,4.8953123,8
5.8034935,1.1257362,4
4.169005,2.453377,4
5.656542,2.9533699,4
0.7572838,4.847991,8
3.6624465,5.1233106,1
0.4456004,4.670001,8
4.0944,3.6677442,1
3.4752278,5.3684793,1
0.72244096,4.461601,8
-0.22392985,4.4577446,8
2.0479126,1.3558972,0
3.0180757,1.5228804,2
6.2431874,4.873657,8
6.265461,4.3496027,4
0.36202222,4.8072934,6
2.257378,4.025512,1
3.284848,2.366004,2
6.4988294,5.855576,4
5.656894,1.2583281,1
6.015165,1.7629163,4
6.437115,5.8537436,4
5.76639,3.4533663,4
4.1862435,3.5869086,1
0.4141697,5.271208,8
6.5616474,5.3991423,4
4.083283,3.1903956,1
0.6372607,2.0364718,7
3.4933538,5.1869245,1
2.177994,6.829976,5
0.23147006,5.5347524,8
2.7310877,2.3073094,2
0.7884776,3.8057957,8
0.16840631,4.7630177,6
5.883909,1.9790274,4
2.013458,2.4645188,7
4.2892084,4.815794,8
3.5143785,4.7098866,1
2.6638894,1.4997365,2
6.2180796,2.3522062,4
5.744995,1.4616766,4
5.846423,4.9301057,4
4.728474,4.998118,4
0.3380126,3.973253,4
2.4545496,1.7238878,0
1.7273482,4.516402,1
0.8098197,4.177634,8
6.1589828,3.1958466,4
2.9533534,5.2817297,8
3.2430577,3.3732572,4
3.1284027,1.4676836,2
2.9618077,3.4405053,8
5.9150953,3.0020134,4
6.105895,2.9858425,4
3.4375203,1.6936535,2
5.280677,3.1774125,4
2.7413385,1.3942363,2
1.7433825,4.603817,9
2.1301472,6.0419416,8
3.622772,5.5766735,1
3.2678485,2.3259714,2
1.4898868,6.2786846,9
5.399294,1.4672766,4
1.6183338,2.3493342,7
4.0297937,3.816499,1
6.3702435,5.43286,4
3.72355,6.103201,1
0.830317,1.9959233,7
2.5322304,5.9753056,4
1.1546916,4.203948,8
-0.4747994,5.042944,8
2.5369375,5.182515,8
5.9821,5.0876904,4
2.7439575,3.5592065,8
2.724307,1.1628766,2
6.5024586,4.9305067,4
5.19614,1.2607567,4
4.674378,2.557721,4
5.958662,2.7684033,4
0.8227486,2.1536052,7
0.31733432,4.420868,8
6.3039675,2.4825761,4
2.9668903,1.5155431,2
1.6696236,2.267789,7
3.8344262,5.668845,1
3.015907,6.0574336,8
4.6628165,4.997587,4
2.150097,2.3130283,0
7.066046,4.851579,4
3.6128159,5.5403605,1
5.7795935,0.88737184,4
6.3700347,2.9742894,4
2.555964,4.5958366,8
1.1139836,5.0193834,8
2.7118976,5.276349,8
2.2211916,4.3456726,8
5.986494,4.851134,4
3.7884572,5.7651663,1
3.7278764,5.662944,1
-0.11246914,5.372963,8
3.511391,1.7019618,0
1.2747958,2.3071773,7
3.8271847,6.289873,1
1.2971987,4.5346847,4
3.6456797,4.3800235,1
0.5249747,1.8532894,7
0.57865,3.9944122,3
6.054798,4.8567214,4
4.761252,5.064593,3
6.092745,3.139307,4
1.3601805,7.006537,3
3.051431,3.884534,1
5.505442,1.0504323,4
0.43588388,4.9955783,6
1.2809148,6.830472,3
2.6600761,1.0466442,2
6.3533278,3.3558152,4
3.6555877,5.327631,1
1.8603264,4.339949,6
3.1277359,1.4806006,0
-0.011670462,5.4186177,4
2.6743078,3.7626855,4
3.2304804,3.3045073,8
3.7077825,5.666171,1
2.5346165,2.041505,2
1.3511001,6.9163494,3
1.926211,5.2618694,4
0.42151085,4.9620924,8
5.8974104,3.294605,4
2.67172,5.2809553,8
2.180995,3.4843256,4
4.614288,2.798575,4
2.2552607,1.8716855,2
0.6806202,1.8116848,7
0.7980402,3.9249673,8
1.9043155,4.071119,8
2.701874,5.0096416,8
0.33968112,4.415459,8
3.2173955,3.7221103,4
3.9420395,3.6499653,1
0.5666074,4.7095556,8
4.778208,5.2129655,3
3.8463144,5.075967,1
5.9427686,1.6271148,4
6.547944,5.8102846,4
7.045178,5.152882,4
3.8691866,5.8791714,1
1.8361322,3.9997573,4
2.3392942,2.7899282,2
2.1141229,5.306567,4
0.87728,4.1998982,8
2.0944,1.4707606,2
6.855468,4.8730736,4
2.7591574,4.696814,8
3.9676661,3.4196756,1
3.0041623,6.4252405,4
2.5589483,1.4176427,2
5.396845,0.843463,4
1.5831586,6.7356815,3
2.3197656,7.1364846,5
2.4168088,3.9567695,1
-0.3850307,4.5928206,6
4.0825863,5.711827,1
6.483049,4.698169,4
3.741295,5.8087206,1
5.8450985,2.9460359,4
2.593379,1.4716741,2
6.234718,2.7163925,4
3.9716752,6.11651,1
6.151458,4.742727,4
-0.02946118,4.9915004,8
0.21501206,4.439951,8
3.5164227,6.1648803,1
5.9963865,4.2380877,4
4.245407,3.0779424,4
0.69046515,4.9268312,6
2.7575462,2.151177,0
2.9314027,2.044514,2
5.428259,0.6804995,4
2.2424939,1.9329758,2
0.836817,4.2088437,8
2.1714137,5.8230453,4
0.37549093,1.899764,7
2.8013043,2.4222565,7
1.2601433,7.064854,3
3.886154,5.4756236,1
0.6919886,4.664115,6
1.9954621,1.1375284,2
6.233723,2.251495,4
6.506675,3.2598217,4
3.360768,3.5071726,1
3.0120356,4.511092,1
5.914611,0.9249571,4
1.3271472,3.9733598,1
3.283251,3.7482722,4
-0.3322987,5.8962746,8
2.8335376,4.1118145,1
2.5892935,6.6466813,4
3.5796163,4.6094403,1
0.23171179,5.3946085,8
1.2904345,4.4015107,0
1.8401301,5.3040504,4
3.0939484,1.698757,2
1.211202,4.083359,8
6.549822,5.5799127,4
0.89759463,3.9017034,8
3.9428127,2.5881808,4
0.6373603,2.7506797,8
4.758499,5.229408,3
0.3167008,3.9693146,8
6.0873475,3.8914115,4
1.5313534,6.933729,3
5.789944,0.8619114,4
6.2330933,3.1231265,4
2.519027,5.5169806,1
6.0045986,1.9815661,4
1.6782278,4.5216656,8
6.6670523,5.4239407,4
6.8698792,4.6954646,4
6.258663,2.872386,4
5.6827526,1.1706289,4
6.126221,2.0262578,4
6.3470807,5.208461,4
2.6369357,5.3626223,8
3.830093,5.596915,1
1.6212602,6.8480406,3
5.9345517,4.2953367,4
2.9564476,1.381737,2
1.7856109,3.9193091,4
5.833748,1.2566341,4
4.072772,2.7383044,4
6.437325,5.613818,4
3.3235548,2.4094672,0
3.5256515,5.1241164,1
2.7376642,1.905784,2
5.5959024,4.6865096,4
3.026371,1.099289,2
5.708934,3.1041465,4
0.84577924,4.991351,8
5.657081,0.93012804,4
5.4013705,0.7031694,4
0.9159944,1.9394736,7
2.10606,7.1331596,3
1.63262,2.7615678,2
0.4400541,4.0969276,4
2.7774727,4.9810305,8
3.1189706,1.1611142,2
2.8184233,1.8267069,2
6.44074,5.063695,4
0.80501163,1.9634255,2
2.631909,1.1688244,2
1.7017115,6.1238995,9
2.8642364,4.995119,8
3.9964633,2.7837176,4
0.56338465,4.6485996,4
1.143123,3.94447,4
6.846093,6.0735383,4
6.4257593,5.254917,4
3.739494,5.764972,1
6.404016,5.508004,4
6.007254,4.5010715,4
3.1267452,1.8670394,4
5.9271502,4.293395,4
2.9491646,1.0963119,2
3.633622,5.119031,1
2.250489,3.5744367,4
4.4628468,3.4229395,1
2.707229,5.507765,4
3.7768831,5.6910996,1
2.3893878,5.204534,8
4.027671,6.481875,1
3.8317528,6.3503647,1
4.278979,3.5671196,1
4.97101,1.8155625,4
6.1516166,1.5911748,4
1.6970307,4.13768,4
3.2150533,4.539636,1
0.6209176,4.14166,8
4.6119504,3.4227934,3
-0.19733007,4.5973225,6
1.6153623,5.899523,9
5.771363,0.534948,4
1.8106233,5.176807,9
1.8823161,4.2318025,4
4.255385,1.6077131,2
3.6114702,4.562584,1
3.1645203,3.493421,4
1.5268434,6.9177914,3
5.6991534,3.0416245,4
3.1682918,1.4369296,2
4.5179768,4.718988,8
1.83217,4.9630027,3
2.594597,1.3310486,2
3.0581017,3.55172,4
6.1685266,0.99815077,4
3.3754153,3.2639322,4
4.47664,3.1048112,0
5.4230886,2.5783393,4
2.17691,1.8184593,0
4.7727504,5.1190233,3
6.043634,5.8279824,4
2.2992046,2.2084658,2
4.381411,2.7350218,4
1.195285,4.7881966,8
4.6754537,2.7120771,4
3.1498005,3.4866402,8
5.3274393,1.6796972,4
6.123006,1.9535173,4
6.2115602,2.5054965,4
5.590536,1.4844216,4
1.5659508,6.0244737,9
2.6309412,5.1969237,8
6.4561234,3.8266072,4
6.8595996,4.2879896,4
3.9977498,5.727761,1
2.7223282,5.1515217,8
6.2957654,3.787238,4
1.3905958,6.9662275,3
3.1074574,1.2347425,2
2.2730653,3.827489,8
6.120605,3.014822,4
6.8746715,4.6019254,4
1.7484438,6.0192046,9
6.697094,5.8078985,4
-0.011220839,4.647903,8
-0.015182433,4.6490917,6
1.0848676,3.8650858,8
5.989516,1.1556412,4
2.3765106,1.6426961,2
5.924934,2.4084842,4
0.4950249,5.149235,6
2.3034604,6.6869507,5
4.261877,3.408218,1
0.52506423,5.360669,8
0.39068297,4.6389923,8
4.363643,3.5161307,1
0.66096985,5.500047,8
5.5200143,1.9185328,4
4.860203,2.4044337,4
6.463751,5.47931,4
3.9905856,4.055215,1
2.361861,1.2205538,2
3.5616016,2.2612538,0
6.7629867,4.3984137,4
4.221854,3.1300437,1
2.2985082,1.4094187,2
7.1041503,4.8098693,4
1.6041459,2.2691698,4
2.8536038,6.100771,4
6.321033,2.3467393,4
1.7008288,3.789022,8
3.519255,5.576624,1
4.310283,3.0038204,1
1.2833031,6.2300305,9
3.6494162,5.4739428,1
5.5160627,1.5530427,4
2.087961,1.5343211,2
3.613215,6.3241515,1
5.4928846,2.3935175,4
3.2141695,1.788735,2
6.0437093,4.409681,4
-0.20581013,5.3799477,8
4.7095895,4.582632,4
4.9285645,2.732835,4
2.0798013,1.8744761,0
3.0288136,5.558364,8
1.4375114,7.1165204,3
1.8405749,4.202428,1
3.745476,3.350629,1
1.1682626,4.500972,8
1.5365063,4.210835,8
4.6741486,4.357546,4
2.4089947,6.9594116,5
0.540546,4.3077564,8
1.2768203,4.853492,8
6.800748,4.171517,4
4.125289,6.472535,1
1.2163899,1.9970597,7
3.1733756,6.392444,4
4.4574013,2.5109,4
5.6390076,4.4018273,4
2.241097,7.4633985,5
2.2255025,1.4808236,0
0.88156086,4.670083,1
2.186095,7.3668704,5
5.559747,1.792544,4
3.8718114,6.4222407,1
1.913031,3.9945033,1
3.794295,6.2795687,1
2.6438246,6.1579914,4
1.446962,1.8888069,2
2.375738,6.4328656,8
1.9883443,2.1770349,2
6.7757993,4.5868397,4
2.540368,4.4816523,1
4.9189653,2.8039422,4
6.4326615,5.5176744,4
3.396079,2.2030935,0
-0.1547633,4.9671926,8
2.7430775,3.0657766,7
3.2589056,1.2088337,2
3.6195338,6.0183744,1
6.4569993,5.350935,4
6.386948,5.818651,4
1.0192873,4.1079054,9
1.9466472,1.5020323,2
1.540948,6.9840584,3
3.59158,3.0449789,4
3.7252426,5.3679295,1
1.186621,2.1678157,7
3.2177615,4.3948193,1
6.0118966,1.6800591,4
2.0505784,7.130416,5
4.4824677,3.605659,1
3.6002283,5.1678753,1
4.0857134,3.2089143,4
6.6984987,4.646341,4
2.5351596,6.9653015,5
-0.003448349,4.3938346,6
0.64539105,2.0568724,7
3.5868504,5.7637367,1
2.96142,4.9986887,8
3.990384,5.513674,1
4.0538177,3.3347478,4
5.3853717,3.1663153,4
2.926661,2.2667391,2
3.1859696,6.479283,4
1.473278,5.9077873,9
4.3355236,2.4899714,4
3.5374207,1.8938793,2
2.8420064,3.727063,4
3.6276312,3.1965125,4
5.5857716,4.273837,4
6.0693116,2.8896573,4
5.545715,2.7309613,4
2.9999902,2.4458196,7
1.2023966,3.8436868,8
3.080178,2.769525,7
4.977468,2.6496253,4
1.5199406,4.3944626,8
3.2693858,3.1603177,8
3.5615966,5.4622455,1
0.35388058,5.0134373,8
6.0815516,2.9160616,4
2.6843195,3.4846857,4
6.416637,5.319385,4
2.1883225,3.5955691,1
0.67148054,4.420089,8
4.375596,3.0927749,1
2.7001004,5.11401,8
3.914537,4.150537,1
3.5585625,2.0534644,0
3.9778128,4.3021894,2
3.1014433,3.2934134,4
6.2923903,5.450911,4
6.656987,5.1479707,4
4.1004844,4.5781946,1
5.486166,1.0861361,4
2.2728903,1.7409948,2
1.2960039,6.9204326,3
2.8051732,5.0537524,8
0.56165534,4.3818235,8
3.7262156,5.856332,1
3.2893653,2.0332692,2
2.0797055,7.3513856,5
2.395913,3.8111494,4
2.0927498,1.0880148,2
5.199257,0.9496981,4
2.9730108,4.3369226,1
1.5293151,1.4520513,0
1.5131836,3.6378973,8
1.6367198,3.1161618,1
2.2353637,7.2249455,5
0.84290475,5.3314095,8
5.449465,2.6785476,4
-0.19340503,4.6083345,8
3.9104888,3.9589517,4
5.0883017,1.5074104,4
4.708856,2.4854534,4
2.9655678,5.5901837,1
2.6390562,1.8066945,2
5.5362353,0.5537678,4
3.921334,5.3824615,1
3.3713055,6.3824363,4
6.13768,5.5930576,4
2.788325,1.6907145,2
6.645484,4.677603,4
3.0074809,1.4350184,7
2.3238363,7.4008493,5
2.7032783,6.159735,4
3.3131676,6.4583397,4
4.9191856,2.3874526,4
5.34879,3.199871,4
6.16139,3.3797436,4
0.29697976,4.4340534,8
4.456493,2.6150763,0
5.2110395,1.0872313,4
2.1516993,4.85363,4
2.6394181,1.884251,0
4.194857,2.9436617,8
0.60993,1.9647377,2
2.6054327,1.7775832,2
6.5421286,3.0377607,4
0.28575423,1.7354361,7
2.0216792,4.1761017,1
1.4382646,4.4701757,1
4.0496125,3.5874987,1
3.0665114,1.4065506,2
1.454507,5.9160953,9
0.59138966,5.3874965,8
6.581047,5.2579346,4
6.213202,4.3789816,4
7.1739583,5.2421246,4
5.5733514,3.6535997,4
2.3624136,1.7103782,2
5.937175,2.833407,4
4.8023524,4.4368095,4
1.4159064,5.4634295,9
6.760692,6.0315576,4
3.155485,3.320644,4
1.2101439,5.2373343,8
1.620047,6.772531,3
2.3765364,2.10068,7
5.3543324,1.0030779,4
3.0969877,4.366977,1
4.65759,5.100224,3
6.057083,2.1726942,4
-0.22787146,5.949566,6
2.265495,3.714289,8
0.59923,4.7343984,8
1.3028637,3.8533514,8
3.8037715,5.382926,1
6.921425,4.855159,4
3.6468153,4.9975057,1
1.1359459,4.2613726,8
