TSNE1,TSNE2,label
-48.574654,15.217499,3
-0.24127041,-63.586517,4
-1.7834127,-54.745243,4
-46.854706,-32.41132,0
-49.891766,17.645546,3
-2.3982737,63.716686,2
-40.584755,-29.796894,0
-55.507744,22.908922,3
-43.203438,18.428638,3
0.13714208,69.33686,2
-46.451466,-31.63723,0
-35.477425,-28.120947,0
2.5197363,-68.764656,4
-44.055614,14.282723,3
-48.54437,10.145892,3
-51.343544,19.968975,3
-5.5174065,69.685684,2
-55.94176,22.329302,3
39.559654,32.94031,1
-55.36384,21.438911,3
63.27388,3.851392,5
-50.85832,21.637846,3
1.0907625,-62.725285,4
40.88302,-27.781488,6
-55.0154,21.001762,3
-42.75494,14.9538965,3
40.494217,-27.871464,6
-45.747658,8.406161,3
0.22979447,65.875244,2
2.5388627,-65.62397,4
-39.602207,5.3305984,3
38.214478,-24.415865,6
-31.909971,-26.5009,0
1.2132549,-52.255474,4
-6.993845,66.12483,2
-38.160217,-29.51143,0
32.64867,25.192377,1
54.666153,-3.237067,5
-0.08702889,-53.33078,4
-0.13349658,-61.07343,4
-46.41491,12.785866,3
35.82993,-23.163769,6
40.363922,-26.696165,6
2.7163076,-66.5632,4
-52.4933,14.05382,3
-41.076405,9.069378,3
-4.53757,68.20482,2
71.69647,2.434574,5
-49.97082,5.605951,3
-4.761238,-57.896656,4
66.1031,3.609425,5
-32.262684,15.908376,3
-45.080288,-33.041294,0
-4.2892294,62.474537,2
32.18426,31.929228,1
2.391583,-36.234684,4
39.55977,-24.697779,6
-47.568302,10.151633,3
-6.5465436,70.516754,2
1.4640071,59.964283,2
-27.48507,-26.481558,0
-30.74987,-18.278687,0
-44.55892,-36.63362,0
-0.71203846,-59.351315,4
-6.9439044,70.20689,2
-33.067127,-18.232164,0
3.4113328,-67.591446,4
69.928085,1.0289043,5
-3.2822902,51.29525,2
31.983389,-17.805958,6
70.23177,-0.70694464,5
-3.8056087,54.018238,2
-2.266369,58.866344,2
-10.233682,54.990868,2
-31.823544,-22.137344,0
7.5948753,-63.338028,4
56.606277,-5.789901,5
37.725494,-21.01085,6
-2.7305236,-55.083378,4
-37.275665,-25.581951,0
-41.535187,-35.598644,0
-42.01062,-33.10846,0
1.6056315,-64.21549,4
-7.0951166,67.49244,2
8.103234,-62.408253,4
38.9842,26.588099,1
-1.2928861,-49.31602,4
39.532078,-25.729744,6
-24.284674,-26.04668,0
3.2945943,-64.34276,4
-1.9144158,70.00066,2
-0.44229633,-54.62244,4
38.63684,-28.049528,6
36.30048,-21.302092,6
-42.483124,-26.946442,0
-39.27664,-28.852903,0
39.510113,-26.57962,6
68.840195,4.712398,5
-42.86795,-36.577297,0
40.061573,-28.03337,6
-44.22336,-35.57342,0
-10.323505,50.287178,2
30.505774,25.92736,1
37.64723,30.560839,1
39.83012,31.842192,1
-2.2709615,67.41167,2
40.883717,-25.424408,6
68.013695,3.870025,5
38.744167,-29.114788,6
27.959219,25.571733,1
-4.934748,54.45504,2
-5.637417,62.724968,2
35.266617,29.913174,1
68.64277,0.40626964,5
56.79501,4.6475005,5
66.65213,2.6922143,5
37.910942,-23.93366,6
69.68859,3.9094608,5
30.964182,-19.149956,6
69.46111,-0.50527287,5
56.39281,-4.7832065,5
40.11179,28.759766,1
40.45702,-28.358158,6
39.86117,-27.789734,6
31.683641,30.095613,1
66.15971,5.5969253,5
31.297712,31.489002,1
39.22594,-27.578878,6
69.034904,2.4016812,5
67.23511,-2.3315551,5
61.702877,-5.5404267,5
33.02681,34.65062,1
69.352745,0.57077795,5
35.148994,30.849056,1
36.53613,32.65342,1
41.092216,31.83515,1
40.3883,33.256588,1
41.227806,32.40594,1
32.132336,32.46652,1
39.10646,31.885654,1
12.942167,-36.87123,4
-9.21398,-44.25847,3
-41.813793,-31.21459,0
-43.760822,13.760879,3
30.307518,-23.944256,6
30.077507,-23.440962,6
-29.37787,-15.6736145,0
8.347951,-3.8360791,3
5.9377975,-48.548294,4
-27.679676,-15.025408,0
-51.831818,14.526275,3
-3.7357876,-44.960293,4
2.2856045,-63.808655,4
32.490654,30.230099,1
-2.097296,55.63464,2
-2.5365531,70.25396,2
-2.551074,70.10282,2
-48.980568,17.68185,3
-34.23329,1.9813519,3
-34.402252,1.0344645,3
-4.0583587,-3.9871125,3
34.600464,-17.760923,0
4.08699,-28.163311,4
71.99162,2.1503885,5
0.33236974,-26.839739,0
-33.535652,7.666705,3
24.534142,-8.559703,4
-0.5863474,6.5616155,3
-2.528635,6.986945,3
-33.061565,4.777184,3
1.7512704,47.018425,2
-25.797817,0.5619094,3
8.390629,-40.46842,3
-12.150898,52.618385,2
0.77721626,59.925972,2
35.977184,-23.331484,6
18.404615,0.37043086,1
9.107889,-45.148,4
-31.325401,4.6105657,3
-17.669266,14.554213,3
-34.570843,1.5102412,3
32.854633,-17.895412,6
-10.630418,1.4372897,3
-9.549755,1.352323,3
-15.685464,10.710096,3
-25.965004,3.649158,3
-31.435564,-11.756176,0
10.59976,-45.32404,4
0.017855985,50.749428,2
-7.8392525,62.004166,2
36.011375,-20.349382,6
-3.9904854,4.9019055,5
-1.6972216,39.391823,3
68.51236,1.0413889,5
-3.514326,-60.432255,4
-40.559536,-27.55445,0
