TRIMAP1,TRIMAP2,label
-92.18817,25.754444,3
-18.592144,25.821527,4
66.32525,25.470974,4
75.460106,20.228996,0
14.17929,-26.385965,3
10.992503,-22.173834,2
55.902927,15.015402,0
-94.63872,-22.907019,3
6.0502863,-17.535086,3
-90.127716,-21.91829,2
56.17659,20.899614,0
-25.713661,74.91476,0
-104.37212,-32.856804,4
32.393665,-15.030995,3
-6.380428,23.024836,3
-29.423754,55.76329,3
63.80295,-61.10538,2
-88.21926,-6.6929226,3
-95.7312,-15.545828,1
23.757517,-29.810923,3
-91.14181,-33.573746,5
65.97538,12.318264,3
-22.13001,-9.833621,4
-91.51533,-23.078684,6
-73.215515,106.04405,3
-42.114475,62.68223,3
27.344084,-65.077995,6
-35.416836,50.050285,3
29.682365,-30.690948,2
-108.10863,-19.513292,4
-23.899755,95.46265,3
73.06157,12.232041,6
70.411446,11.87516,0
-34.552162,-38.06448,4
51.858276,-35.253517,2
67.9426,17.861734,0
53.168526,19.22547,1
68.15746,22.35059,5
-12.156319,-12.155369,4
-32.046764,-76.84744,4
57.073532,13.257105,3
72.67541,17.37445,6
80.40636,6.950218,6
-93.42729,-42.421597,4
-37.331394,57.93312,3
-31.684235,41.89885,3
-141.83466,-22.287834,2
23.06166,-46.822403,5
-32.62594,24.113176,3
59.79613,14.117303,4
61.762447,10.275217,5
-59.80723,12.843676,3
-94.768875,-29.377308,0
52.48688,-38.712032,2
-118.21401,-20.189991,1
14.569808,-13.83326,4
89.63182,0.5574451,6
72.18921,17.054214,3
-96.00441,-29.818727,2
60.736942,-56.49029,2
66.59718,31.483707,0
7.967697,-7.162359,0
17.685175,-23.891869,0
-10.049409,-10.040138,4
15.213686,-28.246006,2
-12.960578,-17.444397,0
-95.12432,-29.859562,4
21.29062,-52.88389,5
79.33035,-0.5280787,2
72.67748,21.444729,6
19.447683,-32.428856,5
-34.761745,96.814674,2
-110.35777,12.215911,2
-81.96871,-29.943867,2
66.1118,10.338665,0
-21.890373,-45.237423,4
75.86517,12.51218,5
63.453358,12.565283,6
-7.9322605,-18.156397,4
75.64609,40.206203,0
65.06142,27.070084,0
67.64634,31.149132,0
-96.21046,-30.17886,4
-66.12812,-25.870382,2
-58.88338,-11.657276,4
-57.954803,-40.168854,1
14.288327,-6.8025937,4
62.131893,34.402378,6
67.709656,23.445873,0
12.385711,-28.745655,4
47.22416,-33.628616,2
-67.287605,0.98356456,4
15.88117,-92.57891,6
-95.50649,-23.406569,6
-107.49098,22.363894,0
58.57059,18.191004,0
77.568245,2.3709862,6
23.974535,-43.882133,5
-49.724144,-33.70522,0
21.94669,-87.729774,6
58.760662,20.6907,0
-29.800417,75.916595,2
57.546295,19.518085,1
50.773815,12.376437,1
59.15428,17.020727,1
63.224224,-30.247078,2
83.087074,4.275662,6
39.848846,-44.17345,5
21.09502,-90.37554,6
60.340935,17.294743,1
-50.378513,72.85501,2
-136.56682,-21.487091,2
25.69432,-27.491365,1
24.089424,-50.110245,5
61.318367,-7.7002635,5
63.78842,39.71594,5
70.277954,23.453468,6
23.683123,-19.69748,5
31.81917,-17.322905,6
24.657907,-47.07826,5
-89.7878,-25.322931,5
46.826878,10.124281,1
22.73385,-66.558464,6
20.944454,-91.08606,6
56.122253,23.394274,1
18.719685,-51.11087,5
-39.660126,41.02701,1
-82.46459,-38.974857,6
-14.55319,-51.02095,5
61.579674,2.2332609,5
65.11921,9.938286,5
-31.438803,70.9701,1
24.69686,-46.648754,5
-100.463905,-14.604334,1
62.33026,17.990353,1
57.7882,23.998613,1
58.52051,15.344462,1
48.27439,11.299313,1
56.202282,16.676168,1
48.70483,10.883406,1
11.249698,-26.779934,4
-28.561047,-17.365442,3
63.723785,34.702034,0
-94.66789,-22.177664,3
-88.472145,-39.03971,6
12.497095,-31.982521,6
-91.19551,-25.54523,0
66.01718,11.769435,3
-35.65516,-74.51481,4
-97.326355,-16.918655,0
-70.51504,63.107437,3
-144.74187,-35.077415,4
-71.43746,-34.003506,4
54.031452,25.585072,1
41.577904,-41.03445,2
-103.2828,-17.210798,2
64.90147,-49.2328,2
-86.032555,-26.519842,3
-55.727753,-20.97847,3
-24.737377,-2.787058,3
-34.320995,54.113644,3
-65.58031,-35.573654,0
72.747856,16.97749,4
27.836864,-33.623528,5
78.32238,23.596186,0
-34.728863,54.89811,3
46.75618,6.423109,4
2.4185076,-18.128193,3
13.223925,-14.918902,3
56.3491,8.673578,3
62.178165,-53.648407,2
-39.58483,-26.503563,3
