UMAP1,UMAP2,label
10.170671,4.120837,3
8.445958,5.4471087,4
9.863632,7.2647414,4
10.91177,7.6181545,0
9.619794,5.946616,3
9.213406,7.6532483,2
10.529423,7.532517,0
9.786337,6.847776,3
10.08306,5.970125,3
11.379413,5.470194,2
10.628441,6.8282394,0
10.032098,4.258271,0
8.35101,5.3282046,4
11.066255,4.9787626,3
8.634211,4.900606,3
10.478325,4.157185,3
11.815534,4.785798,2
8.536725,3.6977024,3
10.987083,6.484552,1
11.205968,5.5867887,3
12.306654,6.4095664,5
8.892888,8.799535,3
8.008594,6.0869155,4
9.075614,5.7613683,6
8.560843,3.7919836,3
9.840519,3.4158955,3
12.049235,3.2730994,6
9.603491,5.22875,3
11.966419,4.225367,2
8.303474,5.0121365,4
9.502135,4.328801,3
11.514325,8.172575,6
11.594512,7.5921736,0
8.311143,6.6704564,4
11.90507,4.4350657,2
11.792189,7.496459,0
11.8509655,6.199925,1
11.57954,7.2098117,5
8.414249,7.0800395,4
6.987681,6.5470257,4
10.251153,6.888551,3
11.920491,7.384578,6
11.718796,8.960525,6
9.256431,6.6521883,4
10.09472,4.2838554,3
9.541062,5.650995,3
12.286248,4.0461397,2
13.487778,7.4534664,5
9.242642,4.000304,3
9.165417,7.1562314,4
10.990072,8.385103,5
10.644421,4.673331,3
10.24233,8.412052,0
12.37339,4.4731936,2
11.18031,7.3812675,1
9.74032,7.774007,4
11.74641,9.045526,6
9.627057,7.62427,3
12.763333,4.6459703,2
12.747237,4.892628,2
10.895571,7.7567954,0
9.756386,7.900253,0
8.637294,8.898147,0
8.078042,6.6254306,4
12.191477,5.586183,2
8.630285,6.7425475,0
11.41406,4.42611,4
13.657708,7.333614,5
12.160246,4.326767,2
11.448508,7.646554,6
12.917541,7.5910783,5
11.357957,4.1413918,2
7.7600493,4.5396976,2
12.182634,5.7572803,2
11.107293,7.840783,0
10.260898,6.5978026,4
10.978291,7.504496,5
10.937164,8.568817,6
8.377571,6.73637,4
11.436863,7.167173,0
10.396902,9.03316,0
9.839447,8.743373,0
7.6082063,5.9152246,4
12.039241,4.385882,2
10.006193,7.016298,4
10.23319,6.779759,1
9.057806,7.2844915,4
11.827776,8.431177,6
10.631025,7.4578543,0
8.740332,5.7750688,4
12.108581,4.402927,2
8.3951,4.8482094,4
12.234885,2.9211257,6
11.076356,7.324548,6
7.6636767,4.6185374,0
9.825779,8.610485,0
11.8693075,8.723681,6
13.045645,7.1658993,5
10.381284,8.245602,0
12.1761265,2.892321,6
10.051956,9.066352,0
11.294835,4.2506533,2
11.077203,4.5500846,1
10.90252,6.178068,1
11.38142,6.8718133,1
11.817739,4.7646494,2
11.82616,8.8401785,6
12.1047945,4.2987957,5
12.011423,2.7751849,6
11.360952,6.232564,1
11.50905,3.8933935,2
12.370776,4.0313787,2
11.009757,5.988944,1
13.366646,7.4224463,5
11.931441,6.027736,5
11.723837,7.8062067,5
11.489088,8.535994,6
12.489768,6.715203,5
11.446298,7.3083324,6
13.595427,7.3997564,5
11.065359,6.9429984,5
10.887899,6.227297,1
11.251741,5.585696,6
12.205185,2.900408,6
10.35206,7.141989,1
13.514363,7.1383085,5
10.119286,4.8966928,1
12.1854925,2.916458,6
12.651852,7.228184,5
13.455589,7.2225437,5
12.087208,7.155586,5
11.301694,4.397743,1
13.542786,7.4625483,5
11.258818,6.6087837,1
11.921862,7.2805505,1
10.127376,7.0938435,1
11.548972,6.5246964,1
10.963777,6.293483,1
11.70845,6.2716722,1
11.085366,6.4228992,1
10.159523,6.559182,4
8.346001,5.9822145,3
10.121846,8.889823,0
8.56831,4.1461086,3
11.987763,2.7391255,6
11.978784,2.8077571,6
9.980759,5.382381,0
9.300568,8.384555,3
6.87872,6.366862,4
10.697822,6.83242,0
8.570069,3.6403196,3
11.394851,7.81984,4
9.52975,6.3149495,4
11.362389,6.2606583,1
12.25504,4.2866797,2
11.138624,6.1178136,2
11.878374,4.2910647,2
8.681057,4.1253533,3
8.590558,5.856099,3
8.662551,4.9384303,3
9.779965,6.584426,3
10.533387,6.9540896,0
10.694063,7.244506,4
13.146259,6.9704194,5
10.527897,7.5135946,0
9.738473,4.4676833,3
8.803093,5.241402,4
9.493266,5.917137,3
9.492918,6.16534,3
10.242419,4.58745,3
12.80562,5.4344974,2
8.627931,5.19344,3
8.3303585,6.690714,3
11.357892,4.1260166,2
13.020137,4.883866,2
11.937791,8.383997,6
11.396636,6.2844353,1
6.986145,6.576075,4
10.116489,4.249044,3
10.4666195,6.513236,3
7.938189,4.683263,3
11.794414,8.91228,6
9.574115,4.1670456,3
10.7100935,4.0235853,3
11.596503,6.6148615,3
9.795222,3.993066,3
9.348078,7.523753,0
8.0236845,7.54244,4
12.312069,4.573447,2
12.773205,5.0824876,2
11.958139,8.792847,6
9.393291,7.7937307,5
11.266878,3.4700432,3
12.335133,7.593902,5
8.2411995,6.1710486,4
7.61275,4.621129,0
9.475703,5.024856,4
9.084105,4.052785,3
6.955451,6.5819383,4
8.151227,6.5569735,4
10.37949,4.9257355,3
8.494983,4.292069,3
11.085337,4.562915,2
13.558325,7.4298544,4
11.711089,8.345759,0
9.148934,6.7833385,3
12.404815,7.278746,2
10.1418705,4.2655177,3
10.503556,5.563167,3
7.51578,7.0210767,4
9.410173,7.6751084,4
10.724056,7.8000565,0
9.884027,5.9799004,3
11.961477,2.766761,6
11.055569,7.720349,0
10.535112,4.4444084,3
9.665877,6.730294,3
7.8931255,6.4461913,4
9.024072,5.2149982,3
8.592674,8.796347,3
13.240795,7.289459,5
11.709099,5.4605308,2
9.1446905,5.750989,3
12.348327,4.0704784,2
9.132862,5.244411,4
