TSNE1,TSNE2,label
7.573935,29.483494,2
32.68691,60.405525,2
-68.36928,-41.06815,4
-50.36754,-70.18852,3
55.59933,8.126319,1
48.950676,-60.35145,0
35.521755,9.2787285,2
55.261948,-63.99362,0
32.038307,-76.475006,0
4.2601066,102.464676,2
2.6040034,16.374962,2
58.243797,-10.617289,1
37.187904,27.773046,2
58.869717,-20.323803,1
-91.96758,-14.904217,4
-93.22556,-21.081516,4
-42.605316,38.465603,2
-93.32228,-21.391487,4
67.16765,-29.190521,1
-56.9944,67.82617,2
-82.36876,31.714981,2
-15.746176,28.050537,2
-21.90684,-10.661173,2
-27.253078,-27.307837,4
66.23602,-17.204542,1
1.720327,-62.103497,0
16.250452,32.62513,2
64.203384,50.245007,2
7.998078,44.521427,2
59.783867,-63.159286,0
-34.776905,-28.040737,4
-87.80309,-23.885164,4
83.852325,-32.82009,1
-24.930775,-19.067907,4
19.748905,-71.733406,0
-7.428958,98.37245,2
21.923632,-60.71908,0
96.55655,12.434346,1
-59.66045,-18.341553,4
62.214535,-4.555271,1
13.866314,62.371704,2
88.6513,14.268557,1
39.578926,-61.163284,0
86.61443,0.11212602,1
-5.9248047,-60.335,0
-41.805412,25.727827,2
-41.71422,61.07131,2
55.546734,-24.528694,1
-25.68108,-58.536446,3
-12.877123,20.425903,2
-59.71188,-20.720688,4
-8.31146,75.445915,2
-38.83889,51.644474,2
24.334906,-84.06403,0
17.044693,-100.11936,0
25.588484,-44.521763,0
73.99573,2.3714635,1
28.087479,-76.49755,0
52.71892,62.603283,2
83.47976,20.061523,1
59.05091,-52.713203,0
-22.160759,56.695995,2
40.49404,-69.6859,0
-68.17287,-78.01992,3
-54.503242,1.732283,2
-59.480576,-21.802153,4
41.32733,-68.9951,0
36.584824,82.35992,2
12.619622,-100.40598,0
-57.182934,-85.00007,3
-33.4309,-44.67351,4
-23.905788,9.218705,2
88.90791,5.895846,1
41.111343,-2.541954,2
2.8812048,84.566765,2
31.948288,77.23415,2
29.244896,-0.3448287,2
17.724007,41.009914,2
89.37677,-13.6970825,1
-52.391514,50.759174,2
-55.59156,28.417326,2
44.19473,-20.898102,1
-82.61515,-16.187634,4
74.27013,-27.930843,1
-85.06064,33.891064,2
-2.4797966,95.59135,2
8.316016,49.135048,2
-72.356125,-25.427586,4
52.168064,67.083244,2
28.373941,62.95671,2
21.413416,-5.198611,2
78.29242,7.408735,1
-51.57651,-16.341795,4
66.11859,-3.7683144,1
-10.484466,73.83978,2
29.891228,-7.6940184,1
-70.568016,43.52718,2
103.96539,-0.2916706,1
-38.975906,74.209656,2
-22.09383,-17.784033,4
-33.91796,50.59051,2
38.063972,-75.605515,0
-8.005,102.87836,2
-7.923703,19.305326,2
-39.269386,-12.203393,4
4.39689,77.76414,2
-93.751724,-18.633833,4
-25.730118,10.060399,2
-49.059822,63.24159,2
-42.83352,-78.68679,3
-21.493843,27.24015,2
-81.12749,56.915016,2
12.288913,-56.11168,0
15.474798,-61.008213,0
-83.68641,48.61222,2
52.319386,-81.09178,0
-81.019424,-21.725327,4
89.85429,-4.8871007,1
64.54444,-54.9563,0
-72.50235,-24.899727,4
-90.88945,-27.038315,4
-52.019585,-18.090914,4
-6.949786,35.82822,2
-44.507282,-28.538021,4
11.719764,-38.76792,0
-35.252754,-29.185219,2
49.92255,-46.155914,0
39.277668,-1.0297064,1
6.8943367,46.62791,2
-69.278885,-24.894745,4
-1.3769208,3.1346974,2
-15.9136915,-65.77697,3
53.597157,64.28107,2
-39.78668,84.46539,2
28.664608,73.59324,2
62.104797,-69.87151,0
65.31399,11.247519,1
12.355427,-35.806026,0
-69.48994,-38.54622,4
0.373738,18.609844,2
19.629156,-93.35807,0
-29.655195,-62.016888,3
-7.8674684,33.827606,2
-13.314873,-72.28971,3
20.916527,-6.331097,2
-7.2596207,81.333244,2
-42.179688,-65.294685,3
37.299175,-75.56837,0
37.29834,78.71492,2
-21.96438,70.11186,2
-30.703325,6.9289937,2
-69.669624,-19.373592,4
38.563717,63.917233,2
61.00043,2.0128803,1
-92.563126,-18.932243,4
23.594498,-86.463234,0
53.453823,-70.0087,0
14.692105,96.47035,2
8.377474,44.274166,2
-17.062557,41.958855,2
19.923801,-65.12054,0
-58.05249,-72.82973,3
56.12858,-83.32079,0
47.39487,-61.206097,0
-12.856172,99.06759,2
-80.84228,-35.118893,4
44.573635,-68.634315,0
78.51334,-28.876738,1
104.32934,20.969631,1
-9.55951,-52.320427,0
71.293526,-5.858818,1
-10.940945,-12.613265,2
-45.209587,-27.019056,4
-80.1419,-17.23374,4
-18.166924,-22.840721,4
-31.83928,-24.200287,4
-70.70964,-19.062052,4
55.991776,41.5646,2
-69.98807,-38.25315,4
24.961155,-46.42119,0
-6.625203,-19.61006,2
-4.1987042,31.675718,2
108.12114,22.314924,1
-32.40744,35.46991,2
41.506924,-65.80896,0
-62.740498,83.53906,2
62.408867,-12.647054,1
14.6152315,93.14707,2
62.63204,60.142548,2
-68.39491,31.488405,2
23.627964,-57.995556,0
13.698714,59.466805,2
-16.429632,81.54996,2
-94.53243,54.093803,2
32.539917,54.14593,2
-74.81171,-19.23003,4
-51.279884,59.0197,2
26.260023,-66.702835,0
-55.23943,-28.043974,4
-19.33699,38.04767,2
-15.15294,16.761358,2
36.24146,-98.75399,0
49.81801,13.679414,2
68.08842,56.648174,2
68.864685,-15.655691,1
31.799671,60.25574,2
-24.795818,72.6313,2
87.910164,10.744546,1
-35.826317,-16.980473,4
-28.208843,-19.977722,4
24.570541,-14.868553,4
-11.468148,-31.40788,4
21.094053,-90.64607,0
-86.33503,50.059025,2
-0.37043977,-66.75869,0
27.409458,-58.016674,0
-15.231587,-26.592707,4
-63.632957,-18.355137,4
-75.81343,37.91442,2
-92.902306,-25.061157,4
-44.13847,-18.575274,4
-49.080036,78.902306,2
-69.613655,-34.704136,4
-62.462173,-25.528044,4
-10.100296,-21.952562,2
19.704958,-61.071423,0
18.6718,-71.90552,0
61.477974,39.74261,2
-42.427605,8.33978,2
4.269534,-62.04397,0
-30.728975,87.677444,2
26.920568,-81.97536,0
0.8253887,-73.25614,0
-2.9538078,-78.9626,0
29.15632,-62.30933,0
29.489521,74.05957,2
-29.423225,10.097012,2
-1.2798986,-80.37812,0
-56.673088,39.660374,2
53.75994,-8.199281,1
-46.74942,-68.63838,3
23.198822,-75.924,0
38.03836,-52.070286,0
-81.25262,-17.662876,4
1.0405296,47.374313,2
63.882454,5.2511854,1
-93.01479,25.946445,2
10.790345,-90.447556,0
-4.154433,-77.719765,0
-14.827649,42.463833,2
-91.554474,-24.453472,4
17.439009,-63.555447,0
92.09512,16.40768,1
-55.8313,53.670406,2
18.255718,63.636356,2
64.20924,3.6014318,1
-59.776894,24.863132,2
51.647438,72.177155,2
40.35116,-71.637276,0
-51.56039,-91.957054,3
91.48147,-29.004154,1
-41.801468,-71.962074,3
41.71026,35.41879,2
-55.00357,3.7879882,2
-35.355965,-18.604843,4
-93.14516,-13.63561,4
40.489414,-67.617905,0
-78.481186,-12.330584,4
-82.64719,-23.502525,4
34.327072,-5.844543,1
-60.82377,-19.054571,4
91.10788,10.633487,1
87.63907,6.593155,1
61.408733,38.393814,2
7.9869356,-45.17562,0
87.89416,23.883726,1
89.80567,15.826058,1
31.398785,-2.3832016,2
20.523087,-40.850933,0
-54.51032,-11.391943,4
-2.4550087,-79.926445,0
54.79777,-73.07548,0
-80.10251,59.263374,2
-13.557576,56.183178,2
-20.556355,90.47295,2
17.852238,43.22844,2
-8.627004,-2.5913935,2
-45.40886,4.6190066,2
29.303255,-11.354353,1
-28.242245,-27.406979,4
3.5194225,96.62577,2
-32.688637,-63.053802,3
-70.430244,-13.662639,4
-16.602634,20.647509,2
-88.855965,33.232185,2
31.83901,-17.937355,1
-7.542156,89.59276,2
-11.286579,-14.832076,4
-87.227234,50.92097,2
-73.60793,27.868177,2
5.2449584,-51.16207,0
-3.240851,13.309513,2
5.9120708,102.745514,2
21.26436,-7.031919,2
-55.415264,-23.187687,4
-85.81684,-21.862371,4
4.271307,84.06693,2
18.615856,78.90961,2
70.115295,13.767727,1
-47.124287,22.129843,2
-93.538055,-18.969872,4
92.55404,10.411827,1
-12.553717,-59.01117,3
59.022926,-85.301704,0
-22.737558,-17.930319,4
10.061206,98.234314,2
-21.158817,35.013474,2
103.16999,12.179649,1
-45.001915,-34.59938,4
-34.294365,-26.577534,4
76.32909,-22.136755,1
-87.44335,-16.133018,4
56.411457,-82.65402,0
100.37366,7.124106,1
-27.49691,-90.077415,3
-90.99695,42.337288,2
13.505974,24.568968,2
35.42957,-56.319508,0
-89.74549,56.743687,2
-34.303226,-19.40143,4
28.82764,61.94238,2
37.06673,0.21251386,2
31.44125,-70.48844,0
106.78261,-1.400229,1
-47.363934,27.34329,2
32.96252,23.026403,2
-49.869675,12.32347,2
32.630478,-76.567894,0
65.7364,59.30796,2
-38.51972,-60.655563,3
-78.16127,80.76996,2
-91.007545,57.36458,2
36.131474,82.8805,2
-60.46325,-21.85525,4
77.492195,11.168094,1
-92.43574,20.671186,2
-7.331299,14.445431,2
-28.900959,75.47226,2
44.78132,-55.373158,0
-41.39701,19.684637,2
0.56147945,79.91798,2
-46.683712,-16.670206,4
-17.865322,-15.026705,2
31.68047,4.069873,2
-42.47463,19.327139,2
-73.513435,15.465163,2
-71.00469,44.827538,2
41.63384,-33.40512,1
13.615679,67.46321,2
81.361984,23.496344,1
6.5205793,73.94012,2
-9.0541725,34.60598,2
-52.996246,77.72842,2
-0.6312818,-66.30072,0
70.47596,-3.0452652,1
-51.19748,-18.208796,4
48.19079,-16.066933,1
-22.901323,-12.004181,2
49.59344,-57.064724,0
-90.98907,21.561544,2
-18.77101,-15.193048,2
-11.289889,-1.8675528,2
45.266438,36.02909,2
-29.820206,32.286537,2
-19.306103,20.217485,2
-16.46596,-59.85777,0
-69.596924,-18.567272,4
39.657166,-76.70206,0
-28.438967,-27.375076,4
-14.568003,28.964914,2
70.595116,-6.08336,1
0.30152324,-71.26647,0
-68.645134,-11.84122,4
-79.093956,24.493574,2
-28.332426,-17.996836,4
21.92096,-89.14508,0
71.35695,0.17248218,1
-45.455032,-20.393545,4
44.864662,53.386448,2
44.857536,-16.484833,1
-4.0318823,49.545193,2
61.762917,-4.109402,1
4.819063,-35.58293,0
-29.734661,88.7274,2
-88.89341,58.456085,2
-23.344059,72.73662,2
13.728902,-41.301464,0
47.13555,-4.897567,1
-8.386852,82.291336,2
-36.227173,69.920456,2
77.6054,3.4945638,1
-12.595363,-66.33366,3
-55.088043,77.29893,2
-94.7263,-25.202106,4
-62.408585,-27.76252,4
11.304953,-78.35158,0
11.175373,-89.69857,0
-13.390521,-52.362213,3
-6.049861,12.728588,2
29.33739,-83.59229,0
-37.458935,4.580638,2
-15.952341,-15.426523,2
27.136803,-96.70118,0
-69.98063,-14.239968,4
32.433605,-93.00384,0
-79.65351,-15.913344,4
-92.785645,46.794815,2
-17.685387,-2.8315504,2
2.7916772,12.311378,2
60.18028,-54.77929,0
-3.4379148,47.300087,2
63.139744,-20.300325,1
38.98538,28.849478,2
-38.288864,75.81336,2
7.938388,9.291906,2
82.742195,21.360832,1
22.359291,68.84242,2
72.80588,13.393352,1
27.268917,-18.69523,1
12.066907,41.07077,2
11.900177,84.06309,2
-68.78662,74.15884,2
34.609432,-53.63726,0
-52.055412,-16.216574,4
-51.311153,-34.283432,4
-26.00119,-33.093327,4
-38.184296,-35.509983,4
81.748886,8.510135,1
104.52762,8.919224,1
-15.142477,-22.956562,4
-47.985783,34.29346,2
-14.607788,-15.245159,2
22.695414,-46.01172,0
-25.520977,16.549515,2
32.941074,2.1875799,2
-32.504368,59.85801,2
-44.77829,71.17846,2
-64.49162,60.868404,2
50.479233,-62.979214,0
31.138,71.76353,2
12.667431,47.059063,2
-41.337204,63.37253,2
-10.563953,40.470108,2
-11.419545,19.673105,2
13.1735115,-78.20406,0
10.050302,-41.34435,0
37.306896,-82.595276,0
-11.090683,-12.985992,2
-42.61812,-76.53748,3
45.808884,-85.177956,0
86.32293,-15.188378,1
59.07179,0.64924294,1
53.081696,49.258286,2
11.630603,-34.540768,0
42.37885,-84.148384,0
56.5989,-10.946293,1
-7.5726333,-3.196496,2
-74.97648,-35.800606,4
22.497782,-73.09188,0
-17.770298,-11.037627,2
-64.668236,-34.553032,4
75.696465,-24.067822,1
-44.34142,-18.405224,4
3.0491254,-65.04029,0
28.151054,32.592728,2
13.506176,-49.8809,0
-84.6721,-11.873024,4
82.167076,-29.25555,1
33.01529,-76.9873,0
-94.60912,-16.237925,4
-34.548634,-11.865403,2
15.130396,-83.13945,0
4.8134456,94.586,2
12.92563,-45.884274,0
2.012088,68.17078,2
-55.396908,1.9824122,2
29.312002,-3.745233,2
34.20308,-9.696556,1
-0.08471459,78.86541,2
-14.316682,-15.623658,2
-49.331856,-37.41652,4
-70.04733,43.906326,2
-47.01883,44.09573,2
-19.953993,-34.161354,4
-73.03824,13.455505,2
3.7794886,96.666016,2
61.397034,-77.692245,0
100.788925,16.80967,1
-88.09768,-13.95258,4
36.66005,-49.13998,0
-70.09322,69.175705,2
80.64575,3.5913727,1
11.53939,-47.04029,0
-14.821835,-31.266516,4
-68.73986,19.130081,2
31.742027,-62.49585,0
95.47021,1.0806737,1
-87.059456,30.313196,2
14.415991,93.26549,2
-30.86276,-22.873343,4
-39.581963,-74.86881,3
47.26442,33.55197,2
-51.552208,-13.360727,4
-81.00478,59.62916,2
-95.36306,26.442131,2
45.180485,18.400719,2
12.816653,-52.44066,0
-20.96402,-34.185486,4
10.299985,94.16996,2
-14.653875,68.09701,2
59.87341,-31.349636,1
-39.346893,12.619291,2
23.14814,-74.42772,0
-74.9374,-5.6914773,4
-75.134476,-66.60856,3
-33.898663,2.0122092,2
-77.97388,80.9935,2
21.145803,-94.38016,0
57.257248,-75.17157,0
20.045553,69.66125,2
33.0534,77.57078,2
26.848225,80.62684,2
-70.40009,-13.927958,4
19.679985,80.219185,2
-10.773187,96.688545,2
22.722935,57.372616,2
-70.84198,-20.31039,4
-23.343348,15.373399,2
66.919304,1.3198392,1
-21.645334,-76.13712,3
3.3609824,-40.031086,0
49.701523,40.567413,2
-43.562622,-24.819117,4
-38.5305,-67.845474,3
56.12645,-83.370415,0
-37.289814,-11.21407,4
-29.86947,-88.03036,3
93.289986,22.876842,1
43.533897,-84.590836,0
-79.79758,-7.944301,4
50.94424,-7.323389,1
3.87289,-75.123405,0
5.1791997,-63.085247,0
43.641205,-33.48164,1
40.704086,-55.47577,0
-36.82516,11.26051,2
14.707004,61.91196,2
62.97692,-1.3565067,1
64.399925,5.9393,1
51.5454,-65.174644,0
-68.75347,-26.669357,4
72.59412,-11.15332,1
-32.319344,-45.06478,4
-93.25807,-25.132055,4
-31.332315,-23.398241,4
-16.09375,34.285225,2
-83.69372,-15.115969,4
23.53985,-77.82365,0
0.017722173,78.63961,2
-8.095754,-18.950102,2
-70.075,-21.69632,4
51.31762,37.92336,2
-64.88742,-37.42883,4
9.544315,58.861298,2
-79.3688,-7.6894445,4
-36.192276,44.69522,2
-40.656525,37.32717,2
23.719233,31.216564,2
18.391897,-95.655045,0
51.854885,-88.977684,0
19.497406,-65.944466,0
83.710075,-9.408999,1
38.35464,-80.65451,0
-93.71444,25.470024,2
51.499187,-65.13095,0
-20.861624,57.540386,2
77.07573,4.086101,1
-50.912605,-22.205141,4
-23.767889,-18.432278,4
-68.47938,-24.77091,4
92.9155,-29.18131,1
-60.227676,13.085827,2
26.598028,80.45484,2
45.925762,34.9134,2
-7.904064,-18.894999,2
15.192816,-102.7799,0
64.903725,2.9988322,1
77.27488,10.944611,1
7.872284,-44.916653,0
44.45698,62.70845,2
37.497948,-69.06381,0
-66.4784,-18.493153,4
-84.94345,33.93471,2
66.07834,59.3894,2
44.711353,-2.545549,1
-30.5903,43.480656,2
-20.92005,-33.35386,4
64.359024,6.6187034,1
31.997774,-77.19202,0
7.34316,-63.93684,0
-0.20714529,-2.8993795,2
-35.28479,40.9792,2
37.786133,-29.687168,1
-72.20274,39.26892,2
28.556686,-74.6506,0
-39.74775,85.05365,2
-40.399334,-24.389553,4
32.022167,2.7944613,2
-12.911497,17.541225,2
35.93906,-1.3436607,2
-78.61251,32.057693,2
-13.097301,5.5020614,2
-94.239365,-19.372334,4
42.562534,47.709316,2
-37.107563,-27.338434,4
-3.714192,23.155376,2
84.37919,-21.252335,1
46.464436,-47.925907,0
-72.49005,73.88661,2
38.536736,80.71129,2
27.75802,-64.07513,0
56.675045,-29.742514,1
71.44344,13.877564,1
47.554493,45.76793,2
26.018934,43.000053,2
39.87693,-66.12308,0
-15.312812,-25.731525,4
46.5798,-78.15003,0
24.915476,-72.91343,0
21.137482,-53.81971,0
28.038942,-23.815863,1
32.47859,62.053036,2
-41.931435,66.26567,2
-41.781578,60.892334,2
-88.959465,-17.141289,4
52.376396,-81.08115,0
5.446413,102.266685,2
-53.013565,-18.530083,4
43.167793,-87.34249,0
6.4736004,-64.57579,0
22.344278,26.371244,2
-19.077929,30.722599,2
16.0023,-101.59268,0
54.12156,37.07549,2
-70.72851,26.05028,2
21.16182,-85.83908,0
49.525505,-60.873943,0
43.73334,41.909203,2
22.388216,-75.03376,0
-1.658018,28.818642,2
-13.514883,61.773914,2
22.824436,-90.01952,0
60.909363,39.652565,2
-32.970795,-27.45408,4
27.87714,-98.45744,0
-95.89722,-22.96316,4
-50.525417,30.357119,2
44.85692,-87.589615,0
70.81906,10.119443,1
17.353704,75.530235,2
-52.76602,-32.251125,4
54.31134,62.83381,2
