TSNE1,TSNE2,label
86.72829,-21.390413,2
44.996025,47.765373,2
10.425178,-24.188276,4
-15.069835,-60.023155,3
-18.980684,20.208542,1
31.494207,-90.82102,0
109.16416,-19.814259,2
3.803543,-96.31636,0
62.4941,-55.911522,0
99.78386,33.32728,2
-23.492718,64.293274,2
-14.926427,12.838326,1
-74.604774,-26.46,2
43.03866,17.90042,1
14.207695,-31.574411,4
1.8777735,-34.787914,4
98.1781,18.92352,2
52.39828,-20.952717,4
7.750743,12.806973,1
-93.76721,29.38006,2
92.3955,48.911568,2
-29.508955,66.627106,2
-55.843307,4.8403254,2
-14.107517,-18.541012,4
58.429615,10.596171,1
9.824449,-75.99637,0
-80.04759,-18.87692,2
-33.338615,23.241749,2
6.88637,75.865295,2
60.83835,-49.42217,0
-30.668634,-25.941242,4
57.963516,-17.899597,4
64.44248,4.764209,1
-16.665579,-20.967667,4
28.98681,-83.63968,0
5.638408,91.80921,2
47.74033,-75.6745,0
31.984077,4.0051465,1
19.325006,-19.204765,4
-55.93354,-15.33687,1
35.267918,55.95898,2
-44.359623,-12.696093,1
59.483963,-68.508194,0
77.80465,-9.85785,1
45.410347,-40.299244,0
56.302937,63.95091,2
41.640854,73.736855,2
55.595768,13.077858,1
-18.537477,-67.53381,3
-66.937805,-52.975636,2
56.816566,-15.200574,4
-28.622042,61.675842,2
84.08833,46.09074,2
48.88246,-74.31585,0
68.134,-45.753494,0
35.368343,-81.201004,0
40.93517,11.102551,1
-13.639382,-100.63905,0
35.324287,53.16261,2
66.10744,-1.02798,1
73.51133,-30.445585,0
-10.031347,75.61432,2
61.485065,-61.253273,0
-24.536892,-55.60283,3
-38.591232,31.121208,2
-15.2440405,-26.205133,4
61.714806,-46.71203,0
-20.895195,57.13912,2
79.82585,-44.09903,0
-48.817467,-65.91393,3
-45.01856,-35.734745,4
55.075306,62.62564,2
-9.466144,5.915225,1
-59.279884,-6.1667824,2
-43.222515,67.484116,2
87.50906,18.18977,2
50.024487,28.597965,2
-75.51301,26.642826,2
27.347683,14.033674,1
-79.68025,-53.046303,2
-93.069565,26.976603,2
49.00691,19.818338,1
29.34128,-26.816896,4
-11.569351,13.767837,1
-96.66925,27.871292,2
-68.06782,65.86007,2
-80.31522,17.294266,2
45.15876,-17.21029,4
-74.79602,-2.3633296,2
71.0737,35.298855,2
-26.979244,29.87501,2
-14.924167,9.4132,1
20.383009,-19.734842,4
62.418205,8.2447195,1
-60.993294,47.091236,2
-64.48855,-27.533482,1
-82.96763,-52.426083,2
35.223286,4.6995125,1
-26.361622,80.59989,2
-35.649178,-27.319357,4
28.909077,78.6332,2
70.56971,-33.603302,0
66.52116,65.89258,2
-82.09979,-16.129015,2
-25.40405,-26.661535,4
-85.23251,28.750816,2
33.552544,-25.275288,4
20.74936,81.922516,2
-74.35566,53.836693,2
-66.66224,-77.419014,3
6.5019073,82.94223,2
2.303494,98.30748,2
-12.029306,-89.34455,0
47.224445,-73.618484,0
104.077545,20.265137,2
62.067894,-44.84561,0
57.853645,-16.727863,4
9.964921,11.645425,1
57.80088,-48.121292,0
33.675293,-19.997623,4
50.109715,-20.610321,4
48.160233,-14.336267,4
-71.63997,33.97423,2
18.008629,-20.225872,4
46.69213,-66.63831,0
2.9072316,-14.925903,2
9.642657,-93.52493,0
66.43617,13.562791,1
113.21142,-20.506634,2
58.403473,-16.36473,4
14.290624,58.446877,2
-29.488316,-76.49583,3
-36.806263,45.27837,2
-71.71328,61.77947,2
35.705555,54.215096,2
50.50603,-83.01052,0
81.13358,-14.275003,1
-48.27045,-86.39612,0
58.12126,-16.852774,4
5.133714,78.24165,2
68.931465,-56.862843,0
25.49495,-54.512165,3
-84.966644,-1.7262601,2
42.200085,-53.677742,3
73.78816,24.353895,2
79.72293,46.216812,2
-32.47879,-65.12763,3
63.249065,-56.224693,0
20.130754,67.99601,2
82.09157,48.649136,2
68.184105,50.96056,2
14.805432,-26.567142,4
-28.880062,51.858173,2
-55.910606,-15.670047,1
3.8886466,-34.310223,4
20.216942,-83.66611,0
63.595,-45.46275,0
-85.87654,12.230953,2
6.7081785,75.69788,2
-86.684525,-28.252293,2
-10.64897,-89.78648,0
-44.67349,-66.656555,3
-24.814663,-98.44234,0
22.722404,-89.478165,0
59.6248,70.7476,2
10.601452,-33.766724,4
60.95386,-49.285458,0
-50.77484,-17.675804,1
30.878536,1.4970977,1
43.386623,-55.721287,0
48.285343,14.683002,1
-60.388737,4.749458,2
9.078732,-19.57322,4
-39.15787,-38.884518,4
-39.866585,23.03076,4
38.22581,-12.044981,4
2.059684,-28.113735,4
-61.407753,16.3293,2
-26.358782,-37.72059,4
41.46468,-82.60008,0
-31.924215,30.23041,2
-68.3006,42.31373,2
-4.170517,-2.619614,1
114.663445,-24.275751,2
91.23452,-45.67316,0
-71.951294,62.435764,2
-45.04629,-1.1395648,1
-85.74133,-20.983877,2
-58.914715,20.251602,2
87.10927,52.82341,2
28.31978,-87.75656,0
107.90223,-26.873705,2
-62.012337,63.945423,2
-104.00965,10.977263,2
85.90266,19.655901,2
44.14703,-17.278748,4
21.934406,91.77146,2
6.5097985,-89.576706,0
20.510252,-20.928854,4
-69.60477,42.98909,2
-12.103857,67.46374,2
34.889484,-99.41702,0
99.20199,-31.034369,2
-69.07538,-3.6305072,2
78.424904,-6.517692,1
62.417633,41.104237,2
48.928757,72.20097,2
3.4567385,2.643327,1
-11.989477,-20.663143,4
-34.24153,-27.269463,4
48.014683,25.165886,4
-39.23504,23.013636,4
37.611782,-97.10472,0
-90.12216,51.09544,2
47.617622,-53.80405,0
-14.40834,-93.80344,0
6.945874,45.204575,4
-16.5039,-31.603653,4
-14.510949,94.74767,2
52.41968,-21.04717,4
-46.773445,-38.676746,4
76.746124,59.625393,2
4.942598,-29.957989,4
-0.44755203,-27.047747,4
34.971348,42.435345,2
28.649172,-87.82149,0
49.011288,-58.5986,0
-54.859955,27.32854,2
-64.341644,52.649326,2
36.69302,-85.08118,0
-86.21712,37.04022,2
81.165184,-36.097157,0
0.3040044,-77.98149,0
33.057957,-68.8329,0
23.411047,-88.634384,0
6.2436285,70.13776,2
-77.269875,33.96879,2
83.12197,-44.648975,0
-56.850735,72.35189,2
-33.268215,9.177578,1
-14.742355,-58.444416,3
54.54002,-73.80395,0
2.6533048,-93.82484,0
14.255991,-29.632023,4
53.104656,58.42406,2
-35.93559,9.218837,1
-106.11027,11.882313,2
-28.322632,-96.00474,0
-26.385078,-79.38961,0
102.492744,8.203682,2
56.241867,-18.916134,4
73.85075,-38.199276,0
-8.068107,-0.45797336,1
-9.900512,89.58124,2
-27.044428,56.530235,2
26.681675,27.906918,1
108.93696,6.233287,2
16.971392,68.76104,2
49.173733,-85.47967,0
24.448692,-48.224438,3
-47.459385,-14.235992,1
25.178541,-51.2177,3
92.43607,4.2522273,2
-83.54196,58.759308,2
-41.465687,-31.889818,4
51.616253,-20.327732,4
63.703903,-35.676308,0
15.099293,-27.463877,4
19.291042,-29.383223,4
24.064003,36.690845,1
-0.7926693,-27.272726,4
-5.594924,0.07628365,1
-42.027763,-8.501205,1
-68.83054,-6.4635673,2
52.36162,-43.122738,0
-19.322042,-3.39576,1
28.189972,7.8563666,1
-31.197979,15.6394005,2
34.80625,-79.696075,0
34.93403,-14.734385,4
45.010666,-58.067303,0
61.410423,-59.56631,0
2.345808,97.00451,2
3.2206082,76.50618,2
40.2383,77.28588,2
-33.577477,51.629517,2
-45.508217,24.251192,2
24.803892,81.24497,2
-9.13467,25.804409,1
-12.234114,-85.184326,4
-88.743454,9.50657,2
-24.510582,-63.01722,3
61.02152,-15.676862,4
