TSNE1,TSNE2,label
86.7444,-21.03688,2
44.939922,47.68171,2
10.383577,-24.17532,4
-15.08184,-59.955288,3
-18.95202,20.287746,1
31.534939,-90.9112,0
109.21298,-20.012,2
3.7826796,-96.27015,0
62.401333,-55.884136,0
100.00998,33.04642,2
-23.464697,64.28706,2
-14.911609,12.834203,1
-74.67961,-26.389336,2
43.06199,17.84737,1
14.154616,-31.550512,4
1.8401471,-34.714195,4
98.20677,18.783361,2
52.330246,-20.777603,4
7.7547517,12.797598,1
-93.68,29.496643,2
92.23086,48.921787,2
-29.493681,66.65722,2
-55.74675,4.937012,2
-14.139861,-18.512255,4
58.400036,10.581562,1
9.797903,-76.00027,0
-80.09045,-18.81675,2
-33.352345,23.297369,2
6.9405003,75.856415,2
60.832844,-49.352165,0
-30.72929,-25.926083,4
57.80527,-17.65493,4
64.373924,4.795185,1
-16.693325,-20.941479,4
29.074707,-83.87842,0
5.6805086,91.78285,2
47.61153,-75.626305,0
31.9911,3.953178,1
19.270147,-19.179766,4
-55.94675,-15.349584,1
35.225258,55.89849,2
-44.39713,-12.630492,1
59.38326,-68.43647,0
77.33124,-9.932034,1
45.411434,-40.22111,0
56.162216,63.589523,2
41.663097,73.66153,2
55.568348,13.03312,1
-18.567556,-67.47552,3
-66.93491,-52.850227,2
56.61244,-14.982101,4
-28.455082,61.73888,2
84.00897,45.860508,2
48.76124,-74.26479,0
68.129974,-45.72218,0
35.31187,-81.173416,0
40.860313,11.060268,1
-13.522759,-100.49098,0
35.248386,53.088676,2
65.97214,-1.0078769,1
73.76519,-30.530794,0
-9.991266,75.64379,2
61.385174,-61.196987,0
-24.568277,-55.589268,3
-38.520687,31.148748,2
-15.26367,-26.169825,4
61.755787,-46.65511,0
-20.85144,57.155163,2
79.85525,-44.17398,0
-48.888733,-66.00274,3
-45.08652,-35.77826,4
54.934364,62.264973,2
-9.47154,5.9139934,1
-59.105495,-6.156275,2
-43.155396,67.47269,2
87.52918,18.148071,2
49.734604,28.407543,2
-75.48594,26.664608,2
27.40212,14.043638,1
-79.66797,-52.93046,2
-93.0384,27.064833,2
49.228016,19.711292,1
29.253452,-26.801624,4
-11.570408,13.810646,1
-96.60705,28.004713,2
-68.0082,65.85732,2
-80.3311,17.332325,2
45.030506,-17.176947,4
-74.79092,-2.2908037,2
71.075745,34.89779,2
-26.898685,29.92172,2
-14.919235,9.430653,1
20.320871,-19.714922,4
62.385838,8.263309,1
-60.9256,47.08827,2
-64.453064,-27.369518,1
-82.9657,-52.324764,2
35.214478,4.6595073,1
-26.338459,80.60441,2
-35.715908,-27.333818,4
28.979406,78.60299,2
70.73406,-33.61783,0
66.30621,65.3561,2
-82.12797,-16.044437,2
-25.441961,-26.648886,4
-85.17086,28.763308,2
33.465137,-25.308617,4
20.79939,81.82763,2
-74.29519,53.83291,2
-66.62528,-77.65024,3
6.5532675,82.909935,2
2.3331435,98.28344,2
-12.001333,-89.15375,0
47.107006,-73.58289,0
104.09121,20.061285,2
62.043365,-44.780388,0
57.66968,-16.481874,4
9.969931,11.633247,1
57.786983,-48.046345,0
33.61911,-20.050415,4
50.01709,-20.516703,4
47.977802,-14.255847,4
-71.624596,33.982605,2
17.958984,-20.206314,4
46.671795,-66.5914,0
2.8796778,-14.880877,2
9.616303,-93.47364,0
66.32071,13.559037,1
113.209175,-20.735914,2
58.212765,-16.12007,4
14.28493,58.449596,2
