TSNE1,TSNE2,label
107.4754,-36.851994,2
69.15347,71.14968,2
5.885163,-7.6967545,4
-14.73604,-87.71857,3
-16.978163,28.453571,1
23.592314,-74.78422,0
107.76534,-4.2435117,2
4.6992908,-38.60595,0
68.02131,-63.46599,0
71.44446,17.478394,2
-16.79696,87.265686,2
-19.187391,18.921576,1
-83.49319,-29.551281,2
45.726128,1.2060713,1
1.2547076,-17.46085,4
-13.490902,-19.995356,4
84.57792,12.884785,2
47.36713,-29.67539,4
0.7421289,19.599455,1
-92.40419,31.06212,2
69.293434,26.30626,2
-24.8357,77.98335,2
-70.74042,8.297343,2
-17.211678,-9.268407,4
67.53343,-6.6023226,1
14.16263,-48.390476,0
-86.94198,-23.263294,2
-39.039085,26.469648,2
10.739453,51.67338,2
67.44063,-55.735004,0
-44.706215,-21.157393,4
55.94496,-25.88835,4
76.46502,-9.67009,1
-30.174118,-14.013887,4
28.95507,-74.77603,0
17.707298,66.68936,2
43.832756,-88.272415,0
25.889282,3.654493,1
15.34021,-12.54887,4
-68.126175,-23.415321,1
50.497265,61.75057,2
-60.61718,-17.456911,1
62.239132,-80.03859,0
95.92493,-20.71642,1
55.182507,-38.659893,0
71.47562,81.05354,2
45.177773,66.87017,2
59.43554,-3.3756864,1
-10.498848,-73.17589,3
-78.46052,-75.236145,2
55.248287,-25.237957,4
-25.16619,81.23828,2
67.991196,33.787327,2
51.214867,-88.34713,0
71.894325,-51.261757,0
31.321503,-81.07839,0
40.85645,-1.6460435,1
-16.98034,-40.662502,0
49.257515,61.55161,2
76.74195,-12.647884,1
73.02467,-30.290455,0
-1.3713956,85.83914,2
66.21379,-70.86608,0
-21.382227,-73.1252,3
-30.239943,35.722893,2
-27.807905,-16.60669,4
67.866936,-52.94233,0
-15.790888,85.33928,2
82.74854,-40.774273,0
-41.37402,-90.64885,3
-58.580254,-41.187595,4
71.84799,79.12114,2
-15.473463,12.830016,1
-64.826126,-8.222643,2
-32.86567,66.72122,2
78.88243,10.319369,2
49.66738,10.966113,2
