TSNE1,TSNE2,label
87.984535,-21.906403,2
47.416515,49.830788,2
10.517471,-25.956566,4
-22.265373,-100.09241,3
-19.645285,20.603762,1
27.24064,-87.368774,0
114.24085,-18.681501,2
3.04794,-66.527695,0
69.82023,-65.90019,0
104.876396,34.384747,2
-24.077211,67.651596,2
-15.255291,12.801664,1
-78.6931,-26.064732,2
44.885708,17.892704,1
14.865203,-33.37613,4
1.9840689,-37.51688,4
102.9632,19.694519,2
55.312805,-24.446121,4
8.373505,13.0827675,1
-97.390816,31.985983,2
96.93622,51.13059,2
-30.30597,70.051605,2
-58.804115,5.217959,2
-14.965357,-20.724745,4
60.878845,10.657894,1
14.153515,-70.29749,0
-84.34634,-18.344143,2
-34.528652,24.282415,2
7.7352886,79.379364,2
71.31986,-59.646988,0
-32.093746,-28.032442,4
61.36697,-21.452787,4
67.00905,4.723048,1
-17.64045,-23.270767,4
29.468624,-78.764404,0
6.4602947,95.87182,2
50.324326,-83.68739,0
33.269306,3.5702069,1
19.62809,-19.934525,4
-58.23164,-15.26635,1
37.348763,58.51319,2
-46.011753,-13.337331,1
64.722466,-80.10402,0
80.27597,-9.816585,1
57.525967,-43.93495,0
59.38067,66.42891,2
43.836006,76.78555,2
57.84393,13.180543,1
-27.89486,-89.441826,3
-69.95444,-52.696926,2
60.286198,-18.579882,4
-29.193966,64.929474,2
88.47668,47.74569,2
52.127857,-83.15406,0
78.100815,-55.254025,0
35.949917,-81.28372,0
42.634777,10.826697,1
-15.38219,-63.01628,0
37.43762,55.574364,2
68.998665,-1.241602,1
77.765915,-35.30916,0
-10.137955,79.09559,2
69.62619,-73.415504,0
-32.60854,-104.17898,3
-39.87222,32.747482,2
-16.166525,-28.814716,4
72.323975,-57.09221,0
-21.239288,60.074245,2
88.58841,-46.491714,0
-58.211807,-91.54499,3
-47.33644,-38.05567,4
58.129616,65.01034,2
-9.623821,5.897213,1
-63.09624,-5.848349,2
-44.412533,70.801056,2
92.05288,18.841753,2
51.440514,29.295376,2
-78.58908,28.792515,2
28.63285,14.113104,1
-83.390274,-53.073025,2
-96.75573,29.464685,2
51.101353,20.030296,1
30.040928,-27.982565,4
