TRIMAP1,TRIMAP2,label
2236.7764,316.94824,2
1377.7863,460.7417,2
70.21559,-502.2673,4
-958.8705,-721.7048,3
-783.12524,113.13429,1
1513.8489,-1018.0686,0
1720.1509,230.12627,2
256.0801,-1328.4287,0
1974.3213,-728.1006,0
1615.1504,662.964,2
-1010.2663,501.59048,2
-615.7422,-122.91582,1
-1564.1133,-22.576746,2
1226.6508,-53.213203,1
75.04241,-559.34125,4
-411.20978,-559.90857,4
1938.449,645.8867,2
1235.895,-423.77823,4
-98.321884,-205.07884,1
-1666.6217,499.29828,2
1691.4485,800.42426,2
-1182.9902,521.925,2
-1326.6584,112.66665,2
-863.2503,-329.97946,4
1432.4075,-16.105642,1
754.9342,-1107.8892,0
-1762.3375,49.245087,2
-1113.0685,164.77942,2
-403.75494,676.942,2
2033.2758,-652.96643,0
-1126.9907,-264.73788,4
1326.1792,-366.29828,4
1463.0676,-71.84722,1
-1118.6299,-240.82777,4
1533.5049,-860.4156,0
-404.16498,816.789,2
1832.7261,-794.8888,0
903.87866,-172.52278,1
559.17285,-446.37698,4
-1250.9799,-135.12817,1
1017.7812,622.47,2
-1062.2506,-161.84595,1
1932.1418,-733.68866,0
1646.6488,-20.739801,1
1634.6659,-495.81924,0
1414.0027,706.1716,2
1097.9011,788.14526,2
1331.6315,-8.193629,1
-977.3022,-574.27057,3
-1861.6162,-11.527408,2
1315.083,-309.92328,4
-1095.1825,631.5599,2
1747.4108,683.06177,2
1832.9514,-796.34674,0
1888.5394,-748.25323,0
1627.3788,-795.39386,0
1259.9025,-69.318,1
-782.2758,-1160.5851,0
847.4738,511.96085,2
1480.4331,-91.463425,1
2057.3667,-446.5832,0
-826.1839,699.2568,2
1966.2317,-721.2415,0
-1077.3463,-733.83,3
-971.26337,432.7488,2
-832.7245,-426.4233,4
2078.4219,-644.81854,0
-961.87286,493.67245,2
2020.6763,-608.27606,0
-1380.8984,-649.93384,3
-1128.5907,-297.82037,4
1457.3114,583.5243,2
-476.00766,-221.84578,1
-1204.371,-59.147766,2
-1209.0543,580.9876,2
1852.2638,457.36713,2
1162.5616,166.73338,2
-1558.5612,238.35669,2
844.33276,-138.27563,1
-1937.5233,92.131195,2
-1635.6077,464.1366,2
1251.1736,-156.45566,1
789.19,-495.1044,4
-627.35205,-213.69235,1
-1562.8806,642.58435,2
-1347.9036,541.7903,2
-1626.0658,205.99779,2
1224.326,-397.8293,4
-1638.7292,263.08777,2
1719.1619,440.58295,2
-956.2844,115.627556,2
-697.93335,-203.42401,1
691.522,-450.6998,4
1509.6597,-0.6665386,1
-1451.9689,491.42047,2
-1218.0746,-135.20482,1
-1929.9363,138.23521,2
976.8809,-169.47342,1
-1016.7906,733.4161,2
-1319.7968,-2.1750875,4
656.6267,828.5027,2
2150.3406,-595.38934,0
1501.2611,724.56433,2
-1774.3184,89.886086,2
-1135.4644,-282.0249,4
-1588.7146,330.92072,2
855.29926,-479.95428,4
259.35516,782.4524,2
-1518.8813,558.8076,2
-1466.1843,-494.0502,3
-356.31787,784.9996,2
-360.95184,1008.4486,2
-732.029,-1060.2736,0
1650.2333,-660.01544,0
1770.5659,777.5158,2
2066.62,-714.3812,0
1327.3777,-375.72604,4
86.28802,-199.21358,1
2013.387,-569.601,0
983.01196,-430.57,4
1203.9216,-418.32452,4
1301.8091,-326.17456,4
-1580.3876,365.26797,2
408.5034,-398.3433,4
1595.5648,-508.74542,0
-177.0527,-305.39587,2
648.83356,-1285.2561,0
1412.8339,196.15315,1
2199.4148,348.21207,2
1348.9186,-345.81134,4
65.24895,550.3839,2
-1101.5751,-809.0732,3
-1101.4716,408.35187,2
-1479.329,598.5376,2
1045.7515,580.88873,2
1747.7568,-937.27356,0
1616.607,101.421844,1
-1305.4535,-741.26654,0
1297.7831,-348.1973,4
-380.4587,704.8294,2
1793.8729,-744.9213,0
1095.8125,-678.43243,3
-1734.667,190.7669,2
1430.6621,-632.9972,3
1502.1584,193.01057,2
1710.921,600.3073,2
-1195.9128,-631.384,3
2033.1477,-737.3566,0
474.87646,692.3942,2
1716.7854,655.80774,2
1515.1598,566.37244,2
180.52542,-548.7113,4
-1063.9578,377.4937,2
-1256.5684,-104.7706,1
-265.45337,-566.9871,4
1323.4121,-1067.5398,0
2018.4458,-660.996,0
-1530.7102,208.68697,2
-412.0007,665.6402,2
-1869.1106,98.19874,2
-599.7867,-1128.8462,0
-1371.0194,-616.4939,3
-1040.401,-1080.3628,0
1327.9893,-1044.5804,0
1376.7524,754.5906,2
3.8838592,-560.88586,4
2055.0273,-639.5165,0
-1139.6647,-169.75435,1
801.0536,-196.21523,1
1505.813,-576.6071,0
1331.368,-65.82741,1
-1446.6747,22.944218,2
-78.43302,-449.5693,4
-1187.9264,-402.04947,4
-1035.6205,8.531306,4
1239.7151,-220.83632,4
-492.2282,-547.85614,4
-1386.1254,109.59562,2
-1040.6917,-438.05246,4
1755.7043,-799.25134,0
-961.7374,140.52951,2
-1473.457,354.57556,2
-340.89426,-281.6175,1
2197.9294,502.8885,2
2155.3455,-452.21628,0
-1417.8713,593.95135,2
-1078.2024,-163.07544,1
-1820.3735,121.58103,2
-1358.8634,256.62247,2
1660.8063,749.2523,2
1521.6259,-948.4784,0
2205.0117,395.0288,2
-1393.8834,579.6228,2
-1660.1536,659.75684,2
1854.3346,367.13544,2
1209.6321,-377.75076,4
244.07767,981.0441,2
574.3832,-1255.1415,0
603.39905,-481.90424,4
-1495.2458,399.64398,2
-867.4902,596.6321,2
1497.1056,-1045.0015,0
1742.5573,239.94756,2
-1305.6606,155.01656,2
1598.612,-1.9583015,1
1545.1562,461.09232,2
1261.8365,742.68024,2
-282.44138,-230.9028,1
-906.30194,-297.31003,4
-1282.1652,-217.9275,4
1120.1389,63.060173,4
-925.52295,-78.512215,4
1573.673,-934.3794,0
-1537.1713,698.80273,2
1749.7845,-553.14355,0
-860.3926,-1118.4094,0
-140.97096,121.76513,4
-893.05096,-477.25793,4
-737.47815,908.3656,2
1217.3555,-425.28052,4
-1325.0852,-326.6245,4
1558.803,755.06415,2
-364.2879,-541.14966,4
-663.8753,-466.58792,4
848.05255,255.45935,2
1487.075,-971.9424,0
1822.5101,-654.4626,0
-1173.6846,162.74052,2
-1350.252,483.4272,2
1556.5707,-798.5026,0
-1624.2778,480.59406,2
2141.713,-540.90015,0
-33.722088,-1158.4624,0
1485.8634,-678.23566,0
1352.1345,-987.40546,0
-418.40677,651.4226,2
-1560.3612,356.9359,2
1897.9818,-485.405,0
-1315.2596,682.11725,2
-965.84485,-91.56364,1
-984.9448,-741.5327,3
1899.3491,-736.6767,0
120.4128,-1293.3542,0
133.23566,-567.0048,4
1441.4813,566.3667,2
-1012.51184,-80.33758,1
-1611.7743,684.8108,2
-1052.9363,-1035.4062,0
-1069.8425,-860.2462,0
2062.1084,507.38547,2
1268.8167,-411.01678,4
1983.9033,-525.70264,0
-551.3212,-253.04243,1
-854.9132,829.1128,2
-1074.7401,483.0114,2
754.2803,46.195225,1
1940.8617,664.8384,2
-35.490547,668.7904,2
1790.5815,-908.1281,0
1096.1808,-646.8102,3
-1101.3542,-201.41707,1
1144.9677,-641.4249,3
1934.7745,325.4944,2
-1306.2976,486.07257,2
-1341.7292,-262.80524,4
1213.4941,-429.91782,4
2099.523,-592.77527,0
205.14995,-523.7499,4
303.73306,-555.25073,4
592.79395,161.95047,1
-596.0693,-472.8471,4
-474.48865,-260.00357,1
-1022.852,-195.65515,1
-1427.9906,64.94014,2
1683.6483,-458.7063,0
-737.18024,-223.59157,1
898.7772,-100.56877,1
-924.45605,8.659833,2
1678.7786,-683.0338,0
1069.408,-269.97476,4
1601.4231,-642.7646,0
1971.3246,-733.3304,0
-410.37814,963.67303,2
-519.4457,711.91595,2
1036.8184,806.52136,2
-1176.1267,390.68335,2
-1323.4022,297.07062,2
377.92172,708.3312,2
-602.7916,30.89083,1
-538.2102,-685.1353,4
-1675.604,327.14743,2
-1106.8435,-625.72595,3
1311.5452,-308.22934,4
70.927185,728.1037,2
-1953.9326,206.14124,2
-336.58643,-48.227585,1
1595.1133,725.9806,2
-1045.3966,159.67029,4
-1776.1388,524.6772,2
1673.5112,785.8719,2
-67.96448,-1132.5153,0
1319.1545,559.47064,2
-1642.8126,311.88028,2
-1003.58966,30.680084,2
1325.1426,-309.43765,4
1344.7012,-346.08405,4
-843.1485,688.6942,2
1916.6267,444.43292,2
-687.20966,-116.81295,1
1964.852,655.90765,2
10.536915,-565.0058,4
562.9984,-144.84088,1
-1039.1752,-743.9013,3
1225.6881,-1248.4323,0
-1301.5037,-50.071842,4
-1657.5426,361.128,2
-1186.203,568.94104,2
1438.6747,-151.30278,1
1301.1542,-272.7759,4
-792.0568,-315.56412,4
-1287.7981,-169.10863,1
1336.4159,-344.69034,4
1737.6554,-943.1364,0
-387.7828,-263.0361,1
128.75151,-901.15295,3
-1155.8822,857.807,2
1010.9137,556.91034,2
1982.0417,-611.3862,0
-716.96,961.6079,2
-1156.6163,-302.86417,4
1836.0454,379.0892,2
-1292.5549,14.892575,2
2189.1196,-436.78214,0
1322.216,-144.18715,1
-1187.1963,638.37054,2
903.46564,421.6934,2
-522.2449,817.67944,2
1915.2867,-785.76263,0
-1395.075,260.24026,2
-1009.01794,-643.5955,3
-1809.7904,350.66086,2
344.15094,1066.85,2
1496.8308,530.4247,2
-1051.3981,-424.39664,4
1119.8059,-69.899,1
-1543.4059,725.26575,2
-1469.1912,350.08386,2
-1387.9415,581.10266,2
124.49475,-1318.0212,0
344.72058,807.2453,2
242.08145,822.855,2
963.1372,-401.46524,4
-913.21515,133.23341,2
-784.62616,160.28088,2
-1764.824,229.30156,2
-654.0794,772.44574,2
-1954.0902,205.19331,2
641.4821,-161.74574,1
2048.2844,454.36392,2
-791.5494,-123.22356,1
1247.5413,595.4573,2
2149.2148,453.53043,2
192.41034,937.7166,2
1384.351,-803.49274,0
-1147.1946,-123.8587,1
-1038.4205,-381.0399,4
359.0954,-73.8346,1
214.77962,433.6521,2
1267.1506,-1114.4357,0
-849.8964,935.3329,2
-1084.2568,149.6691,2
844.978,547.81445,2
1686.0402,314.82065,2
-1730.2434,263.23358,2
-1310.2245,463.88742,2
-567.514,-939.16437,0
992.37463,-428.56418,4
2070.4062,-706.98376,0
-883.924,-820.748,4
2076.088,479.69897,2
1530.603,-56.371826,1
1567.5933,-708.6408,0
1336.7115,-310.7903,4
1296.1299,839.861,2
-1144.9224,-253.79536,4
1782.8245,-801.6623,0
384.16663,-69.542046,1
-855.26514,-413.86996,4
1435.1656,484.58453,2
-1292.8671,-283.77768,1
152.98192,738.38196,2
1157.5383,-21.142859,1
-106.53105,-569.8443,0
-449.31543,895.51935,2
-1757.5044,406.63574,2
1822.1865,558.36536,2
-489.4888,-813.25946,0
458.31787,156.76712,1
1980.2701,575.37665,2
-1804.3474,249.21332,2
1204.614,-147.04082,1
-1062.6244,-818.041,3
-1413.1885,624.4345,2
1131.8027,-446.62378,4
-1243.2234,-359.26294,4
1781.5325,-716.72894,0
1941.645,-632.63477,0
1030.0144,-780.24146,3
2171.4958,349.56387,2
2031.9553,-561.8569,0
-1668.9452,323.3809,2
-280.1145,237.83311,2
1809.6592,-889.2054,0
-149.29639,-548.0597,4
-194.21754,-1290.174,0
-863.77045,-487.01367,4
-1944.7969,229.78392,2
-1523.8446,293.2075,2
1243.4517,537.55615,2
2156.21,-359.65878,0
-1873.4193,28.201715,2
1188.4738,-64.758835,1
-1226.2612,162.49858,2
-1200.2711,662.1766,2
-1823.6748,-62.024876,2
-813.48676,-146.81548,1
-1609.494,209.81245,2
-451.66107,-177.2817,1
1343.267,45.911526,1
-752.7419,543.19617,2
-590.559,648.0066,2
1899.7307,743.76666,2
45.024555,-1275.237,0
-982.05975,-402.45358,4
-513.8185,-469.50427,4
-1139.6129,-250.91138,4
-1024.7977,-334.09174,4
1632.7727,-27.621317,1
709.3058,-176.09544,1
1331.978,171.24638,4
-1438.0219,540.48694,2
-549.92474,210.98943,2
1950.4385,-526.1637,0
-1781.6759,70.44608,2
-417.7972,183.44836,2
-1277.0326,600.29816,2
1968.8387,642.0892,2
-920.3262,831.31055,2
201.55023,-1309.2808,0
1715.2418,453.09647,2
1956.0326,426.6813,2
-1878.17,170.87347,2
1992.615,530.3203,2
1433.5598,562.867,2
1889.8527,-584.86237,0
1078.8264,-717.9225,0
2159.7874,-591.5745,0
-1093.8354,174.97926,2
673.5559,-817.5998,3
2003.5942,-772.3494,0
1524.6688,-62.167683,1
-1248.2615,-130.6017,1
-1398.536,111.253296,2
1638.2611,-482.42075,0
2180.3645,-588.33276,0
1323.2404,0.017252326,1
1197.9446,469.4312,2
1176.4224,-388.07397,4
-512.0109,-1203.8381,0
-1657.9238,26.083406,2
1037.7946,-397.05225,4
1219.8928,-84.224915,1
-1081.7101,-372.4545,4
711.1998,-1212.5514,0
441.99634,580.27875,2
-1275.2344,-778.1317,0
851.8886,-459.6955,4
-177.75168,-241.50735,1
2128.8015,-614.6825,0
343.18597,-549.5,4
-550.27686,78.615616,2
1834.9963,-730.47437,0
1218.3782,737.4939,2
-529.01025,-815.9159,0
