UMAP1,UMAP2,label
0.8179922,4.452884,2
2.9552402,5.228266,2
5.8420095,15.406801,4
16.43982,7.1128,3
9.125803,11.958767,1
13.478699,-1.8348678,0
5.3143044,8.801391,2
13.19444,-2.2583919,0
14.926372,-1.4780979,0
5.732384,1.9371063,2
0.94482833,3.142454,2
10.459844,12.591665,1
3.517928,7.1330013,2
11.558791,12.263005,1
3.4821393,16.753954,4
3.5936253,17.148428,4
1.7224647,-1.0884275,2
3.5927758,17.160143,4
12.381848,12.602902,1
4.3199615,-1.4491976,2
5.3070297,-3.8658104,2
0.70086706,1.4199389,2
5.1144013,6.952465,2
5.24121,12.97813,4
11.52174,12.627118,1
14.646807,1.3225927,0
1.623219,4.6183214,2
5.8928976,7.4772725,2
1.2842829,3.1245666,2
13.275251,-2.4335365,0
5.761904,13.053356,4
4.0552497,16.888687,4
13.3555355,12.479282,1
5.032652,12.053287,4
14.316785,-0.31762412,0
5.328003,0.19388562,2
15.052249,-0.989396,0
12.454731,15.983607,1
4.37795,14.711319,4
10.558987,12.537331,1
2.5449126,3.367955,2
11.8614235,15.376124,1
13.750421,-1.4735178,0
12.003389,14.493259,1
14.985096,2.5618336,0
1.0973985,-1.3795755,2
2.878194,-1.1207937,2
11.3627205,11.683975,1
15.255217,5.9815035,3
-0.3217441,2.209571,2
4.5807395,14.741429,4
3.5954123,1.0649563,2
2.673851,-0.4825284,2
15.371957,-1.2125988,0
16.818134,-1.936475,0
13.574244,-0.046725284,0
11.018265,13.83922,1
14.805259,-1.4347097,0
4.790355,5.1122227,2
11.007104,15.255885,1
12.391581,-1.8300731,0
2.071898,0.043054305,2
13.925975,-1.8125788,0
17.815872,8.2049,3
5.702385,6.4618936,2
4.6902003,14.669572,4
14.059519,-1.5996468,0
3.9208264,3.5014365,2
16.856213,-1.2979499,0
18.014317,7.6803718,3
6.7506633,13.8435,4
-0.76368064,0.60171145,2
12.050215,14.774817,1
7.3446097,9.730975,2
4.413443,1.4924542,2
4.667736,3.219466,2
5.7110953,9.470453,2
1.6652051,4.1174006,2
12.72342,14.100934,1
3.3628361,-1.6033348,2
2.7865665,-2.4335444,2
11.545526,10.854396,1
3.6828434,16.288788,4
12.506305,12.762066,1
5.145375,-4.122879,2
4.976141,1.7765284,2
1.551038,3.3670478,2
4.6110344,15.940083,4
5.2047586,3.9041407,2
3.174471,4.443249,2
3.985695,8.169635,2
11.139372,14.378911,1
4.2851286,14.193382,4
10.665845,12.822007,1
3.07716,0.557504,2
7.358074,10.60743,1
4.432858,-2.7664454,2
13.076612,15.638368,1
3.8132393,-0.4853706,2
4.9068213,11.755359,4
2.1753511,-0.025943892,2
14.395991,-2.2324483,0
5.773369,0.73435134,2
-0.050596785,3.0098019,2
4.3756757,12.866224,4
3.7696588,2.2134647,2
3.4393716,16.97649,4
-0.45391616,0.046397917,2
3.4813414,-1.1830041,2
16.821806,6.781132,3
0.52575153,0.8285846,2
5.9444814,-2.5468295,2
14.143742,0.06818097,0
14.909113,0.18903035,0
5.6905284,-3.2125158,2
14.367624,-3.0835416,0
4.1616616,16.172256,4
12.518233,14.18138,1
12.333498,-1.9710433,0
4.5677404,15.8971615,4
4.046708,17.176516,4
4.315728,14.408888,4
1.076998,2.0012488,2
4.9164968,14.089464,4
13.593532,1.5190294,0
5.633449,13.025039,2
12.311527,-0.78923345,0
7.2950196,9.819714,1
1.6575375,3.2584794,2
4.6172285,15.762746,4
0.50053483,5.395855,2
15.4874525,4.1478434,3
4.9991384,4.688227,2
4.7515464,-0.2753852,2
3.8381672,3.8573332,2
13.646473,-3.2093148,0
9.841304,13.347626,1
13.536502,1.8074656,0
5.556485,15.8621435,4
0.5141096,2.3896677,2
16.283205,-1.3903736,0
15.407677,6.2278333,3
0.9956884,1.8789827,2
15.995336,3.9336395,3
3.5413451,8.416894,2
4.199297,1.2656311,2
16.166168,6.9630013,3
14.370661,-2.0947428,0
4.7760634,2.9184892,2
3.2519603,0.27768695,2
-0.30459148,0.4410954,2
4.1443563,15.58933,4
3.8750021,5.0861506,2
10.019736,12.781807,1
3.5661075,17.031538,4
15.518945,-1.1247218,0
14.344608,-2.4317946,0
4.360016,3.4963765,2
1.2913456,3.26597,2
