TRIMAP1,TRIMAP2,label
167.77853,-21.523102,2
45.644535,32.679268,2
1.0732392,-10.202702,4
-36.312244,-28.280878,3
-37.461582,11.38728,1
49.092712,-37.821053,0
145.63803,-2.3244216,2
8.798585,-40.047092,0
106.24174,-35.33359,0
98.28438,24.964336,2
-33.679302,34.875767,2
-27.435347,5.1764803,1
-110.38544,-16.728191,2
53.877144,5.3707004,1
2.955895,-12.277966,4
-21.05051,-14.873164,4
118.43254,22.248745,2
88.588196,-14.330111,4
-3.7883785,4.9301195,1
-91.77835,17.812502,2
90.572365,33.8321,2
-41.504784,34.932175,2
-81.8936,0.37904745,2
-37.06734,-8.839589,4
78.29718,2.1710966,1
19.904911,-34.38497,0
-111.51352,-11.258488,2
-53.716747,14.964047,2
-5.8553767,39.194553,2
115.48714,-35.458633,0
-72.74041,-15.234839,4
102.34402,-15.491957,4
94.15591,-1.4642308,1
-55.93944,-8.427911,4
50.3116,-35.386524,0
-10.440435,44.643105,2
75.065895,-35.430904,0
36.466637,4.8690777,1
16.007809,-7.923857,4
-92.603096,-17.997988,1
28.064375,37.97264,2
-79.66397,-13.510366,1
91.37177,-36.28761,0
131.70633,-10.77653,1
119.570175,-27.327734,0
51.52021,40.228474,2
30.601,42.816994,2
70.51047,3.7610357,1
-44.390682,-22.954145,3
-127.38541,-37.73382,2
100.40365,-14.412922,4
-40.627884,37.95312,2
83.08579,32.32365,2
80.98657,-35.101624,0
116.71891,-33.07647,0
55.258778,-34.106724,0
50.938877,5.5030146,1
-19.685558,-40.92792,0
25.805033,33.7973,2
101.165375,-2.5429568,1
135.26999,-36.57264,0
-24.329866,40.128933,2
99.90664,-35.905518,0
-50.183723,-31.466526,3
-54.155743,22.238197,2
-47.088,-13.230007,4
116.49495,-34.885956,0
-31.813723,33.49585,2
144.28603,-31.788902,0
-77.83525,-36.52803,3
-86.00425,-23.228476,4
50.822014,37.589073,2
-23.724207,1.4990737,1
-87.92,-8.471289,2
-49.606773,33.91159,2
109.51315,22.16612,2
56.618614,14.516819,2
-85.10449,13.925082,2
29.260387,6.203755,1
-128.45576,-29.240404,2
-93.58851,15.159955,2
73.619804,-7.7577305,1
31.400925,-10.869202,4
-30.161356,0.833922,1
-94.298386,19.883345,2
-65.515816,28.792355,2
-92.11639,10.335632,2
70.42529,-11.665838,4
-101.31592,2.3699236,2
79.986824,26.796293,2
-44.364483,12.036704,2
-31.716015,1.8078212,1
17.558098,-8.442741,4
86.84571,1.3970643,1
-69.39192,26.850231,2
-94.175285,-20.37665,1
-125.740166,-25.742914,2
40.188553,4.11689,1
-35.42272,41.12224,2
-86.45442,-13.740654,4
16.344978,43.00058,2
132.32098,-35.413338,0
62.187855,38.371487,2
-111.26742,-8.738903,2
-68.52329,-13.003222,4
-87.53653,15.039375,2
38.410908,-10.460743,4
6.068136,40.722916,2
-76.444145,27.037325,2
-100.25457,-40.310642,3
-5.6926737,42.07397,2
-9.182437,49.651146,2
-16.857643,-37.754288,0
75.64799,-33.496113,0
117.49746,25.403013,2
117.203606,-35.28016,0
101.795715,-15.522001,4
1.7632967,4.8598957,1
115.263794,-36.671925,0
42.440117,-10.124841,4
81.03579,-12.954902,4
76.141014,-10.969976,4
-79.99344,17.383574,2
10.818896,-7.106312,4
78.8702,-25.566992,0
-5.3871026,-4.122966,2
18.165743,-39.284706,0
92.9849,6.913121,1
162.18575,0.5302018,2
104.197014,-15.4487705,4
3.999079,35.555824,2
-54.3878,-34.65277,3
-47.834244,27.4725,2
-72.663826,27.833128,2
28.511803,36.984085,2
74.1141,-38.177155,0
144.8118,-15.124312,1
-80.7398,-38.04021,0
101.62257,-15.433109,4
-7.138772,40.002186,2
101.46324,-32.792686,0
43.675926,-23.532455,3
-106.068855,0.5530903,2
83.94745,-24.898594,3
85.09663,6.4251423,2
79.361115,31.160503,2
-59.58617,-31.394978,3
106.94419,-35.952847,0
13.496801,39.647022,2
80.45726,32.421337,2
66.12068,34.138306,2
5.346533,-11.317008,4
-41.326256,28.693203,2
-92.859695,-17.53637,1
-13.50346,-13.451849,4
34.481297,-36.87374,0
116.79263,-35.72421,0
-95.20632,8.449128,2
-7.4651265,39.06389,2
-117.55379,-14.690746,2
-12.839469,-39.174793,0
-76.4081,-35.547756,3
-36.231716,-41.685307,0
40.983818,-37.861202,0
48.23222,40.728447,2
-3.155475,-12.400504,4
115.25704,-35.65413,0
-90.95968,-19.90783,1
31.266722,3.750832,1
88.214096,-25.880533,0
62.539448,4.3741307,1
-89.61953,-2.0877175,2
-4.6160164,-8.377413,4
-88.1604,-26.51012,4
-57.20924,4.2696624,4
61.413517,-3.3070326,4
-19.533527,-13.045239,4
-83.10406,6.183136,2
-67.92795,-20.422186,4
64.59964,-35.59916,0
-44.553875,15.129523,2
-74.975464,20.783455,2
-22.497229,-1.0858692,1
166.17606,-0.6355719,2
152.4276,-32.188236,0
-73.28456,28.179382,2
-65.713524,-7.080711,1
-114.73733,-10.304727,2
-80.13058,11.21489,2
80.56295,35.527626,2
47.800793,-36.171497,0
171.30194,-4.7497025,2
-63.64557,30.798527,2
-108.53509,9.676122,2
108.54456,21.008883,2
69.019806,-11.32433,4
8.060722,46.754387,2
14.295163,-37.2837,0
15.595965,-8.998142,4
-75.66757,21.605087,2
-24.922758,37.8063,2
51.11839,-38.33972,0
165.67253,-11.395593,2
-90.06676,-0.31699684,2
126.81494,-8.98441,1
62.127853,30.771336,2
39.593967,41.47191,2
-12.377933,3.3297956,1
-44.03055,-6.5036354,4
-80.048454,-13.414817,4
58.443687,8.155695,4
-50.236473,-1.197389,4
54.920258,-36.612946,0
-85.77632,25.706253,2
99.25094,-30.31984,0
-21.504534,-40.40473,0
-4.0057836,12.936409,4
-51.15385,-16.679926,4
-20.619137,48.507164,2
87.81448,-14.229163,4
-96.54495,-28.234465,4
69.58775,37.148487,2
-16.102062,-12.498617,4
-26.437342,-12.284412,4
26.944008,21.591621,2
47.60648,-36.363743,0
94.00832,-34.361897,0
-60.89398,13.768665,2
-69.14408,27.549067,2
57.928097,-34.60904,0
-87.13098,19.516182,2
142.4562,-35.6647,0
-0.039851487,-35.75277,0
58.67495,-27.988993,0
40.893497,-36.480343,0
-7.939231,38.293133,2
-84.64502,15.9342,2
143.99658,-30.545534,0
-57.68667,35.219353,2
-52.233883,0.9198467,1
-35.705494,-28.48495,3
86.896835,-35.467888,0
6.8870926,-38.987804,0
3.9627118,-12.138165,4
49.578873,37.243305,2
-57.485146,-0.13662699,1
-105.430016,13.121297,2
-41.409557,-41.798565,0
-48.201744,-35.776104,0
129.6982,17.118992,2
98.11851,-15.790072,4
132.81633,-33.151432,0
-26.412426,0.037640948,1
-22.733463,44.751595,2
-39.948784,33.249317,2
21.578135,10.925172,1
136.70613,14.196572,2
1.0334684,37.60216,2
73.47193,-37.0082,0
47.60081,-21.315063,3
-80.56978,-14.250101,1
45.89009,-21.37965,3
121.34504,14.251301,2
-76.29077,19.153717,2
-90.805336,-23.691132,4
83.07498,-13.4604435,4
126.52377,-35.90885,0
6.054349,-10.673109,4
9.95577,-11.62533,4
23.211031,17.35205,1
-25.843384,-11.990741,4
-19.10456,1.9798335,1
-71.29526,-9.933024,1
-97.519264,-5.767281,2
116.95996,-27.136223,0
-42.55942,-2.5343432,1
31.4565,6.054993,1
-57.391907,1.8346164,2
56.2767,-32.92404,0
52.057858,-7.0639143,4
86.41302,-29.19033,0
102.695755,-36.254875,0
-10.343546,48.9386,2
-9.408653,40.55697,2
28.068472,43.130943,2
-45.022785,29.606098,2
-66.58201,22.323128,2
9.859949,37.80946,2
-30.8595,6.6659684,1
-23.645405,-19.4484,4
-100.42646,6.9211636,2
-53.63219,-29.360931,3
111.835686,-14.972812,4
3.3350837,40.804573,2
-129.2787,-36.902283,2
-14.695838,7.6522627,1
71.008606,35.387604,2
-48.90754,15.689975,4
-113.12491,2.0857358,2
87.60667,34.32474,2
3.8552918,-35.17105,0
41.10195,36.331932,2
-96.48577,9.055556,2
-59.245605,3.2387648,2
102.5761,-14.80087,4
118.46038,-15.1114235,4
-25.037298,40.554157,2
102.12403,24.031084,2
-33.686802,4.1753597,1
120.067406,21.393839,2
1.9382086,-12.44726,4
17.753931,5.2445498,1
-58.806675,-34.78247,3
34.04775,-40.37419,0
-83.26791,-11.137957,4
-96.418175,9.622431,2
-46.576252,34.275703,2
92.46425,-1.8460872,1
120.581894,-14.903619,4
-31.433638,-6.8284473,4
-105.5993,-31.159992,1
111.15021,-14.824023,4
77.26718,-37.75379,0
-16.278328,2.000443,1
5.123419,-26.636307,3
-51.67547,43.931206,2
26.293385,36.21285,2
109.10208,-35.114742,0
-27.565002,50.688286,2
-70.388985,-14.552657,4
98.67645,22.24414,2
-86.14324,-5.6694503,2
151.8481,-32.8573,0
85.1089,-1.3581345,1
-46.17068,37.88582,2
21.693201,31.337667,2
-11.045189,44.20814,2
83.65726,-35.703808,0
-88.90531,7.2512517,2
-36.43498,-25.639633,3
