UMAP1,UMAP2,label
20.594149,1.3137217,2
10.275443,-3.0621471,2
8.049273,2.902392,4
9.624299,12.381449,3
6.750203,5.557231,1
14.521426,10.695972,0
19.959469,-1.7708439,2
12.099892,9.28696,0
13.385306,15.703329,0
14.733642,-3.6065233,2
2.9360673,-0.26629242,2
7.4295583,5.541363,1
0.44465938,10.627975,2
13.230023,1.4687523,1
8.42652,2.9194624,4
6.803214,3.5949402,4
16.586132,-3.7660038,2
15.655347,4.507835,4
9.704591,4.454865,1
-1.5010707,5.8274703,2
14.253798,-4.204117,2
2.190595,0.0032665827,2
1.063793,6.717612,2
4.3626995,4.48336,4
15.112245,0.77258855,1
12.6424885,10.054663,0
-0.15034033,10.240615,2
1.9660385,3.6397152,2
5.4482617,-2.0531557,2
13.153024,16.31463,0
3.1347663,6.838939,4
16.37924,4.4847717,4
16.10517,0.82687616,1
3.9624388,5.1166167,4
14.196964,11.071381,0
4.8897843,-2.861253,2
14.601344,12.896626,0
12.405436,2.7969425,1
9.139768,2.316774,4
3.747565,9.482482,1
8.606581,-3.2107437,2
4.6650777,8.958097,1
13.707749,14.452873,0
18.707836,0.8579762,1
14.364479,16.774324,0
10.544119,-4.1685524,2
8.559378,-4.001686,2
14.549173,0.85071445,1
8.990354,11.837128,3
1.863181,13.240593,2
16.146822,4.391087,4
2.001617,-0.31502008,2
13.593985,-3.7949557,2
14.44656,13.314765,0
13.574441,16.743828,0
14.470034,11.37588,0
13.279427,1.7572255,1
10.163285,9.54827,0
8.656711,-2.9207666,2
16.6239,0.82719344,1
13.977234,18.1258,0
3.55877,-1.4659507,2
13.377944,15.177267,0
8.877361,12.847086,3
0.61397153,1.8941478,2
4.4080386,5.198488,4
13.246673,16.514967,0
3.2253714,-0.21355888,2
15.097181,18.187346,0
6.8137765,13.482972,3
2.6850922,9.468356,4
10.641952,-3.7962568,2
8.125834,5.804324,1
3.9570823,8.431012,2
1.3907636,0.767517,2
15.954568,-3.305907,2
12.963789,0.40375495,2
-0.38683712,5.6204033,2
11.875002,2.7923994,1
