TRIMAP1,TRIMAP2,label
157.70467,-21.385313,2
56.52036,29.148304,2
-3.3184345,1.9931471,4
-54.22208,-13.653804,3
-48.09134,14.130443,1
54.985764,-18.771652,0
168.46402,-11.050723,2
-1.698547,-18.652447,0
123.88875,-34.753643,0
111.52539,21.562927,2
-38.282585,30.197943,2
-40.084934,9.680267,1
-140.91225,-12.46557,2
73.94704,9.471009,1
-10.02047,-0.85031265,4
-44.89764,-4.2886434,4
130.17282,17.309969,2
104.129234,-6.1217227,4
-9.970265,11.360256,1
-107.201416,15.258404,2
98.25279,25.824717,2
-45.50546,29.846052,2
-104.559685,2.630509,2
-52.64124,1.7617176,4
108.75374,3.0856714,1
20.523626,-14.6771755,0
-140.85364,-9.511513,2
-69.214806,15.61745,2
-5.4382625,32.614887,2
131.64879,-38.433735,0
-101.379135,-9.924705,4
125.811264,-10.839658,4
124.729866,-2.0250537,1
-76.46702,0.17371413,4
58.94917,-17.739439,0
-10.030099,35.31939,2
89.4564,-22.32995,0
42.90512,11.3718605,1
19.451317,1.0957701,4
-129.51682,-16.16244,1
31.92552,32.009174,2
-116.76413,-11.09644,1
107.624275,-27.705845,0
150.09488,-12.958249,1
146.46478,-32.032658,0
59.218166,33.38379,2
32.394073,34.99085,2
96.75171,5.945456,1
-54.846638,-10.004854,3
-171.9705,-34.877018,2
122.91233,-9.917818,4
-46.013042,31.098307,2
93.392,25.931208,2
95.32391,-23.584959,0
136.08331,-40.308926,0
66.64235,-18.853617,0
68.80779,9.866412,1
-39.293976,-20.580637,0
30.377296,30.859377,2
127.36583,-2.0414612,1
152.69855,-37.911667,0
-28.008467,32.59293,2
117.37605,-32.07144,0
-74.64874,-17.621328,3
-62.766132,21.859913,2
-71.02739,-4.8600564,4
134.27663,-39.924416,0
-36.48052,27.757034,2
153.01526,-31.788105,0
-112.345024,-28.824173,3
-130.55435,-20.50612,4
61.864784,30.237787,2
-37.3972,8.808955,1
-114.19846,-4.9884434,2
-56.83337,28.77903,2
122.41531,17.393345,2
76.30777,16.363567,2
-100.11009,13.292045,2
36.35181,12.264336,1
-167.34499,-26.6824,2
-110.39396,13.57694,2
104.09379,2.4746718,1
36.3218,-0.6378648,4
-43.52921,6.889388,1
-110.104126,15.827985,2
-76.86026,24.41394,2
-110.61297,10.052054,2
92.24784,-3.945201,4
-123.41741,4.355419,2
93.05802,22.515461,2
-55.72907,15.269536,2
-48.432396,7.401988,1
23.826097,1.3332982,4
115.29818,1.5470965,1
-80.039764,22.917103,2
-129.27037,-15.706771,1
-163.2695,-23.048553,2
51.01525,10.352391,1
-40.76043,33.54633,2
-121.05176,-10.382014,4
17.298096,34.5033,2
150.5751,-39.28588,0
69.888115,32.409195,2
-137.64075,-6.7459593,2
-97.138275,-8.470062,4
-102.84408,14.445018,2
45.581543,-0.62728345,4
6.8364787,33.83004,2
-87.951584,21.497574,2
-146.08443,-37.44252,3
-4.5434837,33.865475,2
-15.08048,38.862194,2
-32.394928,-19.068163,0
92.164444,-22.445251,0
128.06328,19.506277,2
133.22604,-39.41468,0
124.68028,-10.465834,4
0.62692165,11.687533,1
132.61462,-38.440125,0
54.509216,-0.009272529,4
99.929955,-5.435153,4
99.87925,-4.7668085,4
-94.613846,15.636004,2
14.622948,2.1145172,4
104.43274,-20.067463,0
-8.900695,5.814456,2
14.303298,-17.505543,0
126.57793,4.769077,1
174.42128,-9.939988,2
127.641975,-11.364165,4
6.575815,30.831884,2
-80.54156,-20.593735,3
-57.0407,24.898533,2
-84.424736,22.578514,2
34.36,32.151596,2
81.79707,-21.897926,0
154.17378,-17.696121,1
-118.794914,-30.710098,0
126.37411,-10.937265,4
-6.6346464,33.254005,2
122.68242,-32.504982,0
67.79517,-10.935074,3
-128.67166,2.0359278,2
114.58411,-22.826715,3
112.27795,9.126139,2
90.87477,26.645195,2
-85.75003,-19.909288,3
122.28531,-34.459682,0
14.640241,33.506744,2
91.04211,26.811277,2
77.18835,28.991259,2
-2.1416545,-0.10234093,4
-48.875164,26.42747,2
-130.01208,-16.153801,1
-33.86817,-3.093063,4
35.308426,-17.408981,0
134.21246,-39.90777,0
-114.88053,7.898467,2
-7.442297,32.445683,2
-148.15062,-12.239208,2
-29.10726,-18.857233,0
-107.56689,-27.494837,3
-65.01495,-24.027927,0
44.995686,-17.976572,0
54.638893,34.726444,2
-12.396401,-0.50228846,4
131.79349,-38.700813,0
-131.12004,-18.713669,1
32.468792,10.902615,1
120.42056,-26.855629,0
83.206635,9.3078375,1
-114.42021,0.09357756,2
-6.8462543,1.8709865,4
-133.18723,-24.14153,4
-72.65498,5.9680967,4
87.959694,0.9225036,4
-38.277885,-2.9693136,4
-102.71035,8.483489,2
-104.136246,-14.479394,4
77.82099,-20.227516,0
-51.012463,16.478678,2
-86.80494,18.37874,2
-43.46442,6.344849,1
176.84398,-12.374807,2
146.97978,-30.69353,0
-84.917046,23.052755,2
-92.88796,-2.4544806,1
-142.3947,-7.5776896,2
-98.86046,12.684205,2
89.461784,28.295797,2
54.562744,-17.889696,0
176.86934,-17.543797,2
-73.81207,25.078009,2
-131.09251,5.9937687,2
124.14508,15.906779,2
89.81466,-3.5273323,4
7.426398,36.69087,2
