UMAP1,UMAP2,label
1.574529,-7.636044,2
3.4029741,14.176813,2
9.215406,8.591003,4
9.347248,3.2316594,3
13.51102,7.9064407,1
4.0613794,5.0999613,0
-1.0609494,-3.6514485,2
6.6836963,4.911655,0
2.7937686,-0.44890133,0
-2.768218,7.825609,2
15.505571,11.133611,2
12.7941065,8.187262,1
13.271916,-4.9073887,2
2.0145998,9.947334,1
9.563539,8.022931,4
11.418571,6.001899,4
-3.2327583,5.2819314,2
1.1648339,6.7661257,4
10.296034,10.644332,1
17.444494,0.30687878,2
-1.8917687,10.166845,2
16.142315,10.360265,2
15.677689,-0.23011005,2
11.984929,6.345731,4
-0.9132434,5.781274,1
5.828431,5.947456,0
13.776587,-4.740966,2
16.11943,5.7192082,2
11.748334,14.309705,2
2.634398,-1.2327347,0
14.013995,-0.030372215,4
0.6657401,5.809293,4
-1.0979835,4.5522203,1
13.995731,3.1644795,4
3.6404328,4.9878693,0
12.4096575,14.597958,2
2.9793713,2.8284085,0
5.5993514,11.242364,1
7.680788,9.127592,4
11.980461,-2.6117222,1
6.3403745,15.1838875,2
12.26613,-1.0805963,1
3.0745323,1.0959613,0
-1.447197,-4.7641835,1
2.696753,-3.8818448,0
3.000268,14.666859,2
6.3712287,15.656881,2
0.43348485,8.549943,1
8.917486,2.9370542,3
9.163908,-7.1401896,2
0.6843196,5.857168,4
16.383026,10.334493,2
-1.2273436,10.8461485,2
3.0781176,2.1897864,0
2.6050522,-1.6986675,0
3.4400976,4.503,0
2.7240179,10.465065,1
7.529987,3.1847825,0
6.37793,15.210002,2
-1.0608774,4.3068876,1
2.5915089,-3.865555,0
14.516651,12.680543,2
2.9876733,0.22194333,0
9.540658,1.3899163,3
17.286589,7.3976316,2
13.274503,3.6976159,4
2.592882,-1.5104438,0
15.388294,11.217061,2
3.1472473,-5.1942186,0
8.808794,-2.0617733,3
12.067275,-4.187,4
2.8826418,14.254269,2
12.733364,8.347641,1
12.940591,-0.6013882,2
16.955965,8.782534,2
-2.9603894,6.2244687,2
0.939962,11.071814,2
16.964922,1.340759,2
6.078064,11.502522,1
10.506783,-7.1697536,2
17.270084,-0.10993313,2
0.18732919,8.083804,1
6.4717846,9.05049,4
12.878401,7.777697,1
17.477938,-0.22642487,2
17.927576,5.627736,2
16.722044,-0.15842558,2
1.8589355,7.612032,4
15.900225,-2.3857439,2
-1.065707,10.416818,2
15.774733,7.91871,2
13.294573,7.3662496,1
7.3285246,9.201968,4
-1.032404,5.4874835,1
17.73825,5.084695,2
12.639072,-3.1594865,1
10.999236,-7.07452,2
4.612828,11.105656,1
16.203262,11.333569,2
13.939984,-1.2527815,4
8.702871,15.54614,2
2.5032995,-3.5009494,0
1.6029811,13.820417,2
14.275267,-4.420685,2
14.162472,0.11178355,4
17.160963,1.1321154,2
5.795997,9.043876,4
9.96497,15.032859,2
18.009693,3.6560884,2
8.088827,-4.7246933,3
11.67729,14.551922,2
13.759907,14.329744,2
7.5742664,3.6291778,0
2.9504254,2.4664874,0
-3.369576,5.7488165,2
2.6223083,-1.447768,0
0.6542829,5.77973,4
9.498844,10.954988,1
2.613456,-1.2771859,0
3.8321311,8.749473,4
1.3626218,7.0615826,4
1.2962967,7.0590262,4
17.270937,2.3835182,2
7.931336,9.137983,4
2.66404,1.3736774,0
9.728328,8.631303,2
6.114341,5.620516,0
-1.526588,4.893665,1
-1.1020393,-3.0913763,2
0.6235108,5.698769,4
9.826551,14.588541,2
8.94731,0.673518,3
16.625635,8.358936,2
18.020994,4.202864,2
6.1040535,15.207412,2
3.2355924,3.330251,0
0.8629381,-6.8766136,1
7.8919992,-2.1141765,0
0.6609764,5.772496,4
11.931176,14.339318,2
2.8228023,-0.4040634,0
2.97513,5.736646,3
15.616245,-3.0129373,2
2.1234689,0.7340529,3
-2.2986298,7.331484,2
-0.911692,11.142924,2
9.367854,0.36248583,3
2.8547497,-0.3477379,0
8.956891,15.270237,2
-0.90130216,11.289652,2
0.6878785,12.852343,2
9.120095,8.459812,4
16.063524,9.574315,2
11.9735155,-2.637615,1
10.898565,6.7199087,4
4.999949,5.660926,0
2.6253107,-1.5669774,0
16.569899,-1.1703444,2
11.927311,14.153878,2
13.224512,-5.575056,2
7.438655,3.7724466,0
8.828652,-1.7340225,3
7.853682,1.5654571,0
4.486865,5.518994,0
3.4345329,15.087074,2
9.745279,7.973596,4
2.6391833,-1.242493,0
11.444783,-3.494457,1
6.5475636,11.173384,1
2.3279226,0.20093504,0
1.3586748,9.48224,1
15.518569,-1.513074,2
9.494392,8.507723,4
11.841473,-4.485266,4
13.0664015,5.1957507,4
1.9561434,8.235639,4
11.157063,6.667826,4
16.280642,0.705133,2
13.7475815,-0.52356297,4
3.096105,3.6548712,0
15.734346,8.464746,2
17.456167,3.8534508,2
13.012735,8.094874,1
-0.8290095,-3.6823432,2
3.7520041,-6.1219025,0
18.083958,4.2113013,2
13.053311,1.5259148,1
13.9760475,-4.9772773,2
16.946587,1.2797655,2
-0.8499732,11.62515,2
4.007818,5.166716,0
-0.5374432,-4.749741,2
17.760357,6.2036858,2
16.205671,-3.4887908,2
-2.889986,6.026604,2
1.9399275,7.696153,4
10.105327,15.560809,2
6.3386316,5.3768477,0
7.6365094,9.139819,4
17.576464,3.8040483,2
14.432684,12.478492,2
4.2081866,4.984646,0
-0.32615063,-5.893742,2
15.734241,-1.6694418,2
-1.5132078,-4.595624,1
0.94816667,12.739998,2
4.7791514,15.3482275,2
11.728893,9.547666,1
12.569442,5.4961486,4
14.265777,-0.7145408,4
1.072048,9.414841,4
13.026204,5.4909153,4
3.8434703,4.679141,0
18.140553,1.5491872,2
2.4115574,-0.24811767,0
7.58954,3.1291444,0
9.175648,9.391618,4
13.899897,1.8172032,4
14.9410715,13.363687,2
1.1071326,6.6813116,4
11.465117,-4.9816775,4
0.3220914,12.900149,2
10.894662,7.0510507,4
11.500288,6.3652143,4
4.7973604,14.381916,2
4.10953,5.2179527,0
2.8442652,0.6033515,0
16.57025,4.8595004,2
17.775743,5.0289035,2
3.29271,4.3741736,0
17.460575,1.4497612,2
2.9333935,-4.7162247,0
7.0891886,4.945494,0
2.8108473,3.7344663,0
4.4151473,5.529122,0
11.872617,14.275677,2
17.16333,1.5998377,2
3.480402,-5.5990214,0
17.645937,7.253953,2
13.880587,4.967905,1
9.389179,3.1312127,3
3.0785365,1.6568009,0
6.782118,4.9510913,0
9.436995,8.125901,4
3.146813,14.429623,2
13.605917,3.0755265,1
16.934038,-2.5016026,2
7.906062,1.2571849,0
8.480536,1.2558215,0
-3.0768664,3.0406218,2
0.755341,6.0609617,4
2.6187658,-4.2004633,0
13.157097,7.6705976,1
14.88051,13.0261,2
16.08255,10.277045,2
6.6742997,11.77779,1
-2.950242,2.026371,2
10.887998,14.637991,2
3.1018963,3.0173888,0
2.9944031,5.9023733,3
12.34866,-1.1602931,1
2.94439,5.8048244,3
-2.9844272,3.564998,2
17.888187,2.6175315,2
12.525779,-3.9457917,4
1.2603565,6.8979115,4
2.6140778,-2.755761,0
8.933899,8.53423,4
8.837656,8.462445,4
5.352767,13.729868,1
11.659436,6.2229447,4
12.748509,8.476074,1
12.616964,0.3743493,1
15.180879,-2.6808796,2
2.513096,-3.028177,0
13.456098,4.9607887,1
5.891669,11.320869,1
15.792899,4.6733956,2
3.2662096,4.4299045,0
2.9809759,8.547599,4
2.6795409,0.8294152,0
2.9508772,-0.012296532,0
13.659698,14.370511,2
12.464534,14.157607,2
6.7329464,15.6965885,2
16.218807,9.07099,2
17.022142,5.073425,2
9.003007,15.293757,2
12.213527,8.047129,1
7.7107515,3.5171514,4
16.457418,-2.0427454,2
9.448393,1.0936549,3
0.49541664,5.2805853,4
10.156765,14.840347,2
8.9656105,-7.1759543,2
11.319492,9.05177,1
0.08140482,12.631914,2
16.10789,7.403911,4
15.384869,-4.28196,2
-1.6407595,10.463525,2
6.9398456,4.995337,0
4.063556,14.704443,2
16.758821,-1.0674913,2
16.26189,4.4900312,2
0.6259106,5.699039,4
0.45752242,5.150562,4
14.56619,12.756216,2
-2.6527932,7.434214,2
13.388263,7.3035045,1
-3.272624,5.005388,2
9.748032,7.8875475,4
7.321293,11.286185,1
8.796556,0.22766976,3
5.4258456,5.5086293,0
14.231404,-1.0119004,4
16.724564,-1.136764,2
16.653435,9.242621,2
-0.9082638,5.097409,1
0.4478822,5.124463,4
11.874406,6.6451883,4
9.948311,-5.783923,1
0.5447133,5.451383,4
3.1898081,2.9546478,0
12.259521,9.086493,1
6.805079,6.4867396,3
17.829279,8.533751,2
6.380917,14.973337,2
2.6594608,-0.9310674,0
16.11469,12.206491,2
14.108937,0.03134755,4
-2.5687017,7.4756083,2
15.396964,-1.3644059,2
3.73383,-6.064655,0
-0.74943066,5.778044,1
17.016497,9.240239,2
7.1032977,14.859007,2
13.260115,14.213411,2
3.0698273,1.9087329,0
16.662931,-0.59597903,2
9.314431,3.2917664,3
13.656385,-5.6578746,2
10.968199,15.836872,2
1.2222708,13.157115,2
13.99725,0.44274715,4
3.313615,10.734761,1
16.922153,-2.5373392,2
17.465174,3.770525,2
17.716541,6.371595,2
6.7325096,4.9043336,0
9.720245,15.218123,2
10.189686,15.174756,2
6.3315496,9.381177,4
15.969623,7.4774003,2
14.732397,10.301997,2
15.174696,-3.720229,2
14.776091,12.746787,2
12.563235,-6.460904,2
7.0970783,11.385807,1
-2.905198,2.0017874,2
12.756266,1.6266726,1
4.6037726,15.022008,2
-1.6511388,-1.8072351,2
10.356048,15.504076,2
3.5064604,5.1539598,0
12.323813,-1.2448484,1
13.994105,2.0235238,4
7.492975,11.6255665,1
9.459396,14.856203,2
4.79501,5.61419,0
17.576452,9.481266,2
16.59302,4.856122,2
7.379069,14.981261,2
-2.5649912,7.427786,2
15.753238,-2.9590101,2
16.98127,7.5507,2
8.53143,4.056589,0
3.990208,8.773425,4
2.6211238,-1.9547883,0
7.940929,1.2334689,4
-3.1163435,3.6682804,2
-0.95100653,5.609028,1
2.552781,1.987478,0
0.46446437,5.164974,4
2.8657277,15.024652,2
14.163837,1.6969061,4
3.0947962,2.1237915,0
8.322106,11.385515,1
12.539406,5.0767174,4
2.0769377,13.671111,2
11.09541,-4.317732,1
10.111537,14.945467,2
3.162954,10.794426,1
6.8264894,5.380617,0
13.380525,14.28315,2
13.624369,-5.7361245,2
-2.024956,9.310345,2
7.2732224,4.412485,0
7.3242855,11.988976,1
-3.250297,4.65263,2
15.340125,-3.6703453,2
3.2465737,10.744301,1
8.766968,0.8669804,3
18.007551,5.998206,2
2.083079,7.7445345,4
11.740826,-4.635168,4
2.8758817,2.4397695,0
2.5608468,-2.1385834,0
4.2007184,6.282612,3
-0.8342603,-3.700951,2
2.4756246,-3.7377243,0
16.627876,-1.0577909,2
11.421285,13.666455,2
3.2097213,1.8338608,0
9.997893,7.787318,4
7.015236,4.326379,0
13.888977,1.4354819,4
8.940653,-7.156803,2
17.104088,1.6385365,2
4.4829144,14.829684,2
3.2487552,-7.7877407,0
10.759739,-6.950509,2
3.0967479,10.677388,1
16.50227,5.8949833,2
17.090199,8.865387,2
8.356573,-6.6442604,2
12.95935,2.6712828,1
16.4371,-1.0638777,2
12.023164,9.3412695,1
-1.3478334,4.878345,1
13.532519,12.998509,2
12.913328,13.829164,2
-3.3855364,4.1020775,2
6.757766,5.007059,0
14.055394,1.6075332,4
11.249557,7.0812225,4
14.005708,-0.03601109,4
13.826967,2.726601,4
-1.4151597,-4.8320785,1
6.855002,11.266565,1
-2.5013757,1.0078825,4
17.80991,5.2765965,2
12.712766,12.922861,2
2.6592681,-0.23859249,0
13.290058,-5.405838,2
11.516803,12.720739,2
16.852974,8.764796,2
-3.3218417,3.9494903,2
16.052345,11.90181,2
6.730279,4.9074764,0
-1.6644709,9.605275,2
-3.0923073,3.858145,2
13.410006,-5.5959153,2
-2.8534715,7.074487,2
3.2753625,14.478988,2
2.683822,-0.5815719,0
4.144483,5.452221,0
2.9483297,-4.732507,0
16.17502,7.1881447,2
5.2876606,6.920056,3
2.845109,-0.6531189,0
-1.1316695,4.05155,1
12.540571,-1.3284699,1
16.654896,1.2018836,2
2.367303,-1.0706673,0
3.3763385,-5.3341227,0
1.3568637,9.565124,1
4.40816,14.672957,2
2.0559535,7.811106,4
7.343312,3.9209802,0
11.704315,-6.438498,2
3.4186509,8.653919,4
3.255184,10.774306,1
14.004683,2.0895767,4
5.9981484,5.734879,0
8.520001,14.7561035,2
8.1341505,-0.14739968,0
6.415329,9.108897,4
10.32176,10.691896,1
2.5865076,-2.9724364,0
8.779825,8.439326,4
11.774066,6.9758024,2
3.0480506,1.2602953,0
4.707145,15.379345,2
7.463031,4.2311416,0
16.871637,8.276711,2
17.307196,5.633634,2
13.414124,-3.8927479,2
5.2700386,13.386123,1
-2.027111,9.29851,2
16.439901,5.6449676,2
3.2459888,8.74252,4
9.660773,-7.3029194,2
11.471858,15.172322,2
8.745486,-6.5910378,4
17.151205,-0.30219838,2
7.5680213,15.739372,2
4.5508485,5.3077164,0
-1.5063785,-4.626534,1
6.861555,9.069456,4
2.9150507,1.7790444,0
13.641519,-5.6168466,2
11.052703,-4.241129,1
7.81473,3.1864822,0
13.906544,-2.9290085,4
12.084054,-6.545824,2
4.395274,5.5000825,0
7.154715,11.331927,1
18.237446,6.6374993,2
-3.109459,3.314065,2
12.954978,4.961461,4
9.487313,1.074192,3
3.0074613,13.767078,2
9.02219,8.677578,4
18.098577,2.7258985,2
18.523777,3.0158732,2
15.576799,8.672113,2
2.4593956,-2.2137873,0
6.8666234,9.853261,4
15.305681,11.74185,2
16.924194,8.403951,2
0.7113813,8.811882,1
14.580831,12.59237,2
7.2174134,4.242265,0
10.797104,6.998787,4
9.620421,3.123372,3
16.738258,8.262866,2
10.689077,15.759886,2
7.2393136,3.7851331,0
5.4070277,5.542827,0
11.240723,14.534117,2
17.206123,7.240863,2
14.366321,12.845265,2
6.023088,9.21402,4
17.408892,3.973916,2
17.287735,-0.04589178,2
-2.2171717,8.541689,2
2.799468,8.299281,4
-2.5774853,0.93816197,2
6.6024127,11.719769,1
9.0219,-0.42633095,3
2.7850106,3.7012115,0
-2.9250991,3.10852,2
10.760308,7.5032864,4
9.148485,-0.28961328,3
7.82614,1.8799638,0
10.143957,8.296797,4
9.21783,2.934307,3
12.850297,2.0619178,1
3.7428298,-7.3667293,0
13.901381,0.4025921,4
7.817642,11.533764,1
8.097175,0.19278398,0
2.4201758,-0.9043566,0
2.414661,10.158931,1
3.0291433,0.7560391,0
16.429958,-1.0536747,2
16.818481,7.704106,2
3.7135608,10.985064,1
-1.6408606,-4.163304,1
2.8980355,-0.18992123,0
11.37009,6.4280906,4
0.2884391,8.223013,1
13.029636,-1.8148671,4
11.393788,6.097378,4
14.09081,-0.27013603,4
-3.1660411,5.318969,2
5.5894237,9.032068,4
3.0553143,-4.9038734,0
0.93142587,13.103832,2
16.609222,4.523433,2
7.066715,9.162571,4
0.74640745,12.186207,2
12.495257,-3.4765656,4
13.1167555,13.640763,2
12.693295,3.9265978,4
17.809704,4.294474,2
8.666045,15.524277,2
1.4730002,-7.602272,2
2.5117927,-2.419836,0
4.674522,5.2889934,0
8.089325,1.2599062,0
8.478273,11.309929,1
2.620947,-2.2116532,0
-2.0265234,-0.8131071,2
2.9426394,-0.002657609,0
11.742675,-6.674148,2
10.176912,10.845827,1
14.057341,1.5565957,4
12.5422735,6.063162,4
1.3552319,7.1220455,4
10.599903,10.34164,1
17.180534,0.042052276,2
-2.979453,5.9360476,2
12.3899975,-5.8490763,2
10.194618,14.234966,2
3.5206172,3.8718295,0
6.603189,11.734205,1
11.290911,9.944416,1
7.411878,4.433649,0
8.240687,15.034993,2
4.2530227,5.347343,0
1.0526973,6.652674,4
18.110168,1.2982349,2
15.888385,11.145849,2
14.446054,5.9274945,1
-3.234913,5.081106,2
10.701198,8.947681,4
10.11961,11.338247,1
3.2652917,3.5581567,0
2.902767,2.547953,0
16.791996,2.2253873,2
16.48639,9.97904,2
12.861038,0.1432929,1
13.355266,-5.8820877,2
2.541017,-3.884758,0
-1.4014034,10.730866,2
14.043834,0.38731197,4
-2.4713166,1.1815587,2
0.7031853,12.835079,2
15.375543,-1.2831144,2
-1.6065625,10.577188,2
-3.0422812,5.5073714,2
10.93715,6.6913524,4
8.244287,14.755007,2
13.411788,3.6957548,4
16.263197,-1.0529505,2
8.145029,11.362644,1
3.4563675,4.424138,0
17.183672,9.946024,2
4.6939692,15.014431,2
3.0107846,1.1287202,0
12.435007,8.312289,1
12.817436,0.9553085,1
16.039904,-1.0567187,2
13.215929,-5.2751737,2
2.613541,-1.9911826,0
10.796615,-5.7610106,4
3.1742747,3.0974529,0
3.531004,-7.58096,0
2.7696817,1.8383715,0
11.893363,8.497944,1
0.8474132,12.63022,2
-1.270039,10.868914,2
16.114815,11.206104,2
5.8678513,9.059158,4
6.2164235,5.354245,0
11.909166,14.539151,2
11.125814,6.8035493,4
4.509827,5.2825055,0
2.5508873,-0.4480591,0
13.544948,12.6557045,2
17.593029,3.6314266,2
3.800828,-6.437306,0
-2.599192,1.749168,2
13.652768,-5.5713425,2
4.009369,4.863094,0
3.8237476,-7.0623584,0
15.127051,10.473742,2
2.53334,-2.5974178,0
17.308514,5.102288,2
17.460562,5.8341923,2
3.4031558,3.7521563,0
16.403013,6.422933,2
14.074277,-0.2404281,4
7.8585954,1.3601704,0
