UMAP1,UMAP2,label
22.654541,2.092505,2
10.861785,-3.7069306,2
10.193598,5.405264,4
9.779275,12.807788,3
4.4811473,2.9949367,1
15.985534,9.494098,0
21.094679,-2.6718137,2
11.926405,7.873154,0
12.276333,16.37981,0
15.728633,-3.5566595,2
2.7941937,-0.5549169,2
5.715398,3.2181973,1
0.21481833,12.122568,2
13.673572,0.4288274,1
10.928639,6.1636834,4
9.014958,7.1417007,4
17.5654,-3.6000626,2
17.758924,5.1715903,4
8.531276,2.475412,1
-3.3273785,6.0581183,2
15.617103,-5.3036056,2
1.6215243,-0.46731034,2
0.6163324,7.64853,2
5.802395,6.185968,4
16.293783,0.27046248,1
13.047192,9.078642,0
-0.64587533,11.792326,2
2.5737746,3.814154,2
5.486216,-2.6992235,2
11.569009,17.165993,0
4.0109606,9.187064,4
19.090368,4.50479,4
17.544188,0.6233313,1
4.9899707,6.913599,4
15.695968,10.199446,0
4.189976,-4.2792077,2
14.424745,13.195607,0
12.479122,2.241727,1
11.7431555,4.4789186,4
1.7368186,10.889655,1
8.894794,-4.3914337,2
2.6548545,9.329169,1
13.479766,14.972705,0
20.891201,0.21163553,1
14.233755,18.108269,0
11.126569,-6.2563686,2
8.556814,-6.126221,2
15.330544,0.30398637,1
8.633275,11.992557,3
1.282277,16.496956,2
18.497816,4.205356,4
1.1906738,-0.97040194,2
14.621467,-4.7852235,2
14.031908,13.745307,0
12.5619,17.829418,0
15.815209,10.728324,0
13.525197,0.86869895,1
9.337129,9.0380745,0
8.942086,-3.5956645,2
18.40217,0.8834493,1
12.927226,20.131416,0
3.1395893,-2.3260372,2
12.576857,15.722931,0
9.071606,14.207202,3
0.6886696,2.1280944,2
6.2036734,7.4076676,4
11.866441,17.340363,0
3.1333752,-0.5567991,2
15.059649,19.401587,0
6.4318914,15.812346,3
3.3361742,11.076053,4
11.249578,-5.330531,2
6.825173,3.9772363,1
1.3136349,9.0961895,2
0.6811879,0.28113687,2
16.782808,-2.6387131,2
12.740976,-1.2887051,2
-1.1414204,6.1168823,2
11.584743,1.403387,1
-0.32899424,15.733834,2
-3.1100094,6.6089363,2
14.989148,0.20899887,1
13.503643,5.3463774,4
6.0764246,3.8245945,1
-4.0896554,5.934807,2
-0.9782769,2.1874928,2
-1.3722746,7.117842,2
16.376211,4.606322,4
-1.548992,9.147266,2
13.873927,-3.0857718,2
3.2788234,3.1611574,2
6.07752,4.181328,1
11.853086,4.3512397,4
16.83265,0.17535776,1
-1.0579036,2.6907609,2
1.5145385,11.359843,1
-0.6037298,15.260995,2
12.931344,2.110761,1
1.3574537,-2.067133,2
1.9797153,10.043931,4
7.2555785,-5.2711253,2
12.758741,19.770613,0
12.173032,-6.1905627,2
-1.037165,11.319838,2
4.3048406,8.637914,4
-1.8020345,5.8868613,2
14.147169,5.4437833,4
6.1769447,-4.2564616,2
-2.2772222,3.2874968,2
3.752628,16.340057,3
5.079512,-3.5441885,2
3.5393755,-5.2327213,2
9.782931,9.346601,0
14.779059,13.638654,0
17.37376,-4.680566,2
11.553888,17.65615,0
18.841822,4.4344563,4
9.353991,2.4599905,1
11.801671,17.260635,0
14.180991,4.7261267,4
17.234423,5.1585436,4
16.849186,4.2516685,4
-1.0109521,5.222083,2
11.115032,4.4313574,4
14.843618,14.404379,0
9.13864,4.4086957,2
12.807318,7.951687,0
16.942165,-0.9678465,1
22.126638,-3.886277,2
18.953192,4.3520536,4
6.9061475,-2.3842516,2
7.5864205,12.755883,3
1.7419751,1.5261368,2
-2.0842903,2.7177503,2
9.078119,-4.138858,2
14.352722,12.846226,0
21.795065,0.74921733,1
5.134383,13.246993,0
18.9488,4.3805265,4
5.2692676,-3.0147107,2
12.808875,16.17669,0
16.31256,12.641249,3
-1.8152367,9.669758,2
15.4695425,15.607416,3
15.02024,-1.411144,2
14.1710615,-4.5790377,2
7.8794484,13.973498,3
12.033618,16.136055,0
7.2782,-4.3206377,2
14.218184,-4.7809753,2
12.861726,-4.931278,2
10.883738,5.497164,4
2.7937984,0.9937847,2
1.581707,11.04473,1
9.6289215,6.778628,4
14.206525,9.018482,0
11.772493,17.697948,0
-1.6841904,7.883474,2
5.4665866,-2.4822578,2
-1.2400659,12.885235,2
9.914185,9.072142,0
6.4428067,15.180703,3
7.448864,9.570351,0
15.226293,8.780564,0
10.664609,-6.4833155,2
10.557161,6.0230923,4
11.646305,17.137249,0
2.1814268,11.250416,1
12.21315,2.799624,1
15.0964985,15.54779,0
14.676629,0.64412445,1
0.1839803,8.796832,2
9.717781,4.8804173,4
4.027739,11.852583,4
3.2370396,5.370624,4
15.023421,3.1777058,4
8.694076,6.536549,4
0.5299996,6.9422593,2
5.2497,9.764191,4
15.385296,11.875003,0
3.3693929,3.0419798,2
-0.65862095,4.2080665,2
7.9478335,4.437546,1
22.741426,-3.7205994,2
16.535042,19.68391,0
-2.2644236,2.6623056,2
2.8790593,7.371016,1
-1.5132972,11.945338,2
-0.11376406,5.9886465,2
14.582939,-5.5860896,2
15.148512,9.7513485,0
22.577656,-2.5369165,2
-0.9722786,1.508041,2
-4.246138,9.129452,2
16.81421,-2.0389872,2
16.073843,4.4995418,4
5.7472067,-5.690844,2
12.260775,8.554108,0
11.71187,4.6962495,4
-1.1157099,4.016388,2
3.5837095,-1.6198492,2
15.262393,9.848824,0
22.135046,-1.198792,2
-0.10184778,8.959602,2
20.474092,-0.116516106,1
12.407872,-3.8818486,2
9.671274,-6.1891727,2
8.228883,3.3045738,1
5.9604454,6.3252935,4
2.9058037,9.278144,4
13.763586,-0.12353806,4
3.414567,5.335693,4
14.872121,10.428672,0
-3.824392,4.2501073,2
14.055831,16.334808,0
9.313803,9.255654,0
7.2269163,0.13452029,4
6.390776,8.211599,4
2.0729196,-4.2680683,2
17.833786,5.215005,4
3.0834167,12.372437,4
13.307221,-6.2550764,2
9.144441,6.1224475,4
8.016121,6.431875,4
9.949466,-2.4360301,2
14.945139,9.619102,0
13.6242075,15.51511,0
1.763117,4.388115,2
