TRIMAP1,TRIMAP2,label
154.7409,-16.80748,2
33.880608,15.356449,2
2.9633822,-5.403127,4
-22.979467,-14.271119,3
-23.174326,5.14945,1
35.836864,-18.409407,0
109.0927,-2.679575,2
6.0345345,-19.44866,0
79.74688,-18.016138,0
66.07793,10.76771,2
-20.033192,17.557146,2
-17.763533,2.6388397,1
-72.406494,-13.750366,2
39.686348,2.2605193,1
3.0510335,-7.17372,4
-14.843351,-8.574845,4
84.95487,10.910639,2
65.34423,-6.5564446,4
1.90362,2.3875275,1
-59.80984,7.2839417,2
64.15371,14.088014,2
-24.566809,17.519466,2
-51.727528,-1.4179186,2
-19.325003,-5.2157373,4
57.07109,1.1218259,1
14.88081,-15.894477,0
-74.52947,-11.237358,2
-35.58941,6.213298,2
-1.3493377,19.789175,2
84.522026,-18.206818,0
-48.08512,-10.962042,4
72.4632,-6.804971,4
67.463684,-1.4882307,1
-35.385952,-7.09375,4
35.506393,-15.60143,0
-1.5385822,23.150188,2
54.330395,-16.91552,0
26.180262,1.3970535,1
11.973297,-4.3032875,4
-60.310867,-13.656536,1
21.910015,18.231428,2
-49.893364,-11.233947,1
68.24624,-18.22283,0
98.58131,-7.563767,1
85.82548,-12.451031,0
37.6349,20.684345,2
23.31272,20.906082,2
50.980415,2.136735,1
-25.214151,-11.333778,3
-89.41466,-26.592085,2
72.26373,-6.1543007,4
-24.882338,19.870905,2
59.67863,17.420347,2
59.485554,-17.213228,0
89.920364,-17.537518,0
39.329807,-15.533326,0
37.084164,2.7938542,1
-13.111809,-19.534618,0
18.476295,15.603028,2
73.36247,-2.2907655,1
104.95948,-20.139994,0
-13.075592,20.62553,2
74.52737,-17.82253,0
-34.59373,-18.061623,3
-30.07394,9.050524,2
-31.362534,-8.344339,4
85.140976,-17.513016,0
-19.503027,16.7744,2
110.20342,-20.683655,0
-54.150974,-24.96744,3
-55.18293,-16.87104,4
38.819717,19.009586,2
-15.215723,0.22589083,1
-55.506397,-7.8084393,2
-31.102583,17.286964,2
78.069916,9.926046,2
41.287067,5.6681476,2
-55.187553,4.4068885,2
23.003502,3.0133367,1
-88.19625,-21.221151,2
-60.676445,5.9477973,2
49.762936,-1.9319029,1
25.310022,-6.310678,4
-18.295479,0.20116986,1
-60.009346,9.67374,2
-41.36597,14.079367,2
-59.558174,2.5469835,2
52.267628,-6.3939633,4
-65.17531,-2.394803,2
56.432823,13.393489,2
-28.053158,3.6209352,2
-19.14861,0.5090281,1
12.951647,-4.1958237,4
62.687737,0.5893814,1
-44.664974,13.574118,2
-59.9222,-12.977077,1
-85.94662,-18.265306,2
27.94101,0.79571694,1
-21.423473,21.823374,2
-57.561974,-9.634149,4
13.4181,22.58876,2
100.74085,-19.599546,0
42.642517,19.038382,2
-72.99472,-9.369509,2
-42.827236,-7.4840717,4
-56.667084,4.9685926,2
32.430138,-6.564692,4
8.286159,22.19773,2
-48.87202,12.90973,2
-67.66861,-27.290728,3
0.13739225,21.635773,2
-4.026678,26.242027,2
-10.563892,-17.806196,0
54.946953,-15.11281,0
83.24151,13.521252,2
87.41657,-19.17088,0
72.534935,-6.803087,4
4.5218515,1.8762082,1
85.864914,-17.690453,0
33.82159,-5.487145,4
59.727875,-6.7945423,4
56.220078,-5.672906,4
-52.163242,6.1089644,2
9.134533,-3.3042626,4
56.52829,-11.525673,0
-4.155558,-1.4154625,2
12.385318,-17.963602,0
67.48187,2.5879126,1
126.94838,-3.017877,2
74.985016,-6.5821595,4
6.268432,18.474022,2
-36.696323,-17.41794,3
-28.74974,13.316299,2
-46.855698,14.944255,2
21.723696,17.839493,2
55.268044,-18.45278,0
99.61178,-9.803959,1
-57.0603,-22.111706,0
73.00121,-6.728519,4
-2.0536652,19.986893,2
77.42975,-16.903185,0
34.620625,-9.818641,3
-68.79808,-2.9187562,2
62.08057,-11.389644,3
56.67466,4.2035475,2
57.047276,16.235613,2
-38.974937,-17.243773,3
80.173454,-18.466906,0
12.900133,19.405104,2
57.980724,17.30117,2
47.554817,17.151453,2
5.2738557,-6.0408006,4
-24.126802,13.623164,2
-60.291924,-13.491898,1
-8.640422,-7.8945694,4
27.218943,-16.307095,0
87.22739,-18.467173,0
-61.722607,0.48344278,2
-2.0461252,19.619627,2
-79.183525,-12.548428,2
-9.672908,-18.186602,0
-52.138134,-23.06297,3
-24.372055,-21.605059,0
27.28669,-17.8982,0
34.92926,20.063133,2
2.0917196,-6.7384057,4
84.39748,-18.009611,0
-60.934505,-15.74134,1
22.746977,1.1408242,1
63.92391,-11.411934,0
45.50566,2.4765756,1
-58.164795,-5.1753793,2
-1.4673418,-3.7623286,4
-58.858356,-18.677223,4
-35.0658,0.25564605,4
45.49191,-3.1370513,4
-13.38749,-7.2675815,4
-53.098618,-0.019622173,2
-44.765648,-12.982413,4
47.62017,-16.710358,0
-27.3293,6.394966,2
-48.31492,9.063382,2
-14.81356,-1.8994199,1
131.3258,-3.8920708,2
129.41348,-23.486517,0
-46.764874,14.96831,2
-42.6373,-5.7393303,1
-75.766174,-8.989948,2
-51.68217,3.4591262,2
58.7299,17.797913,2
33.813736,-16.574312,0
139.94908,-4.4501095,2
-40.552055,15.766564,2
-70.941536,1.6214048,2
76.87407,9.148798,2
49.679348,-6.2519894,4
8.3166485,24.885147,2
5.6554356,-17.76474,0
10.658903,-4.7627673,4
-49.223217,9.779956,2
-13.747464,19.374777,2
36.091217,-17.565172,0
139.87074,-6.919731,2
-57.722374,-4.6259785,2
94.55115,-6.53256,1
44.823887,14.9585285,2
29.192213,20.463623,2
-6.0426335,1.4436917,1
-26.933365,-4.44648,4
-52.47888,-9.617295,4
42.409004,2.347167,4
-30.663408,-1.6432805,4
39.51028,-16.8146,0
-55.04716,13.357468,2
72.732025,-14.090766,0
-14.195477,-19.716995,0
-3.376672,6.329958,4
-33.522747,-10.270703,4
-11.21023,25.24003,2
65.82518,-6.7659287,4
-64.03638,-19.41406,4
48.836304,19.239824,2
-8.202321,-6.77631,4
-17.297705,-6.492044,4
20.697794,9.924845,2
33.035297,-16.279348,0
70.17889,-15.974461,0
-38.87696,6.0750775,2
-42.71752,13.274368,2
41.9981,-16.096487,0
-56.73841,9.161103,2
112.28163,-21.288994,0
1.1355354,-16.436989,0
38.40589,-12.656564,0
28.289618,-16.85391,0
-2.3013344,18.990734,2
-54.157867,6.712371,2
112.80533,-18.505928,0
-36.73141,18.722294,2
-32.41513,-0.49693123,1
-22.357721,-14.778848,3
63.35377,-18.20584,0
5.011191,-18.705961,0
4.7421694,-6.96554,4
35.911167,18.546171,2
-36.656025,-1.3463218,1
-66.253654,6.469969,2
-28.714706,-21.98971,0
-31.559872,-17.900095,0
94.040955,7.7735457,2
70.222015,-7.0269065,4
102.47511,-18.685625,0
-16.531097,-0.7181716,1
-13.509707,23.612272,2
-24.413177,16.475939,2
18.244442,5.1634126,1
104.08909,10.489548,2
3.1512306,17.560791,2
54.356937,-18.178076,0
32.664616,-10.017718,3
-51.806328,-11.383719,1
33.850296,-9.471659,3
87.49544,6.230188,2
-45.07842,8.86239,2
-60.313602,-16.230576,4
64.67545,-6.6314344,4
94.819756,-19.635832,0
5.0923386,-6.0757165,4
11.400846,-6.859612,4
17.697996,7.615516,1
-17.033426,-6.354749,4
-12.178802,0.35939667,1
-46.176548,-8.299571,1
-63.30146,-6.78123,2
86.704765,-12.405155,0
-28.1675,-2.2391198,1
22.979118,2.4979324,1
-35.742565,-0.071201555,2
40.414215,-14.160879,0
37.921234,-3.1812634,4
63.291473,-13.154368,0
75.08283,-17.823744,0
-4.740031,25.939972,2
-3.658181,21.411459,2
21.94173,21.315378,2
-28.263203,14.432423,2
-41.47435,9.024774,2
10.246601,18.84022,2
-18.021698,2.8309147,1
-13.518988,-10.937045,4
-64.97032,-0.16464202,2
-35.35011,-15.715586,3
80.79297,-7.2534366,4
6.014791,20.677969,2
-89.79131,-27.188864,2
-8.89103,3.1523552,1
50.046,19.14494,2
