TSNE1,TSNE2,label
127.368355,-28.93234,2
59.33198,70.12249,2
12.471476,-32.375355,4
-20.708181,-89.94847,3
-27.453197,29.250702,1
41.867615,-131.54361,0
157.92128,-24.357431,2
4.91841,-143.65352,0
76.064835,-76.28662,0
137.0092,44.925983,2
-34.106728,92.661446,2
-21.248913,20.278158,1
-106.23483,-32.28196,2
57.763775,25.185736,1
17.728834,-41.751408,4
2.0310977,-46.976116,4
139.60458,26.204838,2
65.92518,-25.910461,4
9.5634365,21.727114,1
-132.19553,40.126144,2
125.196396,62.900917,2
-42.418217,95.01324,2
-84.29417,6.7888,2
-18.989515,-24.429972,4
78.956474,15.486439,1
12.15598,-112.52923,0
-115.14211,-23.406511,2
-49.663456,33.87085,2
8.642707,109.260704,2
75.69987,-67.43196,0
-40.386475,-33.507362,4
73.171745,-21.766544,4
88.08607,6.7992296,1
-22.294903,-27.649548,4
36.91624,-124.06994,0
7.6362815,129.34639,2
59.467262,-106.056175,0
41.335655,8.6048765,1
23.206224,-24.776371,4
-74.96436,-16.180105,1
47.974155,82.357956,2
-59.411945,-14.8265295,1
73.23424,-93.36971,0
109.2164,-11.67844,1
54.480797,-56.25402,0
75.82908,90.26044,2
57.242393,104.005005,2
75.02847,18.608374,1
-25.055761,-100.02475,3
-85.56086,-64.741135,2
71.69352,-17.964285,4
-41.121162,88.853485,2
114.465866,59.35086,2
60.97814,-104.10974,0
84.5732,-62.020546,0
44.05547,-117.816895,0
54.523876,16.220448,1
-18.685234,-147.83897,0
47.917282,78.51256,2
90.32828,-1.0298558,1
85.84901,-38.3314,0
-14.258843,108.60334,2
75.97156,-83.67123,0
-32.463814,-83.76964,3
-56.59003,44.83417,2
-20.462843,-34.736866,4
76.680504,-64.09184,0
-30.958075,83.537575,2
99.15603,-51.56973,0
-63.35811,-95.450005,3
-58.444916,-46.874435,4
74.54591,87.85833,2
-13.526327,11.723908,1
-91.28915,-5.65805,2
-61.365986,93.69554,2
126.50179,22.416859,2
66.8871,39.406628,2
-108.187546,37.134605,2
36.746555,22.212719,1
-102.31459,-66.23054,2
-131.50906,36.88024,2
65.75414,27.784662,1
36.83259,-33.96528,4
-16.79079,21.8378,1
-135.97957,38.362328,2
-95.56569,89.432304,2
-115.84232,24.477282,2
56.762646,-20.752254,4
-109.82808,-1.5765356,2
98.55607,48.404186,2
-40.993412,43.072826,2
-20.881071,15.905753,1
24.678928,-25.515781,4
85.10199,11.454528,1
-87.137054,65.10083,2
-85.18122,-31.646473,1
-106.73564,-66.40288,2
46.008232,9.391013,1
-37.341625,113.51292,2
-46.84813,-35.45424,4
39.350025,111.43799,2
83.70009,-43.75184,0
91.38037,87.84252,2
-118.325226,-20.012478,2
-33.151497,-34.670437,4
-120.79273,39.574497,2
42.188873,-31.619669,4
28.43781,116.54329,2
-104.23356,73.53567,2
-87.7518,-106.32024,3
8.579323,118.112206,2
3.7627032,137.87274,2
-15.785091,-133.42027,0
58.68009,-103.49257,0
146.54514,29.29912,2
76.6822,-61.11128,0
73.04873,-19.872284,4
12.311793,20.354296,1
71.63813,-66.17311,0
41.997234,-24.907555,4
63.164207,-25.318073,4
60.73199,-16.947973,4
-102.04664,46.922565,2
21.794853,-26.285845,4
56.54961,-93.66199,0
2.3010278,-20.060411,2
12.7795725,-140.16737,0
89.96502,18.264223,1
163.01234,-25.429327,2
73.76601,-19.420832,4
18.482086,87.16498,2
-38.930244,-112.960846,3
-53.794918,65.20324,2
-100.492424,83.88871,2
48.295834,79.99912,2
63.526966,-114.9753,0
115.4443,-15.712649,1
-63.26093,-124.47638,0
73.43009,-20.296728,4
6.3666577,112.23444,2
85.44597,-77.56007,0
30.327217,-80.24853,3
-123.41499,-1.0673373,2
51.284794,-76.0742,3
108.27613,30.474733,2
108.827835,60.349155,2
-42.90548,-96.4107,3
77.59752,-76.79246,0
27.160173,98.77554,2
111.768425,63.12099,2
93.61487,68.54856,2
17.880146,-35.306614,4
-41.33255,76.02325,2
-74.86769,-16.85368,1
4.4416842,-46.450718,4
25.248661,-125.887596,0
79.125305,-62.06114,0
-123.34039,17.71868,2
8.4686,109.06304,2
-120.72203,-36.92574,2
-14.016142,-134.11252,0
-58.631382,-97.26217,3
-33.257706,-143.08218,0
29.452366,-133.16345,0
82.608284,94.70584,2
13.134172,-45.14646,4
75.826744,-67.164505,0
-68.00722,-20.342312,1
39.84609,5.495656,1
52.869633,-79.081894,0
65.3036,20.992632,1
-90.10788,7.450993,2
10.255343,-26.066149,4
-50.272892,-51.225044,4
-58.24645,34.242924,4
47.545647,-14.243767,4
2.0359077,-38.148308,4
-88.90458,23.848396,2
-34.436863,-50.285587,4
52.353886,-117.38528,0
-47.971302,42.91752,2
-97.36791,58.278248,2
-6.077782,0.8583642,1
164.42435,-30.519598,2
113.16633,-48.473175,0
-100.75242,84.64608,2
-60.099537,1.3291028,1
-122.24889,-27.165895,2
-85.698975,28.671604,2
118.826744,67.90156,2
36.689926,-130.0983,0
155.59567,-34.015396,2
-86.964645,86.7802,2
-146.92104,16.886745,2
123.99888,24.78864,2
55.556297,-20.937523,4
29.49098,128.9896,2
8.643263,-135.1282,0
24.93274,-27.25958,4
-99.02065,59.111618,2
-18.605772,97.439026,2
47.71991,-141.50389,0
145.56723,-42.128498,2
-102.35977,-3.056705,2
108.32792,-7.343265,1
86.25885,56.738914,2
66.2951,100.254845,2
3.832486,8.3334,1
-16.280731,-27.437853,4
-45.057175,-35.63933,4
64.44153,34.74617,4
-57.483086,33.477726,4
50.60703,-137.67154,0
