TRIMAP1,TRIMAP2,label
163.05333,-24.941898,2
49.082344,31.942863,2
1.759591,-9.730584,4
-38.00188,-26.272617,3
-38.40061,11.857672,1
50.339764,-38.604965,0
138.1857,-4.909218,2
9.687113,-40.569935,0
104.292114,-35.641266,0
97.00012,24.667597,2
-33.50353,35.5819,2
-28.311552,5.660186,1
-107.35595,-17.258165,2
51.935513,5.2797065,1
3.2160552,-12.110233,4
-19.52327,-14.064673,4
116.90721,20.655277,2
81.04293,-13.860477,4
-3.349311,4.873058,1
-92.63978,17.32939,2
92.27707,33.756966,2
-42.344105,36.47614,2
-81.72275,1.6370932,2
-35.83565,-7.283919,4
77.58726,1.5581352,1
20.458765,-35.531406,0
-109.25333,-11.964395,2
-55.913982,15.907752,2
-5.061645,40.030827,2
111.46632,-36.245037,0
-72.45438,-12.887854,4
104.23009,-21.119894,4
92.014244,-3.1009583,1
-52.294025,-5.1664543,4
50.77828,-35.980293,0
-8.501313,44.843388,2
75.002396,-36.755775,0
36.51181,4.5275736,1
16.41968,-7.8910694,4
-89.38495,-18.094263,1
29.563684,38.20501,2
-78.59281,-13.772763,1
89.78862,-37.148647,0
130.1305,-13.50936,1
117.968666,-28.157661,0
53.027348,40.5743,2
31.433739,43.910854,2
69.66545,3.0601423,1
-44.544838,-23.103437,3
-120.57847,-38.153625,2
93.40396,-14.365078,4
-40.58907,38.15137,2
84.7992,31.742186,2
80.9205,-35.97804,0
115.96915,-34.330276,0
54.844105,-35.104786,0
50.12973,5.49797,1
-19.359015,-40.26093,0
25.991922,34.479107,2
98.14018,-4.2764354,1
131.58127,-36.479088,0
-23.834528,40.032387,2
97.96001,-36.906956,0
-51.057617,-29.206009,3
-52.991566,22.204699,2
-45.168743,-11.708477,4
112.33996,-35.588913,0
-32.247837,32.723564,2
145.0416,-34.39617,0
-76.528625,-35.041004,3
-84.08501,-22.38936,4
52.602974,37.46986,2
-24.310888,3.1674306,1
-84.90457,-8.779265,2
-50.04994,35.3623,2
108.34499,20.837252,2
57.45011,14.141557,2
-86.115204,13.719062,2
29.906559,6.3044047,1
-121.0809,-30.105995,2
-94.264015,14.270088,2
72.49615,-5.414348,1
31.371378,-10.857998,4
-30.415167,1.3605074,1
-95.405594,19.733032,2
-67.159775,29.925972,2
-92.21171,10.021739,2
67.15768,-11.356285,4
-98.46227,1.2738703,2
81.04694,26.165865,2
-44.804462,12.396342,2
-31.566647,3.5933716,1
17.647575,-7.8149824,4
85.12085,0.5978661,1
-70.47633,28.348522,2
-89.865486,-21.33241,1
-120.07067,-26.677305,2
41.893276,3.1981661,1
-34.67886,41.76881,2
-87.58045,-11.793341,4
17.29916,43.81379,2
129.35637,-35.385853,0
63.600708,38.13259,2
-108.5836,-9.912044,2
-68.42052,-10.999011,4
-88.34521,15.250288,2
39.40799,-11.086009,4
9.054347,43.311028,2
-77.69783,26.908957,2
-96.178154,-39.333176,3
-3.8001528,43.313324,2
-6.962074,49.956738,2
-15.748039,-37.33751,0
74.84455,-34.305374,0
118.274284,22.392797,2
113.96104,-36.043896,0
94.52087,-15.876977,4
2.5126467,4.8170204,1
111.4744,-36.53039,0
41.42812,-9.829593,4
