UMAP1,UMAP2,label
15.05148,2.9550824,2
6.832765,-3.719513,2
2.8090107,1.4308709,4
3.0738425,10.1678505,3
1.5190027,4.0657983,1
8.053251,12.614248,0
15.54855,0.35143527,2
5.5784845,12.597101,0
12.178118,12.3738785,0
11.577006,-3.2566073,2
-0.702307,-2.2985928,2
2.117833,4.176291,1
-5.190985,7.280545,2
8.232283,1.667274,1
2.930726,1.0486275,4
1.3136581,1.9617378,4
13.2056055,-2.6252556,2
7.249475,2.0603247,4
4.165322,3.686668,1
-5.94218,2.5973516,2
11.061124,-3.962694,2
-1.4896969,-2.1111956,2
-3.988084,4.03695,2
-0.4592888,2.583885,4
10.03841,1.3412967,1
6.321437,12.036744,0
-5.697367,6.80803,2
-2.556785,1.1926776,2
1.9390239,-3.5563478,2
12.710684,12.333874,0
-2.1436093,4.5406966,4
7.918855,2.7813904,4
10.896694,1.4288008,1
-1.0641019,3.0005262,4
8.138743,12.2332,0
1.4460813,-4.287333,2
9.851321,12.514188,0
7.0248065,3.017995,1
3.777777,1.0902127,4
-2.0568526,6.9474344,1
5.189063,-4.074806,2
-1.0270052,6.632287,1
11.089914,12.55848,0
13.389212,2.0180357,1
12.818607,11.23515,0
7.283873,-4.680324,2
5.304925,-4.7597685,2
9.435777,1.2992146,1
2.4227762,10.718471,3
-4.406987,9.829941,2
7.8807964,2.7213652,4
-1.6211822,-2.3750255,2
10.352099,-3.8573382,2
10.243614,12.560843,0
13.053587,11.913091,0
8.470469,12.395981,0
8.246794,2.0000138,1
4.0242276,12.419457,0
5.132595,-3.8265247,2
11.380426,1.5587742,1
14.233565,11.428941,0
0.061554957,-3.2438946,2
11.723864,12.519619,0
2.126893,10.27321,3
-2.6719646,0.32808137,2
-0.5362926,3.1296859,4
12.802608,12.219539,0
-0.63357013,-2.1356971,2
14.668053,10.496331,0
0.049737487,11.243364,3
-2.8894277,6.5791793,4
7.3590817,-4.251481,2
2.7005467,4.5621367,1
-1.7648612,6.05269,2
-2.3713703,-1.5479659,2
12.454984,-2.6020293,2
8.154403,0.60619766,2
-4.924548,2.6778219,2
6.465895,2.8387625,1
-5.2404103,9.381976,2
-5.9485073,2.9994721,2
9.186891,1.3405403,1
4.805106,0.7037164,4
2.1203032,4.4345975,1
-6.2244473,2.5251107,2
-4.043266,-0.36597422,2
-5.280498,3.487106,2
6.7026258,1.4382677,4
-5.767975,4.9235597,2
10.223342,-3.2028465,2
-1.7590914,0.65958256,2
2.1483972,4.671497,1
3.8915312,1.0880582,4
10.497991,1.3093032,1
-4.180845,0.14364214,2
-3.574861,7.1457114,1
-5.5470514,9.051515,2
7.3840322,2.827019,1
-1.2753441,-3.0049374,2
-3.2129352,5.006662,4
4.0004854,-4.5289907,2
14.079218,11.532891,0
8.344048,-4.5123625,2
-5.8269005,6.504279,2
-2.0701041,4.1599293,4
-5.250997,2.6197276,2
5.3092866,0.7812695,4
3.0961301,-4.2460227,2
-4.8223433,0.6305869,2
-1.5538522,11.748348,3
1.922543,-3.96746,2
1.031952,-4.6272426,2
4.166595,12.21402,0
9.987138,12.39792,0
13.365319,-2.7473812,2
12.956802,12.254249,0
7.936239,2.7940638,4
4.5635524,3.6424427,1
12.7769985,12.304627,0
5.5072174,0.8450443,4
7.0549197,1.8437876,4
7.0156174,1.6030618,4
-4.7003784,1.9152167,2
3.5387738,1.2012262,4
10.419789,12.139994,0
2.4001124,1.6671284,2
6.045084,12.508561,0
10.324715,0.790746,1
15.993914,0.47422722,2
8.014945,2.8719876,4
2.9227562,-3.4440072,2
1.9276016,11.323365,3
-2.1323137,-0.7679155,2
-4.5993066,0.116238475,2
5.3589516,-3.9574919,2
9.599276,12.821761,0
13.959678,2.3085966,1
0.6264498,12.009277,0
7.909607,2.7813492,4
1.875546,-3.6731803,2
12.041664,12.320957,0
7.9363875,10.375545,3
-5.949131,5.298994,2
10.636205,11.237054,3
10.9443445,-2.45697,2
10.071753,-3.8020551,2
1.4280677,10.679911,3
12.130277,12.474782,0
3.726071,-4.1088486,2
10.183436,-3.8614852,2
8.830042,-3.973607,2
3.0608487,1.1160136,4
-1.2904397,-1.1887699,2
-2.0881994,7.0150433,1
1.7371817,1.7115611,4
7.2250195,12.409539,0
12.957172,12.219175,0
-5.6549144,4.0795665,2
1.8405681,-3.4470272,2
-5.923278,7.5430627,2
4.2152195,12.2807455,0
0.2787824,11.176986,3
2.9105358,12.439445,0
7.442997,12.57881,0
7.1469626,-4.8066635,2
2.58649,1.3058552,4
12.761707,12.311544,0
-2.0122783,7.2029853,1
6.867532,3.2384505,1
10.931664,11.543333,0
8.912485,1.6249677,1
-4.472583,4.645711,2
2.6034913,1.4682065,4
-3.1576786,6.5064983,4
-1.704388,2.209781,4
6.680867,0.8821823,4
1.3955723,1.90836,4
-4.3802195,3.567659,2
-1.741486,4.425208,4
9.029025,12.416243,0
-1.6448246,0.69880044,2
-4.2853594,1.214882,2
3.2638156,4.697074,1
16.177593,0.7557061,2
15.330269,9.970335,0
-4.7136097,0.13410088,2
-0.453737,5.674139,1
-6.0507803,6.841442,2
-4.359493,2.6820424,2
10.24403,-4.1864905,2
7.920759,12.470282,0
16.272266,1.2987283,2
-3.837486,-0.56583965,2
-6.939666,4.5749354,2
12.421706,-2.4715006,2
6.609621,1.3469558,4
3.1776278,-4.8982067,2
5.948498,12.422819,0
3.858341,1.0674301,4
-4.4218607,1.1279534,2
0.084158234,-2.9018657,2
8.171302,12.889416,0
16.109741,1.8431091,2
-5.0411158,5.102556,2
13.152406,1.8889695,1
8.539235,-3.7314205,2
6.1625404,-4.8219995,2
3.6741283,4.2438564,1
-0.36848897,2.4823885,4
-2.8460941,4.7105584,4
8.176057,0.8087089,4
-1.6532497,2.037403,4
8.421194,12.8248205,0
-5.8238025,1.2570711,2
11.606051,11.831946,0
3.9382982,12.334201,0
2.080682,-1.9919549,4
-0.84550446,3.4589489,4
0.053372566,-4.250267,2
7.249037,2.0464423,4
-3.5006757,7.1529,4
9.04136,-4.501532,2
1.8889323,1.7987189,4
1.1514281,2.0825138,4
6.0146236,-3.4185486,2
7.86571,12.424386,0
11.26624,12.250972,0
-3.0223749,1.4797729,2
-4.138339,0.1797743,2
8.627695,12.286832,0
-5.5727086,1.9360975,2
14.732323,10.907293,0
5.2324247,11.914536,0
8.766611,11.7525215,0
7.483635,12.476405,0
1.7745672,-3.4008005,2
-5.000824,2.3878753,2
14.843745,10.355784,0
-3.325622,-1.4387567,2
0.58565295,4.8785844,1
3.0636117,10.168404,3
10.595383,12.58448,0
5.440046,12.453949,0
2.9347842,1.0695705,4
7.1192307,-4.2129674,2
0.105191715,5.012915,1
-6.9669642,4.0471087,2
2.737326,12.335722,0
2.2865462,11.568571,0
14.05391,-1.9001698,2
7.788031,2.6580746,4
14.154613,11.28584,0
2.7169108,4.8255363,1
-0.07699379,-3.7995543,2
-1.3489664,-1.8398936,2
5.790115,2.6095068,1
14.576203,-1.6866028,2
2.7557771,-3.714543,2
9.644013,12.687211,0
8.087265,10.18793,3
-1.230913,6.6529055,1
8.052058,10.245164,3
13.508223,-1.7529004,2
-4.992035,0.7649157,2
-3.4723413,6.5011606,4
7.090977,1.8507358,4
13.620041,11.870973,0
3.1697044,1.0484135,4
3.4325304,0.8683546,4
4.4155064,-2.3571267,1
1.1041689,2.1069028,4
3.1711943,4.4957113,1
-0.70137274,6.283196,1
-5.0483313,5.497432,2
13.102312,11.667473,0
1.4435543,5.3325744,1
6.758541,2.9875042,1
-0.10454601,4.3054304,2
8.579176,12.207355,0
5.959071,0.84373564,4
10.885839,11.832056,0
11.942721,12.559159,0
1.0623188,-4.630144,2
1.5738529,-3.6706548,2
5.0785775,-4.7835965,2
-1.7270278,-1.1523144,2
-3.6028275,0.9348467,2
3.541719,-4.3220983,2
1.454852,3.2737238,1
3.9948504,11.927877,4
-6.02898,4.262666,2
2.028994,10.5811825,3
8.257404,3.0967896,4
2.755622,-3.9357414,2
-4.5650525,9.96516,2
2.9684584,3.0858943,1
9.21619,-4.302547,2
-2.1583278,0.8672117,4
-6.8401647,5.720621,2
10.91583,-3.9877691,2
5.278355,12.16186,0
6.4315076,-4.135315,2
-5.735735,3.9144788,2
-2.8178144,1.932632,2
7.963527,2.811816,4
8.3323,3.1577272,4
-0.056467492,-3.1932545,2
11.983624,-2.8389456,2
2.0069923,4.586931,1
13.337292,-2.5410063,2
2.7695,1.1053207,4
5.8854303,3.472839,1
1.6382555,11.435962,3
6.921278,12.868783,0
-3.0497966,4.802353,4
-5.8465586,3.9402506,2
-2.1395981,-1.6423856,2
10.970306,1.6298081,1
8.346403,3.1721566,4
0.38247442,2.164848,4
-3.0627785,8.599256,1
8.224545,3.0689018,4
9.84309,12.7923975,0
3.4751189,4.4657907,1
5.6732297,10.396906,3
-2.9538453,-2.5307405,2
4.9962673,-3.772837,2
12.444947,12.302062,0
-0.7958023,-4.007789,2
-2.1644676,4.279621,4
11.707941,-2.5965807,2
-4.333929,5.014997,2
15.288934,10.015817,0
10.466548,1.7346234,1
-2.257,-2.1299415,2
4.755813,-3.478353,2
1.1272817,-4.2356715,2
10.366575,12.59569,0
-5.1034966,3.9406006,2
3.0754623,10.230463,3
-6.451854,7.1663294,2
3.5942385,-5.455219,2
8.398393,-3.924176,2
-1.5043195,4.0142627,4
7.7902083,2.2568796,1
-6.9748116,4.038104,2
-4.2558436,1.2744532,2
-3.6959403,-0.71025234,2
5.3529644,12.47712,0
3.2763183,-4.4655175,2
3.1474442,-4.197446,2
4.736989,0.94984955,4
-1.7270072,1.005037,2
-0.67741936,-0.14683375,2
-6.2006207,5.830411,2
0.0002394373,-3.3572083,2
-6.237937,8.11272,2
5.603366,2.6157856,1
14.4296,-1.5191699,2
0.4179211,5.6961207,1
6.2422347,-4.244169,2
15.65508,-0.18831283,2
2.9712045,-4.745151,2
8.12793,11.757729,0
-1.3458569,6.562667,1
-1.2322896,3.6322494,4
4.7935877,2.873332,1
2.7951055,-3.1126733,2
7.2599173,12.629993,0
-2.3883474,-3.1905386,2
-2.6273084,1.6186053,2
4.5776954,-3.7609184,2
11.623558,-2.5765965,2
-6.090119,5.1514297,2
-2.7427967,-0.74064887,2
4.218909,10.998366,0
5.420051,0.8436668,4
13.246718,12.150213,0
-1.305543,3.7825274,4
13.644747,-2.0397897,2
10.469245,1.3406789,1
10.163387,11.9381895,0
8.324342,3.1540892,4
7.6330624,-5.0083365,2
-1.5025976,3.5169277,4
10.251832,12.606014,0
5.093508,3.1830323,1
-0.16590416,2.7077549,4
7.722044,-3.81783,2
-2.8997617,7.9885974,1
2.9558353,-3.9853363,2
7.7861285,1.865696,1
5.0500555,11.809319,0
1.0911092,-4.3171234,2
-6.5208545,7.234671,2
11.178629,-3.372477,2
4.8312807,12.125129,0
5.1255965,2.4606814,1
13.364909,-2.397051,2
-6.301528,5.6782923,2
7.844768,1.9501257,1
2.0497947,11.408955,3
-4.0241194,-0.7084977,2
6.6712666,1.5035632,4
-3.2350683,6.736525,4
10.051584,12.401183,0
13.204405,11.96572,0
7.3956075,10.984393,3
16.092651,0.649037,2
14.118257,11.422954,0
-5.845118,3.789301,2
2.053996,-2.515537,2
10.768589,12.713767,0
2.3316987,1.4006191,4
5.054321,12.586661,0
-0.94375336,3.4485147,4
-4.622424,9.962032,2
-4.6759257,2.31259,2
6.261504,-4.0971313,2
15.713913,8.759368,0
-5.0908794,9.188275,2
7.953845,1.8891389,1
-2.769651,0.90262514,2
-2.4892943,-1.8472629,2
-3.778338,9.837084,2
0.7259427,5.527526,1
-5.556879,4.0536256,2
3.379812,4.1856165,1
10.261352,0.83599114,1
0.73648113,-2.8483953,2
1.2248797,-3.307501,2
13.959813,-2.313678,2
5.3960376,12.36534,0
-1.2038603,3.5707564,4
1.5072451,2.0294502,4
-2.11156,4.8001485,4
-0.7119939,3.8638864,4
13.407067,2.017216,1
6.3397,3.2943242,1
14.4937935,-1.1502014,4
-4.097736,-0.05327946,2
1.5160285,-2.322601,2
11.810862,12.245836,0
-5.769955,7.42779,2
1.916435,-1.6344527,2
-2.4134202,-1.5696775,2
13.864736,-2.3326957,2
-1.094588,-3.5325174,2
5.443236,12.541606,0
10.698199,-3.079072,2
13.52222,-1.9939265,2
-6.1525583,7.4346666,2
12.146068,-2.957374,2
6.899349,-4.2046113,2
12.059395,12.201802,0
7.2809334,11.87526,0
14.752614,10.873978,0
-2.2066162,0.8513464,2
6.511003,10.060242,3
12.376125,12.452983,0
11.47011,1.4815452,1
-1.7797016,6.5356517,1
-4.3801856,3.1092014,2
11.672278,11.77782,0
15.037904,10.501701,0
8.7878065,1.4918469,1
6.269565,-3.995851,2
6.520554,1.3201073,4
4.5847993,12.4152565,0
-5.3959885,8.454698,2
5.790101,0.9099301,4
7.8304157,2.0638049,1
-1.233386,3.5463371,4
6.1758714,12.308526,0
3.654957,-3.4314044,2
1.5448543,12.100463,0
4.874884,0.8013048,4
3.8598597,3.6418095,1
13.701163,11.82243,0
3.7167637,0.7945071,4
0.17052399,1.9429014,2
11.015704,12.459568,0
6.1340404,-4.793131,2
4.528733,11.9716625,0
-2.5498893,-1.1247039,2
-2.9834988,0.4906526,2
-4.2118015,6.335584,2
4.39008,-2.346689,1
11.138808,-3.3387678,2
-2.523962,1.2924732,2
5.854568,0.91447645,4
-4.8386607,9.775603,2
2.269017,-4.669731,2
-3.7433574,9.46761,4
-4.578541,2.783568,2
4.598027,-4.6585994,2
7.8259144,12.883936,0
13.267756,1.9623079,1
4.6791897,0.7221261,4
10.514087,12.504861,0
-6.492214,7.130804,2
-2.3872724,7.705515,1
3.7469535,11.997553,0
-3.970211,6.0130324,4
-5.924195,8.440471,2
7.507934,12.484252,0
5.987422,3.3317583,1
-3.7626283,-1.6702662,2
13.782155,-1.868474,2
-0.7076679,2.813024,4
2.0245388,10.519267,3
6.630033,-3.4122207,2
3.0403671,1.2227219,4
-5.372715,0.9343774,2
-5.5704412,0.3029432,2
-1.5450402,0.10822559,2
12.956926,11.906516,0
4.792169,1.6959395,4
-0.6466725,-2.5050654,2
-2.492916,-1.2270145,2
9.253743,1.5540375,1
-0.101654135,-3.0361912,2
4.9013076,12.362001,0
1.704725,1.6559004,4
2.9673665,9.985642,3
-2.306519,-1.1619645,2
3.0419595,-5.0823727,2
4.437521,12.526464,0
6.9197016,12.82877,0
2.2091446,-3.6819031,2
-2.8136764,-0.54947543,2
0.2471383,-3.0768404,2
4.9814386,0.8630038,4
-4.2147846,1.0910075,2
-5.8082085,2.7473702,2
11.201172,-2.9061058,2
6.151006,1.1025624,4
14.809195,-1.1882175,2
5.819107,2.7279468,1
1.4042106,11.245453,3
8.45917,11.828637,0
13.753194,-1.5461565,2
1.640299,1.8158561,4
0.9770338,10.984227,3
3.079558,12.423193,0
1.9851451,1.3272713,4
3.1744328,10.441514,3
0.59211475,5.7578745,1
15.589734,9.126548,0
-1.279258,3.8362656,4
4.894939,2.6861603,1
1.9098974,12.119164,0
11.931354,11.866354,0
7.9482684,1.7245369,1
11.234873,12.536371,0
-5.6546464,3.8969674,2
-2.5347538,-0.6568191,2
7.6141253,2.0197046,1
12.650874,1.6938316,1
12.069316,12.547391,0
1.2693605,2.0345712,4
9.798384,1.4595658,1
-2.0261357,5.8251567,4
1.3223987,1.9643245,4
-2.391899,4.5928125,4
12.996103,-2.525231,2
5.297433,0.7936475,4
14.74378,10.778047,0
8.61276,-4.156849,2
-3.0458317,1.7154496,2
4.3160896,0.8825018,4
8.792847,-3.3556745,2
-2.900967,6.036047,4
1.0257494,-3.1623185,2
-0.4166672,3.0681362,4
-4.4145675,0.4685263,2
3.9689586,-4.634833,2
15.072003,2.9422495,2
13.240375,11.8045,0
7.7478275,12.926617,0
2.6078176,12.188271,0
4.958042,3.365793,1
13.401744,12.048706,0
15.651893,-0.40805158,2
11.953088,12.559448,0
-5.5985775,8.661456,2
3.9331417,3.6699393,1
-1.296225,3.730568,4
-0.6843257,1.9126619,4
6.9660964,1.6038514,4
3.9822867,3.847205,1
-6.001429,2.8408995,2
12.594856,-2.536649,2
-5.2509136,7.9257154,2
2.5435174,-2.7896805,2
9.208648,12.918806,0
5.862269,2.7256906,1
3.7287605,4.0652037,1
4.6476445,11.856057,0
4.093524,-3.6667156,2
7.80172,12.61451,0
7.276319,1.9736141,4
-5.962237,1.2967681,2
-0.9982058,-2.1571383,2
0.559256,4.220502,1
13.253847,-2.5156152,2
2.76451,2.5497937,4
3.9305053,3.1891797,1
9.324737,12.708832,0
9.949172,12.259627,0
-4.2431545,2.5585237,2
-1.8596478,-2.0936942,2
-1.3313495,5.768378,1
-6.4444275,7.516209,2
14.283945,11.347267,0
10.589573,-3.9290197,2
-1.8288101,4.276831,4
14.127147,-1.1840086,2
8.8279085,-3.951404,2
-4.2421236,4.916626,2
10.902287,-4.00428,2
12.76699,-2.4806564,2
1.6241369,1.7897232,4
3.990111,-3.3915186,2
-0.5872206,3.0058854,4
-5.495693,4.075482,2
5.142015,3.3801599,1
8.516541,12.561222,0
-2.2880583,-2.8338583,2
6.2684474,-4.096134,2
10.937308,12.444749,0
2.380479,4.1047707,1
-0.49588016,5.925887,1
-5.0947785,4.466089,2
-5.599798,7.429395,2
13.150722,12.127757,0
-4.028541,8.316991,4
9.631438,12.8198,0
15.6413555,8.976131,0
10.296152,12.228411,0
2.0773976,3.3890362,1
8.665946,-3.6581767,2
10.479309,-3.9025621,2
-1.2646598,-2.834066,2
5.1827292,0.7441137,4
5.882598,12.707126,0
2.1077309,-3.779975,2
1.3782009,1.8689678,4
7.6995673,12.766799,0
11.76252,11.94543,0
0.62576145,-2.362618,2
-4.5263996,1.1868664,2
15.285249,9.736593,0
13.971112,-1.2745855,2
-6.4214444,7.321438,2
8.172926,12.785277,0
15.536894,9.292319,0
-0.6963168,-1.1009439,2
13.343568,11.797967,0
-3.7228377,0.59249496,2
-3.631821,0.04102396,2
9.169486,12.790216,0
-2.4067965,0.6258578,2
-2.188948,4.6932354,4
2.7713137,12.413899,0
-1.5631695,4.1474895,4
-6.4014525,6.2640123,2
1.3154709,12.334493,0
10.233863,1.4581075,1
3.8206048,-4.070533,2
3.529563,1.1692159,4
0.5804875,-2.2129555,2
15.060189,10.417179,0
-2.553109,7.6996264,1
8.896115,1.2854337,1
15.029751,-0.6771517,2
3.7128882,2.9053876,1
-0.15877834,6.101531,1
11.526219,12.686704,0
4.3562927,1.3533745,4
-5.0606837,2.1447308,2
-6.1872525,8.532983,2
-6.1416535,7.8341966,2
2.9669893,1.2952173,4
-1.8460102,4.4381247,4
6.732941,12.720582,0
0.6220675,-4.2445607,2
11.252669,-2.7431164,2
-6.500849,7.766438,2
3.4121675,1.5561019,4
-3.36438,-0.8926733,2
1.8128593,12.255348,0
2.1760817,10.562004,1
-5.935938,1.2619396,2
3.5770862,-4.530605,2
15.12095,10.49355,0
0.20634486,-3.01645,2
15.326519,9.661579,0
1.1141299,-2.2687764,2
-5.594594,3.8396997,2
-1.722938,7.159609,1
4.294503,-4.765918,2
-3.4780734,8.449468,1
8.427361,12.777636,0
-4.9794893,1.7128137,2
5.9799857,1.0986478,4
-5.996223,5.959515,2
10.255467,-2.9799285,2
12.696913,-2.6987884,2
12.7304535,12.314015,0
-0.25023645,-1.4444546,2
6.492128,-3.9429505,2
5.048127,-3.674362,2
14.718849,-1.0150423,2
15.244827,10.235979,0
3.6949096,10.060141,3
-4.633208,5.462579,2
7.908825,12.496426,0
2.207513,4.5317197,1
-5.6857553,8.693717,2
15.43114,9.568341,0
-3.2346885,6.4460163,4
-4.9526134,1.7438283,2
-3.6501358,7.7786727,4
0.015641533,2.8538191,4
-4.722203,1.9800746,2
10.244938,-3.9681132,2
-6.8906345,4.877902,2
4.27494,0.7325402,4
-3.6190612,6.510219,4
-6.6917186,7.039343,2
9.5222025,12.6764965,0
2.5583026,1.2474216,4
8.050977,12.473949,0
9.361383,1.9717441,1
7.0756383,1.5323317,4
6.387403,0.7345827,4
7.010615,3.1849203,1
8.4904585,12.706136,0
-0.6912588,3.4188092,4
-3.7950916,3.891881,2
5.96114,0.94342566,4
2.5506542,-3.3940659,2
5.819902,-4.8769746,2
-4.968418,5.324767,2
6.0512958,1.1266646,4
-6.500216,7.8937883,2
6.0947747,0.89892673,4
2.8880486,12.235915,0
7.444446,11.108744,0
1.7547005,-3.1162457,2
