TRIMAP1,TRIMAP2,label
162.88365,-19.647926,2
44.453163,33.63811,2
2.5298452,-8.737769,4
-33.831814,-27.22242,3
-37.267673,10.242011,1
49.266853,-37.337772,0
137.10455,1.7952741,2
9.873619,-38.73321,0
104.24034,-34.571712,0
97.41425,25.210663,2
-32.981247,33.982376,2
-27.466736,4.039993,1
-104.84966,-19.424387,2
50.693203,6.6303244,1
4.328879,-11.893586,4
-18.355051,-14.703688,4
113.529015,22.20763,2
137.62099,-60.061497,4
-3.167128,4.359338,1
-89.11375,15.009946,2
89.24388,33.000217,2
-39.489166,34.3148,2
-78.31955,-1.4785941,2
-35.208168,-9.0326185,4
74.82647,3.8685317,1
20.470043,-33.380272,0
-106.25724,-13.992082,2
-53.128098,13.882884,2
-5.851269,38.17581,2
110.091705,-35.51686,0
-69.572845,-14.234806,4
101.79415,-14.449232,4
91.23651,-0.54744273,1
-54.027435,-6.357399,4
50.432007,-34.528923,0
-10.8053255,43.001526,2
74.229034,-35.27405,0
35.917164,5.728319,1
17.805918,-7.0690413,4
-84.60079,-19.226257,1
25.53149,38.637394,2
-73.77132,-16.434443,1
88.273506,-35.96077,0
129.14726,-10.393995,1
116.37808,-26.578762,0
48.927483,41.177467,2
27.651731,43.975357,2
68.00371,4.9899297,1
-41.56081,-23.88072,3
-119.33415,-39.168125,2
97.78352,-13.404535,4
-39.480972,36.604164,2
81.6926,32.103073,2
79.48797,-35.197994,0
113.08392,-33.154915,0
53.84253,-34.43909,0
49.02214,6.883467,1
-16.35404,-40.143265,0
21.803728,33.601612,2
96.33173,-1.2667105,1
130.63872,-34.810215,0
-23.965342,38.190617,2
97.40803,-35.693466,0
-47.24556,-30.8329,3
-52.1371,21.165937,2
-44.784267,-13.713872,4
112.733376,-34.893566,0
-31.869448,32.432087,2
138.13698,-31.122942,0
-72.61328,-36.90501,3
-80.52896,-23.914429,4
49.479557,38.309193,2
-23.24307,0.7455613,1
-81.46465,-9.923469,2
-48.4963,32.81186,2
104.359055,22.437462,2
56.160698,15.441662,2
-83.092834,11.249353,2
27.940905,7.760838,1
-119.521645,-31.125532,2
-90.75537,12.055171,2
72.91434,-5.218386,1
32.2423,-10.73069,4
-28.66322,0.6991603,1
-91.704765,16.631289,2
-64.69888,27.384571,2
-89.21774,7.467887,2
70.4906,-11.710591,4
-95.02175,-2.2872925,2
77.18875,27.514112,2
-42.925186,11.011113,2
-29.971561,0.9845704,1
19.863152,-7.3781543,4
83.15795,2.340904,1
-67.702194,26.021986,2
-86.89616,-22.18375,1
-117.598,-27.248346,2
39.888363,5.471927,1
-34.883728,40.280243,2
-88.048416,-13.766918,4
