TRIMAP1,TRIMAP2,label
170.20032,-25.815063,2
45.629963,31.489363,2
0.47601962,-10.152968,4
-36.265797,-27.061247,3
-36.430496,11.3103075,1
48.75109,-38.376873,0
143.63951,-4.7637196,2
9.27049,-39.05854,0
102.86129,-35.253223,0
93.7457,23.039017,2
-32.39996,34.90482,2
-26.315172,5.249562,1
-107.460464,-16.33455,2
51.03811,4.4207897,1
2.5370357,-12.131361,4
-20.023108,-14.56477,4
115.00931,18.851648,2
80.90932,-13.374344,4
-2.9942174,4.487488,1
-91.68533,18.195621,2
88.27925,32.684937,2
-38.914,35.8134,2
-80.52378,0.70541173,2
-36.29702,-8.959175,4
76.959114,1.0557601,1
19.055672,-34.143322,0
-108.825714,-10.842924,2
-53.99536,15.525399,2
-4.340239,38.228592,2
108.85935,-36.32484,0
-70.40035,-13.109929,4
94.83235,-14.752392,4
93.524,-4.0781407,1
-53.140495,-7.0454264,4
50.05131,-34.98995,0
-7.1729975,43.010693,2
73.67672,-35.424934,0
35.202595,2.3344903,1
16.228674,-8.507556,4
-86.61143,-16.229918,1
28.55036,36.15598,2
-75.803825,-12.194964,1
87.80572,-35.917385,0
132.80618,-14.414834,1
117.89685,-28.824177,0
50.2971,38.353737,2
30.494106,41.827686,2
69.39959,2.6748722,1
-43.56209,-22.188234,3
-121.025604,-37.104847,2
90.59086,-13.705503,4
-39.433826,38.139286,2
81.96459,30.644697,2
78.44683,-35.846943,0
116.61747,-35.25852,0
54.80295,-34.40028,0
48.825165,4.2088313,1
-19.079697,-39.5303,0
22.832386,32.10722,2
98.185104,-4.3056474,1
131.59457,-38.474792,0
-22.940088,38.86293,2
96.42803,-35.312325,0
-50.400322,-30.099657,3
-52.03321,21.21131,2
-47.21894,-12.631146,4
111.144745,-35.9612,0
-31.492527,33.77723,2
142.71878,-36.25203,0
-77.87982,-34.80052,3
-83.372795,-21.540823,4
50.49787,36.109253,2
-22.996822,1.7978039,1
-83.25016,-7.311334,2
-48.55311,34.03257,2
106.19385,19.212164,2
56.243137,13.054097,2
-84.14121,14.175808,2
28.130953,5.793461,1
-122.25433,-29.488102,2
-92.95803,14.996937,2
70.6572,-5.069914,1
31.854834,-12.062802,4
-29.807396,1.3653888,1
-93.279434,20.896587,2
-63.722008,29.370398,2
-91.089836,10.439614,2
66.916885,-11.195478,4
-99.374176,2.5248687,2
78.80069,25.528664,2
-43.39106,12.497806,2
-30.851433,2.0381882,1
17.588974,-8.80463,4
85.40352,-0.0020242156,1
-68.031044,28.038633,2
-90.15029,-18.244232,1
-120.32794,-25.081987,2
39.99114,1.295129,1
-33.52093,41.21528,2
-87.43476,-11.806042,4
17.094423,41.706764,2
129.20677,-37.752476,0
60.468082,37.666386,2
-108.43557,-8.081259,2
-65.39266,-11.883705,4
-86.29587,15.91618,2
39.019997,-12.424153,4
8.512047,40.805412,2
-74.47846,26.983715,2
-96.27142,-38.61223,3
-2.8430252,41.04649,2
-6.428668,48.685734,2
-15.99713,-36.963116,0
72.52223,-33.425396,0
115.63447,21.475245,2
112.24224,-36.305264,0
92.779366,-14.43071,4
2.5385993,4.6269355,1
109.85128,-36.871452,0
42.520195,-10.891305,4
74.348335,-12.567661,4
72.691864,-10.741322,4
-79.35833,18.255213,2
9.778565,-6.762399,4
78.144455,-25.67539,0
-5.2287316,-3.199165,2
16.895731,-38.171333,0
89.59314,4.9717684,1
161.12994,-2.025378,2
94.00687,-14.46778,4
4.221624,34.34833,2
-53.20641,-33.530987,3
-47.21773,26.93309,2
-71.70181,28.670656,2
28.742552,35.735992,2
72.763504,-38.315712,0
146.30898,-19.335054,1
-79.931755,-37.612854,0
92.374565,-14.071715,4
-5.1566997,38.990314,2
98.91353,-34.762577,0
42.5081,-22.798452,3
-102.91217,0.45118204,2
81.09579,-24.882305,3
81.114685,2.5465996,2
78.15965,30.469181,2
-57.485603,-29.743073,3
102.82534,-36.085373,0
14.379593,37.538353,2
79.279625,31.612669,2
66.2255,33.399353,2
5.1577497,-11.121439,4
-39.920025,28.624172,2
