TSNE1,TSNE2,label
61.321503,-15.381696,2
39.420883,44.81805,2
6.6709957,-14.933646,4
-9.100197,-76.05267,3
-17.681368,20.001165,1
22.14853,-48.372787,0
75.94526,-7.7145,2
1.9407904,-47.77436,0
53.096203,-60.65125,0
76.4473,28.587257,2
-20.119434,51.67749,2
-11.513397,15.446861,1
-58.470894,-20.459753,2
31.081274,14.975681,1
9.534552,-19.250166,4
1.0237325,-21.65785,4
78.99585,17.274263,2
36.07212,-18.713205,4
3.4398718,16.331696,1
-68.62774,21.921434,2
71.72723,37.55505,2
-25.98838,53.208145,2
-48.540936,1.6734179,2
-9.829541,-12.648656,4
42.340755,8.06798,1
7.5095983,-60.42845,0
-62.43555,-15.714232,2
-30.549038,19.627611,2
4.064967,57.94774,2
58.171875,-59.914818,0
-21.390514,-17.51233,4
39.654953,-18.117153,4
46.713993,3.563982,1
-11.852281,-14.707098,4
20.800999,-52.94067,0
2.6546657,68.05062,2
34.70765,-56.334946,0
21.11756,9.557059,1
13.890646,-12.364275,4
-38.483913,-11.194911,1
29.351566,51.75065,2
-31.81908,-8.816285,1
43.31815,-59.368904,0
54.527428,-6.23005,1
60.579166,-47.70529,0
45.362564,53.022655,2
32.460564,60.406574,2
39.528393,11.147299,1
-14.375385,-70.05988,3
-47.878044,-39.321545,2
39.104565,-16.748455,4
-25.555025,51.118267,2
66.05771,37.259697,2
35.847603,-56.951412,0
62.943436,-61.444817,0
24.640648,-53.70651,0
29.296095,12.524004,1
-9.744346,-50.13411,0
29.248919,49.119484,2
45.949966,0.45449597,1
67.412544,-48.5849,0
-12.241225,58.999012,2
49.084312,-61.434322,0
-16.23122,-78.71467,3
-36.18526,26.23979,2
-9.507071,-17.758226,4
59.67545,-59.49589,0
-16.09844,45.548344,2
73.64254,-42.527794,0
-33.540447,-72.63519,3
-30.524765,-23.668692,4
44.219837,51.651,2
-7.9173536,10.315252,1
-37.45323,-3.690387,2
-36.407154,51.53095,2
71.04906,19.19195,2
34.978004,22.90814,2
-59.28063,17.63861,2
19.409233,15.564792,1
-54.969067,-36.444313,2
-68.14231,12.787687,2
40.66036,12.411873,1
19.882833,-17.098671,4
-12.242742,13.434703,1
-72.237144,22.04229,2
-53.68267,45.336193,2
-62.02979,11.768995,2
31.701008,-16.155252,4
-60.957146,-2.797683,2
61.351273,32.26099,2
-24.899178,28.066807,2
-10.186226,9.602591,1
14.8125925,-12.402196,4
44.61634,6.523316,1
-54.09485,40.191944,2
-43.76064,-13.959784,1
-58.20857,-34.53617,2
22.802155,9.510065,1
-22.46663,61.186546,2
-54.793114,-13.503227,4
22.174318,61.891186,2
68.12147,-50.859394,0
54.27162,51.387714,2
-64.29256,-13.533707,2
-18.213272,-18.9629,4
-64.56452,18.16225,2
22.614567,-17.661991,4
11.35452,61.54134,2
-58.785652,36.360096,2
-42.513355,-61.954266,3
4.134966,61.987278,2
-0.17783725,72.42293,2
-7.4782233,-54.774788,0
34.41738,-58.15985,0
82.09914,17.766356,2
60.346924,-60.51933,0
39.495777,-17.712852,4
5.69581,15.365375,1
58.249496,-58.3609,0
23.296013,-15.369508,4
34.47004,-18.292974,4
34.000736,-14.681265,4
-57.493656,24.120123,2
12.935539,-12.154144,4
35.88535,-62.53448,0
4.2309813,-8.724211,2
6.430757,-48.634075,0
47.974316,9.992054,1
77.5439,-10.9151945,2
39.864037,-17.635275,4
10.952115,52.634094,2
-20.443773,-65.678375,3
-32.842316,37.383694,2
-56.77938,41.924892,2
29.772095,50.428085,2
34.272686,-51.972614,0
57.34075,-9.260214,1
-31.714058,-58.610043,0
39.76164,-17.635103,4
2.8993921,60.33457,2
51.477978,-57.11287,0
19.674055,-71.90585,3
-66.912025,-5.008435,2
38.69234,-68.57609,3
62.66149,23.235298,2
64.02849,37.654385,2
-22.286285,-74.342155,3
52.66092,-61.302094,0
18.483097,55.99212,2
64.75602,38.516815,2
55.442867,42.873524,2
10.112432,-16.351168,4
-27.720284,40.53416,2
-38.72318,-11.278343,1
3.1051905,-21.220507,4
13.826761,-44.416004,0
61.12495,-59.069744,0
-67.87351,6.148887,2
3.5209143,57.48166,2
-64.25449,-22.206575,2
-6.745531,-54.051056,0
-31.12581,-72.770676,3
-17.727276,-51.420692,0
16.446115,-48.83097,0
47.925716,55.36557,2
7.7995415,-20.304947,4
58.158524,-59.980328,0
-37.110054,-13.180786,1
19.731379,8.381595,1
39.320568,-67.79716,0
34.32084,11.709094,1
-51.720966,1.2330024,2
6.4707003,-12.071338,4
-25.755476,-28.278648,4
-37.229717,20.525108,4
27.726225,-10.36118,4
0.4960012,-18.484375,4
-52.527824,11.175009,2
-17.157742,-25.35538,4
28.584867,-53.49454,0
-31.916456,24.856346,2
-53.87037,29.6129,2
-3.6658223,6.135767,1
76.51858,-13.121458,2
69.93221,-36.078663,0
-57.306213,43.186176,2
-30.832062,0.83148783,1
-65.439735,-16.932251,2
-50.333366,14.931765,2
67.32929,41.219635,2
19.744846,-49.979168,0
72.21164,-13.46312,2
-49.858852,45.472263,2
-78.50881,3.0245285,2
71.23816,18.741396,2
31.206898,-15.656447,4
17.422174,67.877396,2
4.2044625,-50.723904,0
14.535389,-13.103793,4
-54.55073,30.077301,2
-13.02894,54.650475,2
23.852806,-43.776817,0
68.19595,-11.935611,2
-57.66324,-3.335271,2
54.098274,-4.6612196,1
51.223225,38.5682,2
38.390045,58.271458,2
0.42048204,10.334915,1
-8.966881,-14.420454,4
-22.337122,-19.40839,4
35.15864,20.376295,4
-36.65819,19.565277,4
25.381435,-44.741234,0
-68.56052,32.897224,2
42.114876,-67.63846,0
-9.6117935,-52.4499,0
1.8722891,41.553356,4
-10.761688,-22.294731,4
-9.707219,70.67685,2
36.20832,-18.724886,4
-29.687788,-27.908916,4
60.235447,46.47207,2
3.2362494,-18.545084,4
-1.4907107,-16.991863,4
30.988686,41.75025,2
19.716883,-49.660778,0
43.135754,-63.007496,0
-32.208202,18.972483,2
-52.897285,37.840267,2
25.411642,-52.37126,0
-65.80485,25.694647,2
70.9544,-44.391914,0
1.0836753,-60.9006,0
24.330276,-62.58091,0
16.958803,-49.738533,0
1.2708462,56.934353,2
-60.67651,22.38289,2
72.82232,-40.27239,0
-45.03766,51.749508,2
-25.129162,8.604353,1
-8.969512,-76.88347,3
40.241837,-56.74036,0
1.3567641,-49.534447,0
9.687614,-19.249262,4
43.799854,49.222794,2
-29.979525,5.0460033,1
-79.307526,4.983046,2
-19.131908,-52.72563,0
-18.977562,-63.049316,0
81.17628,8.661179,2
38.25472,-18.363358,4
71.348045,-50.842316,0
-5.9782834,7.4919496,1
-9.986411,66.91351,2
-23.746033,48.26298,2
18.10442,25.666807,1
84.89976,5.6996703,2
15.465431,56.03651,2
33.693893,-51.23312,0
20.495676,-75.31997,3
-32.83986,-8.88485,1
20.177448,-73.9231,3
75.85429,8.767754,2
-64.75471,38.759815,2
-27.270567,-24.278788,4
34.9581,-18.228365,4
64.68938,-54.456245,0
10.369168,-16.618122,4
12.827082,-18.065605,4
19.951715,31.042625,1
-1.7562823,-16.534233,4
-2.891703,8.970807,1
-29.579895,-2.978714,1
-57.41395,-5.5271335,2
58.642033,-52.470657,0
-15.28936,2.7186732,1
18.837238,11.816055,1
-27.52848,14.099837,2
24.224974,-55.234085,0
25.67951,-12.074061,4
39.95741,-65.966,0
51.021664,-62.544033,0
0.7721747,71.64523,2
0.55456203,59.80433,2
32.05832,62.767227,2
-29.153677,43.435944,2
-41.35418,23.671436,2
20.073395,63.58544,2
-11.821577,22.931557,1
-8.074843,-57.392185,4
-68.988625,4.8660917,2
-17.363718,-73.13984,3
41.37404,-17.749043,4
10.66697,59.568935,2
-49.744205,-41.092556,2
-7.6278133,22.299408,1
60.87475,45.090702,2
-34.515087,24.338928,4
-76.13754,-9.805757,2
70.85965,37.375175,2
1.2895802,-53.700832,0
37.934418,51.26355,2
-68.79013,6.8551135,2
-32.70662,15.413546,2
40.000435,-17.090864,4
42.183228,-18.330294,4
-11.758688,61.458954,2
71.46985,23.025702,2
-10.277088,8.912144,1
80.10029,16.169115,2
9.181511,-19.71104,4
13.792868,11.036231,1
-22.623938,-65.46363,3
12.94023,-43.06647,0
-48.94099,-0.39347276,4
-68.765816,6.8096595,2
-31.001488,50.356102,2
43.675747,1.0270156,1
42.551517,-17.961254,4
-3.0357604,-10.62212,4
-39.437862,-20.578354,1
40.91957,-18.071495,4
35.974903,-52.565746,0
-2.0628045,8.3711405,1
7.7186046,-71.92084,3
-38.956528,61.182796,2
27.956617,53.632423,2
55.991234,-59.619755,0
-13.831241,72.07845,2
-18.741041,-19.025778,4
68.243996,22.851288,2
-53.35988,-3.6332753,2
70.061386,-36.49147,0
40.572517,2.0656781,1
-30.11707,53.89911,2
24.552494,48.79052,2
-3.929991,69.67309,2
38.70098,-56.06763,0
-56.43923,7.5386453,2
-9.033525,-74.884,3
-71.646965,-20.298822,2
23.642838,73.259834,2
49.31924,40.165325,2
-15.331641,-22.143265,4
24.7272,12.177899,1
-79.98923,5.105006,2
-54.10022,29.35452,2
-48.54086,46.216652,2
